web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574561965-3207","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&section.path=fnc/politics&type=story&start=45","Trump's Jack Johnson pardon praised by John McCain, George Foreman, others","https://www.foxnews.com/politics/trumps-jack-johnson-pardon-praised-by-john-mccain-george-foreman-others","Trump's Jack Johnson pardon praised by John McCain, George Foreman, others","Trump's Jack Johnson pardon praised by John McCain, George Foreman, others","","May 24, 2018","Former two-division title-holder Paulie Malignaggi criticized Trump’s predecessors for not issuing the pardon sooner. “remember when Obama was being petitioned to do this and passed on it?  I do, so don't pretend yous don't.”"
"1574562064-3380","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&section.path=fnc/politics&type=story&start=32","Tributes pour in for Sen. John McCain, remembered as a 'true American hero'","https://www.foxnews.com/politics/tributes-pour-in-for-sen-john-mccain-remembered-as-a-true-american-hero","Tributes pour in for Sen. John McCain, remembered as a 'true American hero'","Tributes pour in for Sen. John McCain, remembered as a 'true American hero'","","August 26, 2018","""It's an understatement to say the Senate will not be the same without our friend John,"" McConnell said. ""I will treasure the many memories we've shared together through the years."""
"1574561932-3142","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&section.path=fnc/politics&type=story&start=50","Paul Ryan, John McCain break with Trump on Arpaio pardon","https://www.foxnews.com/politics/paul-ryan-john-mccain-break-with-trump-on-arpaio-pardon","Paul Ryan, John McCain break with Trump on Arpaio pardon","Paul Ryan, John McCain break with Trump on Arpaio pardon","","August 26, 2017","""Pardoning Joe Arpaio is a slap in the face to the people of Maricopa County, especially the Latino community and those he victimized as he systematically and illegally violated their civil rights,"" said Phoenix Mayor Greg Stanton, a Democrat."
"1574562218-3661","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&section.path=fnc/politics&type=story&start=15","John McCain to discontinue medical treatment for brain cancer","https://www.foxnews.com/politics/john-mccain-to-discontinue-medical-treatment-for-brain-cancer","John McCain to discontinue medical treatment for brain cancer","John McCain to discontinue medical treatment for brain cancer","","August 24, 2018","The Vietnam War veteran, who survived five years as a prisoner of war and went on to become his party's presidential nominee in 2008, was diagnosed last July with a brain tumor following a procedure earlier in the year to remove a blood clot from above his left eye."
"1574562173-3586","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&section.path=fnc/politics&type=story&start=20","John McCain's political accomplishments","https://www.foxnews.com/politics/john-mccains-political-accomplishments","John McCain's political accomplishments","John McCain's political accomplishments","","August 25, 2018","“She’s not from these parts, and she’s not from Washington, but when you get to know her, you’re going to be as impressed as I am,” McCain said then."
"1574561891-3041","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&section.path=fnc/politics&type=story&start=50","Sarah Palin not invited to McCain funeral: reports","https://www.foxnews.com/politics/sarah-palin-not-invited-to-mccain-funeral-reports","Sarah Palin not invited to McCain funeral: reports","Sarah Palin not invited to McCain funeral: reports","","August 30, 2018","McCain and Palin ultimately lost the White House in 2008 to Barack Obama and Joe Biden."
"1574562193-3633","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&section.path=fnc/politics&type=story&start=18","Volker steps down from McCain Institute post as impeachment cloud causes 'distraction'","https://www.foxnews.com/politics/volker-steps-down-from-mccain-institute-citing-media-attention-as-distraction","Volker steps down from McCain Institute post as impeachment cloud causes 'distraction'","Volker steps down from McCain Institute post as impeachment cloud causes 'distraction'","","October 7","Cindy McCain, chair of the McCain Institute's board of trustees and the widow of the late Sen. John McCain, R-Ariz., announced that Nick Rasmussen, a former director of the National Counterterrorism Center and professor at the ASU Sandra Day O'Connor College of Law, would serve as the acting executive director in Volker's absence. She also expressed gratitude for Volker's work with the institute."
"1574562054-3337","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&section.path=fnc/politics&type=story&start=33","USS McCain flap prompts acting defense chief Shanahan to have aide 'look into' matter","https://www.foxnews.com/politics/shanahan-look-into-reports-uss-mccain-trump","USS McCain flap prompts acting defense chief Shanahan to have aide 'look into' matter","USS McCain flap prompts acting defense chief Shanahan to have aide 'look into' matter","","May 30","Acting Defense Secretary Patrick Shanahan says his chief of staff will look into reports that the White House requested the USS John McCain be hidden from view during President Trump's visit to U.S. troops stationed in Japan."
"1574562271-3772","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&section.path=fnc/politics&type=story&start=8","Trump says John McCain 'was horrible, what he did with repeal and replace'","https://www.foxnews.com/politics/trump-says-john-mccain-was-horrible-what-he-did-with-repeal-and-replace","Trump says John McCain 'was horrible, what he did with repeal and replace'","Trump says John McCain 'was horrible, what he did with repeal and replace'","","March 21","The president also took issue with McCain's now-famous ""thumbs down"" vote against a measure to repeal and replace ObamaCare in July 2017."
"1574562218-3673","https://www.foxnews.com/search-results/search?q=john%20mccain&ss=fn&section.path=fnc/politics&type=story&start=15","John McCain to discontinue medical treatment for brain cancer","https://www.foxnews.com/politics/john-mccain-to-discontinue-medical-treatment-for-brain-cancer","John McCain to discontinue medical treatment for brain cancer","John McCain to discontinue medical treatment for brain cancer","","August 24, 2018","“Make no mistake, my service here is the most important job I have had in my life. And I am so grateful to the people of Arizona for the privilege—for the honor—of serving here and the opportunities it gives me to play a small role in the history of the country I love,” McCain said, acknowledging senators he’s “known and admired.” “But they knew that however sharp and heartfelt their disputes, however keen their ambitions, they had an obligation to work collaboratively to ensure the Senate discharged its constitutional responsibilities effectively.”"
