web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575057584-6","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Sarah Palin’s Next Convention SpeechSarah Palin, an opponent of regulation, will address the Wine and Spirits Wholesalers of America, which works to maintain regulation of wine and liquor distribution.By Eric Asimov","https://dinersjournal.blogs.nytimes.com/2010/01/20/sarah-palins-next-convention-speech/?searchResultPosition=59","Sarah Palin’s Next Convention Speech","Sarah Palin’s Next Convention Speech","null","January 20, 2010 2:14 pm","In announcing the selection of Ms. Palin, Craig Wolf, the president and chief executive of the wholesalers association, offering this reasoning:"
"1575058005-323","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","The Coverage of Sarah PalinHow Palin-hatred drives the media-Palin symbiosis.By Ross Douthat","https://douthat.blogs.nytimes.com/2011/01/21/the-coverage-of-sarah-palin/?searchResultPosition=9","The Coverage of Sarah Palin","The Coverage of Sarah Palin","null","January 21, 2011 12:47 pm","… And so, to Mr. Douthat’s chicken-and-egg dilemma — which came first: Ms.  Palin or the media’s sometimes obsessive coverage of her? — we might  want to add a third actor: the audience."
"1575057797-177","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","SNL Cast: Even Sarah Palin Likes Tina Fey Playing Sarah PalinFor a comedy show, the minds behind “Saturday Night Live” sure care a lot about fairness.By Brian Stelter","https://mediadecoder.blogs.nytimes.com/2008/09/16/snl-cast-even-sarah-palin-likes-tina-fey-playing-sarah-palin/?searchResultPosition=31","SNL Cast: Even Sarah Palin Likes Tina Fey Playing Sarah Palin","SNL Cast: Even Sarah Palin Likes Tina Fey Playing Sarah Palin","null","September 16, 2008 4:15 pm","Speaking at an event sponsored by the Museum of the Moving Image on Monday, cast members Seth Meyers and Amy Poehler discussed Saturday’s influential sketch featuring Ms. Poehler as Hillary Rodham Clinton and Tina Fey as Sarah Palin."
"1575057797-184","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","SNL Cast: Even Sarah Palin Likes Tina Fey Playing Sarah PalinFor a comedy show, the minds behind “Saturday Night Live” sure care a lot about fairness.By Brian Stelter","https://mediadecoder.blogs.nytimes.com/2008/09/16/snl-cast-even-sarah-palin-likes-tina-fey-playing-sarah-palin/?searchResultPosition=31","SNL Cast: Even Sarah Palin Likes Tina Fey Playing Sarah Palin","SNL Cast: Even Sarah Palin Likes Tina Fey Playing Sarah Palin","null","September 16, 2008 4:15 pm","“My dream is you, Tina and a podium,” Mr. Meyers responded."
"1575057767-155","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Come Back, Sarah Palin!Having defined Mitt Romney as the “Eh, I guess” candidate, “Saturday Night Live” writers wonder if there’s anything else to say.By Maureen DowdPRINT EDITIONApril 15, 2012, Page SR11","https://www.nytimes.com/2012/04/15/opinion/sunday/dowd-come-back-sarah-palin.html?searchResultPosition=37","Come Back, Sarah Palin!","Come Back, Sarah Palin!","null","APRIL 14, 2012","“He was funny on Letterman, giving the Top Ten list,” Downey said."
"1575057808-202","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Cheering on the Sarah Palin NominationThe party line at the Republican National Convention is that the nomination of Sarah Palin is an excellent one.By The Editorial Board","https://campaignstops.blogs.nytimes.com/2008/09/02/cheering-on-the-sarah-palin-nomination/?searchResultPosition=30","Cheering on the Sarah Palin Nomination","Cheering on the Sarah Palin Nomination","null","September 2, 2008 5:15 pm","“The McCain team will be around her,” Senator Graham said, exuding confidence. “She’ll do fine.”"
"1575057956-284","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Defining Sarah PalinBloggers and analysts alike are trying to fill in the blanks on Alaska’s governor as she emerges on the national scene.By Kate Phillips and Michael Falcone","https://thecaucus.blogs.nytimes.com/2008/08/29/defining-sarah-palin/?searchResultPosition=14","Defining Sarah Palin","Defining Sarah Palin","null","August 29, 2008 8:49 pm","We’re not sure what he means by “at least.”"
"1575057644-45","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Paul Revere, Sarah Palin and WikipediaThe American Revolution is being fought again on the pages on Wikipedia.By Noam Cohen","https://thecaucus.blogs.nytimes.com/2011/06/06/paul-revere-sarah-palin-and-wikipedia/?searchResultPosition=51","Paul Revere, Sarah Palin and Wikipedia","Paul Revere, Sarah Palin and Wikipedia","null","June 6, 2011 6:55 pm","Since Ms. Palin described the ride last week while she was visiting Boston,  Wikipedia’s Paul Revere article page has been the site of a mini “edit war.” And the page has gone from a little-visited one — 2,000 or so page views a day —  to a more heavily trafficked one, with54,000 on Saturday when Ms. Palin’s comments were gaining the most news attention."
"1575057767-159","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Come Back, Sarah Palin!Having defined Mitt Romney as the “Eh, I guess” candidate, “Saturday Night Live” writers wonder if there’s anything else to say.By Maureen DowdPRINT EDITIONApril 15, 2012, Page SR11","https://www.nytimes.com/2012/04/15/opinion/sunday/dowd-come-back-sarah-palin.html?searchResultPosition=37","Come Back, Sarah Palin!","Come Back, Sarah Palin!","null","APRIL 14, 2012","When Rick Santorum dropped out, Meyers tweeted about the Santorum impersonator Andy Samberg: “About to sit down Samberg and tell him he’s not going to play the president. This part of the job is never easy.”"
"1575057767-144","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Come Back, Sarah Palin!Having defined Mitt Romney as the “Eh, I guess” candidate, “Saturday Night Live” writers wonder if there’s anything else to say.By Maureen DowdPRINT EDITIONApril 15, 2012, Page SR11","https://www.nytimes.com/2012/04/15/opinion/sunday/dowd-come-back-sarah-palin.html?searchResultPosition=37","Come Back, Sarah Palin!","Come Back, Sarah Palin!","null","APRIL 14, 2012","Stuck with a Tin Man-versus-Spock race, the writers perk up at the thought of Romney’s picking the crackling Chris Christie as his running mate. But Mitt seems too programmed to risk his hard-won chance at the brass ring on a brassy partner who might overshadow him."
"1575057750-122","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Walter Mondale on Sarah PalinHow to pick a vice president … but lose an election.By David E. Sanger","https://thecaucus.blogs.nytimes.com/2008/09/03/walter-mondale-on-sarah-palin/?searchResultPosition=41","Walter Mondale on Sarah Palin","Walter Mondale on Sarah Palin","null","September 3, 2008 5:50 pm","Whether Republicans or Democrats win in November, he said “there will be messes on the Hill. And that’s what I did a lot of as vice president,’’ he said. “I spent a lot of time cleaning up messes on the Hill.’’"
