web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574565046-7565","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=62","Obama Is Too Busy to Think About Sarah Palin","https://www.foxnews.com/politics/obama-is-too-busy-to-think-about-sarah-palin","Obama Is Too Busy to Think About Sarah Palin","Obama Is Too Busy to Think About Sarah Palin","","November 24, 2010","At first, the president demurred, saying he refused to speculate on what will happen two years out. When Walters pressed, the president revealed, ""What I'm saying is, I don't think about Sarah Palin."""
"1574565053-7572","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=61","Sarah Palin's subscription-based web channel going offline","https://www.foxnews.com/politics/sarah-palins-subscription-based-web-channel-going-offline","Sarah Palin's subscription-based web channel going offline","Sarah Palin's subscription-based web channel going offline","","July 7, 2015","In a recent video announcement, Palin said that with a presidential election coming up, she wants to make sure her voice and others are heard by the widest possible audience. She told subscribers she looked forward to continuing to hear their ideas and sharing her own."
"1574565128-7678","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=49","Palin teases about serving as Energy secretary if Trump wins","https://www.foxnews.com/politics/palin-teases-about-serving-as-energy-secretary-if-trump-wins","Palin teases about serving as Energy secretary if Trump wins","Palin teases about serving as Energy secretary if Trump wins","","September 6, 2015","“Oil and gas and minerals, those (are) things that God has dumped on this part of the Earth for mankind's use, instead of us relying on unfriendly foreign nations, for us to import their resources.”"
"1574565389-8141","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=3","Sarah Palin not invited to McCain funeral: reports","https://www.foxnews.com/politics/sarah-palin-not-invited-to-mccain-funeral-reports","Sarah Palin not invited to McCain funeral: reports","Sarah Palin not invited to McCain funeral: reports","","August 30, 2018","“Today we lost an American original,” she wrote. “Sen. John McCain was a maverick and a fighter, never afraid to stand for his beliefs. John never took the easy path in life - and through sacrifice and suffering he inspired others to serve something greater than self.”"
"1574565314-8029","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=17","Sarah Palin endorses Donald Trump's presidential bid","https://www.foxnews.com/politics/sarah-palin-endorses-donald-trumps-presidential-bid","Sarah Palin endorses Donald Trump's presidential bid","Sarah Palin endorses Donald Trump's presidential bid","","January 19, 2016","In the statement announcing the endorsement, Trump's campaign described Palin as a conservative who ""helped launch the careers of several key future leaders of the Republican Party and conservative movement."" The statement also quoted Cruz as once saying he ""would not be in the United States Senate were it not for Gov. Sarah Palin...She can pick winners."""
"1574565267-7954","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=25","Steve King: Sarah Palin would have endorsed Ted Cruz had she gone hunting with him","https://www.foxnews.com/politics/steve-king-sarah-palin-would-have-endorsed-ted-cruz-had-she-gone-hunting-with-him","Steve King: Sarah Palin would have endorsed Ted Cruz had she gone hunting with him","Steve King: Sarah Palin would have endorsed Ted Cruz had she gone hunting with him","","January 21, 2016","“If we had gone out to the field together with a shotgun, I think she would have endorsed Ted Cruz,” King said, smiling. “So I’m taking the blame.”"
"1574565059-7587","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=60","Palin takes heat from veterans for using son's arrest, PTSD to criticize Obama","https://www.foxnews.com/politics/palin-takes-heat-from-veterans-for-using-sons-arrest-ptsd-to-criticize-obama","Palin takes heat from veterans for using son's arrest, PTSD to criticize Obama","Palin takes heat from veterans for using son's arrest, PTSD to criticize Obama","","January 21, 2016","According to the police affidavit posted by KTVA-TV, officers were called to the residence Monday night following two 911 calls – the first from Track’s girlfriend and the second from him."
"1574565314-8019","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=17","Sarah Palin endorses Donald Trump's presidential bid","https://www.foxnews.com/politics/sarah-palin-endorses-donald-trumps-presidential-bid","Sarah Palin endorses Donald Trump's presidential bid","Sarah Palin endorses Donald Trump's presidential bid","","January 19, 2016","""I am proud to endorse Donald J. Trump for President of the United States of America,"" Palin said in a statement from the Trump campaign announcing the endorsement."
"1574565308-8017","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=18","Sarah Palin to subpoena two dozen New York Times staffers in lawsuit","https://www.foxnews.com/politics/sarah-palin-to-subpoena-two-dozen-new-york-times-staffers-in-lawsuit","Sarah Palin to subpoena two dozen New York Times staffers in lawsuit","Sarah Palin to subpoena two dozen New York Times staffers in lawsuit","","July 27, 2017","The representative then referred to an earlier response to the suit, saying: ""It is agonizing to get something wrong, but as soon as our editors become aware of the error, they corrected it. We are confident that the First Amendment protects publishers in these circumstances, and we intend to defend the action vigorously."""
"1574565046-7563","https://www.foxnews.com/search-results/search?q=sarah%20palin&ss=fn&section.path=fnc/politics&type=story&start=62","Obama Is Too Busy to Think About Sarah Palin","https://www.foxnews.com/politics/obama-is-too-busy-to-think-about-sarah-palin","Obama Is Too Busy to Think About Sarah Palin","Obama Is Too Busy to Think About Sarah Palin","","November 24, 2010","With his party's midterm election upset barely in his rearview mirror, President Obama is already being pitted against his potential re-election adversary by pundits and journalists alike."
