web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574585037-69040","https://www.huffpost.com/news/topic/barack-obama","Trump's Acting National Security Adviser Said Nuclear War With USSR Was Winnable","https://www.huffpost.com/entry/charles-kupperman-nuclear-war-trump-nsa_n_5d7b9809e4b03b5fc88212fd","Trump’s Acting National Security Adviser Said Nuclear War With USSR Was Winnable","Questioning “mutual assured destruction,” Charles Kupperman called nuclear conflict “in large part a physics problem.”","","09/13/2019 03:46 pm ET","Kupperman, appointed to his new post on Tuesday after Trump fired his John Bolton from the job, argued it was possible to win a nuclear war “in the classical sense,” and that the notion of total destruction stemming from such a superpower conflict was inaccurate. He said that in a scenario in which 20 million people died in the U.S. as opposed to 150 million, the nation could then emerge as the stronger side and prevail in its objectives."
"1574585028-68969","https://www.huffpost.com/news/topic/barack-obama","Big Tech Faces A New Set Of Foes: Nearly All 50 States","https://www.huffpost.com/entry/google-antitrust-bipartisan-attorneys-general-48-states_n_5d7791dbe4b075210233086f","Big Tech Faces A New Set Of Foes: Nearly All 50 States","Attorneys general from 48 states, Puerto Rico and the District of Columbia are investigating whether Google is engaging in monopolistic behavior.","","09/10/2019 08:12 am ET","The company — and peers such as Amazon, Facebook and Apple — have long argued that although their businesses are large, they are useful and beneficial to consumers. Influenced by the popularity of the companies’ ubiquitous tech products and their significant lobbying power, most American political leaders didn’t challenge that view."
"1574585154-69621","https://www.huffpost.com/news/topic/barack-obama","For Elizabeth Warren, The Wealth Tax Is About More Than Money","https://www.huffpost.com/entry/elizabeth-warren-wealth-tax-larry-summers_n_5dbcbb23e4b0d8b441cef1eb","For Elizabeth Warren, The Wealth Tax Is About More Than Money","The feud between Warren and economist Larry Summers is a reckoning with the Democratic Party’s relationship with the super-rich.","","11/03/2019 07:00 am ET","Elizabeth Warren threw Larry Summers out of the Democratic Party establishment six years ago. He hasn’t forgotten."
"1574585048-69120","https://www.huffpost.com/news/topic/barack-obama","Trump Biographer Has A Theory About POTUS' Obama Netflix Deal Obsession","https://www.huffpost.com/entry/trump-biographer-obsession-obama_n_5d808be3e4b00d69059dff4c","Trump Biographer Has A Theory About POTUS’ Obama Netflix Deal Obsession","“Obama was a very profound man. Trump is a very profane man. These are polar opposites,” said Michael D’Antonio.","","09/17/2019 03:57 am ET","“One man denigrates women,” D’Antonio continued. “The other marries the woman he loves and stays married to her and continues to love her. The difference between these people is more than black and white. It’s everything. It’s the essence of their humanity, and Trump knows that people see it.”"
"1574584911-68433","https://www.huffpost.com/news/topic/barack-obama","Long Before Trump's Racist Attacks On The Squad, Hateful Rhetoric Lurked Online","https://www.huffpost.com/entry/donald-trump-squad-racist-attacks-internet-hate_n_5d31dfbde4b0419fd32c4e99","Long Before Trump’s Racist Attacks On The Squad, Hateful Rhetoric Lurked Online","Racist, inflammatory and inaccurate content has circulated on far right blogs, news sites and social media accounts.","","07/19/2019 11:25 am ET","This story has been corrected to fix the spelling of Vandewalker."
"1574585013-68891","https://www.huffpost.com/news/topic/barack-obama","Michael Flynn's Lawyers And U.S. Government Dispute His Readiness For Sentencing","https://www.huffpost.com/entry/michael-flynns-lawyers-and-us-attorneys-dispute-his-readiness-for-sentencing_n_5d692f57e4b0488c0d1383fc","Michael Flynn’s Lawyers And U.S. Government Dispute His Readiness For Sentencing","Attorneys for ex-Trump advisor Michael Flynn are hoping to delay his sentencing, claiming they need more time to review evidence.","","08/30/2019 10:25 am ET","Flynn’s lawyers, who were hired earlier this year, said that they have not had enough time to review the case, and that the government has refused to hand over information they need for his defense, including transcripts and recordings of phone calls supposedly underlying the charges against their client."
"1574585154-69640","https://www.huffpost.com/news/topic/barack-obama","For Elizabeth Warren, The Wealth Tax Is About More Than Money","https://www.huffpost.com/entry/elizabeth-warren-wealth-tax-larry-summers_n_5dbcbb23e4b0d8b441cef1eb","For Elizabeth Warren, The Wealth Tax Is About More Than Money","The feud between Warren and economist Larry Summers is a reckoning with the Democratic Party’s relationship with the super-rich.","","11/03/2019 07:00 am ET","“We tried it for 30 years, and it didn’t work. In fact, the consequences were nearly catastrophic,” Warren said."
"1574585166-69729","https://www.huffpost.com/news/topic/barack-obama","Pete Buttigieg Pitches Himself As The Obama Of 2020","https://www.huffpost.com/entry/pete-buttigieg-pitches-barack-obama-iowa-bus-tour-2020-democratic-presidential-primary_n_5dc44e2be4b0d8eb3c91c9f5","Pete Buttigieg Pitches Himself As The Obama Of 2020","The South Bend, Indiana, mayor is rising in Iowa. Can he replicate the 44th president’s magic?","","11/07/2019 03:14 pm ET","In September and October when Warren declined to say how she would finance Medicare for All — and whether it would require tax increases — Buttigieg effectively called her a hypocrite. “Sen. Warren is known for being straightforward and was extremely evasive when asked that question, and we’ve seen that repeatedly,” he said in a CNN interview in September. (Warren subsequently released a detailed financing plan that did not raise middle-class taxes.)"
"1574585140-69567","https://www.huffpost.com/news/topic/barack-obama","Michelle Obama Calls Out White Flight: 'You're Still Running'","https://www.huffpost.com/entry/michelle-obama-white-flight-youre-still-running_n_5db98616e4b066da5529f037","Michelle Obama Calls Out White Flight: ‘You’re Still Running’","“That’s what divides countries,” the former first lady said at the Obama Foundation Summit.","","10/30/2019 10:14 am ET","Addressing a crowd at the Illinois Institute of Technology, Obama linked her comments to the attitude currently directed at neighbors arriving from abroad."
"1574585132-69551","https://www.huffpost.com/news/topic/barack-obama","Trump Publicly Revels In Death And Spectacle: 'Boom Boom Boom!'","https://www.huffpost.com/entry/donald-trump-death-boom-boom_n_5db71d7fe4b006d49172df24","Trump Publicly Revels In Death And Spectacle: ‘Boom Boom Boom!’","The reality show president treats somber moments like cheap action movies.","","10/28/2019 03:33 pm ET","“[It] bothered me a little bit some of what the president did in providing detail about taking back to the United States pieces of Baghdadi’s body,” Mike Morell, former deputy director of the CIA, said on CBS Sunday. “It bothered me a little bit hearing the president talk about that some of that Syrian oil being ours, right. Because that’s what inspires some extremists.”"
