web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574582986-61635","https://www.huffpost.com/news/topic/bernie-sanders","Warren's Rhetoric On 'Medicare For All' Is Fuzzy, But Her Logic Isn't","https://www.huffpost.com/entry/warren-sanders-medicare-for-all_n_5dd44ec9e4b0fc53f20a08b5","Elizabeth Warren’s Rhetoric On ‘Medicare For All’ Is Fuzzy, But Her Logic Isn’t","She knows how many Americans remain wary of big changes, and is betting she can guide them there.","","11/20/2019 01:09 pm ET","Warren also declined for months to issue her own detailed proposal, telling questioners simply that “I’m with Bernie,” even though she was rolling out plans for just about every other issue."
"1574582706-59794","https://www.huffpost.com/news/topic/bernie-sanders","Bernie Sanders And Cardi B Discuss How To End Police Brutality","https://www.huffpost.com/entry/bernie-sanders-cardi-b-interview_n_5d557561e4b0eb875f20458a","Bernie Sanders And Cardi B Discuss How To End Police Brutality","“We need to end all forms of racism in this country — from Donald Trump down to the local police department,” the presidential candidate told the hip-hop star.","","08/15/2019 11:58 am ET","The conversation, which the Sanders campaign had been hyping, included its share of lighthearted banter and production flourishes, such as camera pans across the salon."
"1574582693-59699","https://www.huffpost.com/news/topic/bernie-sanders","Bill de Blasio Says Bernie Sanders Would Have Beat Trump In 2016","https://www.huffpost.com/entry/bill-de-blasio-bernie-sanders-2016_n_5d49882ce4b0244052e1725b","Bill de Blasio Says Bernie Sanders Would Have Beat Trump In 2016","“There was such desire for change,” said the New York City mayor, who endorsed Hillary Clinton in the last presidential election.","","08/06/2019 11:49 am ET","De Blasio joins several high-profile Democrats and Trump’s own pollster in speculating that Sanders would have won in 2016."
"1574582706-59800","https://www.huffpost.com/news/topic/bernie-sanders","Bernie Sanders And Cardi B Discuss How To End Police Brutality","https://www.huffpost.com/entry/bernie-sanders-cardi-b-interview_n_5d557561e4b0eb875f20458a","Bernie Sanders And Cardi B Discuss How To End Police Brutality","“We need to end all forms of racism in this country — from Donald Trump down to the local police department,” the presidential candidate told the hip-hop star.","","08/15/2019 11:58 am ET","He went on to lay out a three-pronged approach to the problem: improving education and job access to prevent crime at its roots; task the Department of Justice with investigating when police kill someone; and use the power of the federal government to ensure that police departments “look like the community that they serve, not like an oppressive army.”"
"1574582920-61151","https://www.huffpost.com/news/topic/bernie-sanders","Bernie Sanders Just Proved It's A New Era For How Democratic Candidates Talk About Israel","https://www.huffpost.com/entry/bernie-sanders-israel-palestinians_n_5db7a36fe4b02aee7d351cfd","Bernie Sanders Just Proved It’s A New Era For How Democratic Candidates Talk About Israel","Trump’s rivals are eager to criticize his cozy relationship with hard-line politicians in Israel — and push for new negotiations between Israelis and Palestinians.","","10/28/2019 11:41 pm ET","It’s clear some in the party are still conscious of old guardrails around the issue. It’s good that there is no longer “one voice” dominating political discussions of U.S.-Israel relations, Castro said, saying people should know who he was referring to. Ben Rhodes, the former Obama administration official interviewing him, made a similarly oblique reference in response. Neither said the word “AIPAC.”"
"1574582922-61154","https://www.huffpost.com/news/topic/bernie-sanders","The Core Of Bernie’s Base Is Up For Grabs In Iowa","https://www.huffpost.com/entry/young-voters-bernie-sanders-elizabeth-warren-iowa_n_5dbafe5be4b066da552ddc7e","The Core Of Bernie Sanders’ Base Is Up For Grabs In Iowa","Democratic voters under 30 consolidated behind Obama in 2008 and Sanders in 2016. Will they pick one candidate in 2020?","Kevin Robillard","10/31/2019 05:59 pm ET",""
"1574582962-61451","https://www.huffpost.com/news/topic/bernie-sanders","Here Are The 10 Candidates Appearing In Next Week's Democratic Debate","https://www.huffpost.com/entry/who-qualified-fifth-democratic-debate_n_5dcdc1a1e4b06a60957d43ab","Here’s Who Qualified For Next Week’s Democratic Debate","The fifth Democratic debate will feature 10 candidates and an all-female panel of moderators.","","11/14/2019 05:02 pm ET","South Bend, Indiana, Mayor Pete Buttigieg"
"1574582911-61107","https://www.huffpost.com/news/topic/bernie-sanders","Biden 'Not Worried' About Lackluster Fundraising: 'I'm The Front-Runner'","https://www.huffpost.com/entry/joe-biden-not-worried-about-campaign-funds-im-the-frontrunner_n_5db3002fe4b0ea02257cd09e","Biden ‘Not Worried’ About Lackluster Fundraising: ‘I’m The Front-Runner’","The former vice president started October with less than half the cash on hand reported by either Elizabeth Warren or Bernie Sanders.","","10/25/2019 12:30 pm ET","Underscoring the uncertainty, a national HuffPost/YouGov survey taken last week shortly after the fourth Democratic debate found that 60% of Democratic voters and left-leaning independents said they believe Biden could win the general election, while 59% said the same of Warren."
"1574582833-60577","https://www.huffpost.com/news/topic/bernie-sanders","Warren Raises $24.6 Million In 3rd Quarter, Trailing Only Sanders","https://www.huffpost.com/entry/elizabeth-warren-raises-24-6-million-in-third-quarter-trailing-only-sanders_n_5d9746cfe4b0da7f662578df","Elizabeth Warren Raises $24.6 Million In 3rd Quarter, Trailing Only Sanders","The Massachusetts senator’s presidential campaign now has $25.7 million on hand.","","10/04/2019 10:52 am ET","“Elizabeth didn’t sell her time to wealthy donors, over the phone or in person at closed-door fundraisers,” Lau wrote. “Instead, she got to spend her time traveling across the country, hosting town halls, taking tens of thousands of selfies, and hearing directly from people about what’s on their minds.”"
"1574582684-59650","https://www.huffpost.com/news/topic/bernie-sanders","Bernie Sanders Says Student Debt Cancellation Plan Will Reduce Racial Wealth Gap","https://www.huffpost.com/entry/bernie-sanders-student-debt-plan-racial-wealth-gap-afscme-forum-2020-democratic-presidential-primary_n_5d45f633e4b0aca3411eb9d1","Bernie Sanders Says Student Debt Cancellation Plan Will Reduce Racial Wealth Gap","Sen. Elizabeth Warren, who’s also running for president, argued that canceling all student debt would widen the racial wealth gap.","Daniel Marans","08/03/2019 05:25 pm ET",""
"1574582748-60028","https://www.huffpost.com/news/topic/bernie-sanders","Bernie Sanders Unveils Plan To Defend The News Media, Says Democracy Requires It","https://www.huffpost.com/entry/bernie-sanders-journalism-news-industry_n_5d64a535e4b0d2fa2daff30b","Bernie Sanders Unveils Plan To Defend The News Media, Says Democracy Requires It","“We need to rebuild and protect a diverse and truly independent press,” the senator from Vermont and 2020 Democratic presidential candidate wrote.","","08/27/2019 12:54 am ET","At the same time, news companies have been scrambling for ways to become profitable as traditional advertising dollars dry up (or hunted for billionaire benefactors, such as Jeff Bezos’ purchase of The Washington Post or Dr. Patrick Soon-Shiong’s of the Los Angeles Times)."
"1574582975-61529","https://www.huffpost.com/news/topic/bernie-sanders","4 Candidates Press For Inquiry Into NBC's ‘Toxic Culture’ Ahead Of Democratic Debate","https://www.huffpost.com/entry/warren-sanders-press-investigation-nbc-toxic-culture-democratic-debate_n_5dd35799e4b0263fbc99a8ea","4 Democratic Candidates Press For Inquiry Into NBC’s ‘Toxic Culture’ Ahead Of Debate","The senators say they’re worried about the message it sends if MSNBC hosts a debate before a commitment is made to an outside investigation.","","11/19/2019 05:30 am ET","The network declined to comment further to HuffPost for this story."
