web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574585363-70918","https://www.huffpost.com/news/topic/betsy-devos","DeVos Finally Admits That Federal Dollars Shouldn't Fund LGBTQ Discrimination In Schools","https://www.huffpost.com/entry/devos-lgbtq-discrimination-private-schools_n_5ab14474e4b054d118dd7cc8","DeVos Finally Agrees Federal Dollars Shouldn’t Fund LGBTQ Discrimination In Schools","Democratic Rep. Katherine Clark demanded a ‘yes’ or ‘no’ answer from the education secretary.","","03/20/2018 04:54 pm ET","“Took a year,” Clark said in response."
"1574585494-71695","https://www.huffpost.com/news/topic/betsy-devos","Betsy DeVos: 'I Don't Enjoy The Publicity' That Comes With My Job","https://www.huffpost.com/entry/betsy-devos-ewa-school-choice_n_5cd0908fe4b04e275d4e94d3","Betsy DeVos: ‘I Don’t Enjoy The Publicity’ That Comes With My Job","The education secretary reflected on life in the spotlight and said the media used her “as clickbait.”","","05/06/2019 04:40 pm ET","She said she also believes the media uses her “name as clickbait.”"
"1574585311-70413","https://www.huffpost.com/news/topic/betsy-devos","Voucher Schools Championed By Betsy DeVos Can Teach What They Want. Turns Out They Teach Lies.","https://www.huffpost.com/entry/school-voucher-evangelical-education-betsy-devos_n_5a021962e4b04e96f0c6093c","Voucher Schools Championed By Betsy DeVos Can Teach Whatever They Want. Turns Out They Teach Lies.","These schools teach creationism, racism and sexism. They’re also taking your tax dollars.","","12/07/2017 10:16 am ET","These schools are among thousands in the United States that participate in private school choice programs, which most often come in the form of state-level voucher or tax credit scholarships. Voucher programs offer publicly funded financial aid to parents for private schools. Tax credit programs usually offer individuals or corporations tax credits if they donate to a scholarship granting organization, which in turn offers private school scholarships based on various criteria, including income."
"1574585425-71331","https://www.huffpost.com/news/topic/betsy-devos","Betsy DeVos’ New Campus Sexual Misconduct Rules Would Strengthen Rights Of The Accused","https://www.huffpost.com/entry/betsy-devos-sexual-misconduct-campus-rules_n_5b87a5e9e4b0cf7b00324a05","Betsy DeVos’ New Campus Sexual Misconduct Rules Would Strengthen Rights Of The Accused","The education secretary’s proposed policies would also  reduce liability for colleges and universities, and boost support for victims.","","08/30/2018 04:27 am ET","“These proposed rules are a blatant and disturbing attack on every student who has experienced or could experience sexual assault or misconduct on a college campus, and they exemplify the misplaced priorities of DeVos and the Trump administration,” the DNC said."
"1574585425-71326","https://www.huffpost.com/news/topic/betsy-devos","Betsy DeVos’ New Campus Sexual Misconduct Rules Would Strengthen Rights Of The Accused","https://www.huffpost.com/entry/betsy-devos-sexual-misconduct-campus-rules_n_5b87a5e9e4b0cf7b00324a05","Betsy DeVos’ New Campus Sexual Misconduct Rules Would Strengthen Rights Of The Accused","The education secretary’s proposed policies would also  reduce liability for colleges and universities, and boost support for victims.","","08/30/2018 04:27 am ET","Last year, the administration of Republican President Donald Trump reversed guidelines established under President Barack Obama, a Democrat, on how colleges should handle sexual assault accusations, saying the prior policies led to too many students being falsely charged or disciplined."
"1574585377-71019","https://www.huffpost.com/news/topic/betsy-devos","In Both Rich And Poor Schools, Black Students Face Harsher Punishments","https://www.huffpost.com/entry/black-students-punishment-betsy-devos_n_5ac539b6e4b056a8f597f2a0","In Both Rich And Poor Schools, Black Students Face Harsher Punishments","A new government watchdog report shows how black students and students with disabilities are punished more severely.","","04/04/2018 06:30 pm ET","However, the GAO report shows that national suspension rates had already begun to fall before the guidance was implemented."
"1574585314-70529","https://www.huffpost.com/news/topic/betsy-devos","Friday's Morning Email: Inside The Voucher Schools Championed By Betsy DeVos","https://www.huffpost.com/entry/fridays-morning-email-inside-the-voucher-schools-championed-by-betsy-devos_n_5a2a81e8e4b0a290f04ff594","Friday’s Morning Email: Inside The Voucher Schools Championed By Betsy DeVos","And bankrolled by taxpayer money.","","12/08/2017 07:30 am ET","David Cassidy completely cut his daughter, Katie Cassidy, out of his will."
"1574585519-71824","https://www.huffpost.com/news/topic/betsy-devos","Betsy DeVos To Promote School That Bans Transgender Students And Staff","https://www.huffpost.com/entry/betsy-devos-transgender-students_n_5d826487e4b0849d472247ff","Betsy DeVos To Promote School That Bans Transgender Students And Staff","The education secretary is set to visit a Catholic elementary school in Pennsylvania that has an explicit anti-trans policy.","","09/18/2019 02:22 pm ET","During congressional testimony in March 2018, under questioning from Rep. Katherine Clark (D-Mass.), DeVos conceded that private schools that discriminate against LGBTQ students should not be eligible for federal dollars."
"1574585280-70106","https://www.huffpost.com/news/topic/betsy-devos","School Choice: The Old Wolf in New Sheep’s Clothing","https://www.huffpost.com/entry/school-choice-the-old-wolf-in-new-sheeps-clothing_b_59e8f99fe4b04a400db8afc8","School Choice: The Old Wolf in New Sheep’s Clothing","null","","10/19/2017 03:50 pm ET","Follow Arthur on Twitter: @arthurcamins"
"1574585359-70900","https://www.huffpost.com/news/topic/betsy-devos","Kate McKinnon Channels Bobble-Head Betsy DeVos On 'Saturday Night Live'","https://www.huffpost.com/entry/mckinnon-betsy-devos-snl_n_5aadfe54e4b0c33361b1033b","Kate McKinnon Channels Bobble-Head Betsy DeVos On ‘Saturday Night Live’","She wants to make certain “all schools are safe learning environments for guns.”","","03/18/2018 02:35 am ET","The “Weekend Update” bit was a play on DeVos’ disastrous appearance last week on “60 Minutes,” when she admitted she lacked facts on school performance and said she never “intentionally” visits poorly performing schools to try to determine what isn’t working."
"1574585369-70929","https://www.huffpost.com/news/topic/betsy-devos","Betsy DeVos Gets Hammered For Shielding Student Loan Servicers From State Regs","https://www.huffpost.com/entry/betsy-devos-rosa-delauro-student-loans_n_5ab15a0de4b008c9e5f21760","Betsy DeVos Gets Hammered For Shielding Student Loan Servicers From State Regs","Rep. Rosa DeLauro attacked the secretary over her decision, and DeVos struggled to respond.","","03/20/2018 05:22 pm ET","“Who do you believe this serves?” DeLauro said. “Does it serve the borrowers or the servicers?”"
"1574585454-71515","https://www.huffpost.com/news/topic/betsy-devos","Trump Report Urges Gutting Guidance Aimed At Reducing Racist School Punishments","https://www.huffpost.com/entry/federal-commission-school-safety_n_5bf44ab4e4b0c097a8e07fb8","Trump Report Urges Gutting Guidance Aimed At Reducing Racist School Punishments","The administration also suggested arming school personnel, which could include teachers.","","12/18/2018 10:33 am ET","Civil rights groups, on the other hand, have fought fiercely to keep the guidance in place, viewing it as an important protection for students who are especially vulnerable."
"1574585274-69971","https://www.huffpost.com/news/topic/betsy-devos","The Academics And Economics Behind School Choice","https://www.huffpost.com/entry/school-choice-indiana-vouchers_n_59d3ddd5e4b06226e3f413c2","The Academics And Economics Behind School Choice","Indiana’s booming program highlights the benefits and battles over vouchers.","","10/05/2017 05:01 am ET","Meredith said the thought of a national program modeled after Indiana makes her “want to throw up.”"
"1574585330-70680","https://www.huffpost.com/news/topic/betsy-devos","Opinion | Kick 'Em Out Culture Hurts Students And Deepens Racial Divides","https://www.huffpost.com/entry/opinion-hopkinson-race-expulsion_n_5a6f5e59e4b0ddb658c9445c","Kick ‘Em Out Culture Hurts Students And Deepens Racial Divides","null","","01/30/2018 05:47 am ET","Which brings me back to the racist video. I can only imagine the challenge ahead for these kids’ families and for teachers and administrators, both at their school and many others around the country. It may be that a stiff punishment such as expulsion might deter this kind of dehumanizing and possibly dangerous behavior, and stop it from spreading and terrorizing more classmates. But would that be more effective than, say, a field trip to Virginia cotton fields, or lessons on toxic masculinity and why vaginas, aka “pussies,” are far from weak? While these forms of restorative justice may be more costly in the short term, they may also help those boys to learn the error of their ways more effectively than simply casting them out."
"1574585298-70326","https://www.huffpost.com/news/topic/betsy-devos","DeVos Department Stacks Negotiations Deck With For-Profit College Lawyers","https://www.huffpost.com/entry/devos-department-stacks-negotiations-deck-with-for_b_5a0b1bf0e4b06d8966cf32d7","DeVos Department Stacks Negotiations Deck With For-Profit College Lawyers","null","","11/14/2017 12:01 pm ET","As to the official for-profit college representatives on the panel, attorney Linda Rawles, who this morning at the rule-making session complained that other negotiators were “retweeting folks who say the whole for-profit industry is evil” and suggested that Secretary DeVos should remove from the panel negotiators who use social media, posts on her website rave reviews of her work from people working at Bridgepoint Education, Kaplan, the University of Phoenix and InfiLaw ― all for-profit higher education companies with troubling records and multiple law enforcement investigations."
"1574585287-70191","https://www.huffpost.com/news/topic/betsy-devos","Tuesday's Morning Email: How Betsy DeVos Became The Most Hated Cabinet Secretary","https://www.huffpost.com/entry/tuesdays-morning-email-how-betsy-devos-became-the-most-hated-cabinet-secretary_n_59ef188de4b0d14acdcc5bf5","Tuesday’s Morning Email: How Betsy DeVos Became The Most Hated Cabinet Secretary","“Meet the new Democratic bogeyman for 2018.”","","10/24/2017 07:03 am ET","GOLD STAR FAMILY PROMISED $25,000 BY TRUMP RECEIVES CHECK A week after it became public the president had not fulfilled his promise to send it. [HuffPost]"
"1574585327-70658","https://www.huffpost.com/news/topic/betsy-devos","Betsy DeVos Sued For Weakening Sexual Assault Reporting Protections For Students","https://www.huffpost.com/entry/betsy-devos-lawsuit-sex-assault-student-protections_n_5a6bf2a4e4b06e253267baca","Betsy DeVos Sued For Weakening Sexual Assault Reporting Protections For Students","The suit says DeVos and an assistant education secretary are convinced women are lying or are misunderstanding or regretting consensual sex.","","01/27/2018 01:15 am ET","The suit argues that DeVos and Jackson hold “discriminatory stereotypes” about women and are convinced that many who report sexual abuse or assault “misunderstood a harmless romantic advance,” are lying or later regretted a “consensual sexual encounter.”"
"1574585393-71091","https://www.huffpost.com/news/topic/betsy-devos","Betsy DeVos Stirs Uproar By Saying Schools Can Call ICE On Undocumented Kids","https://www.huffpost.com/entry/betsy-devos-uproar-schools-call-ice-undocumented-kids_n_5b05a297e4b05f0fc8441ce3","Betsy DeVos Stirs Uproar By Saying Schools Can Call ICE On Undocumented Kids","The education secretary said it’s a local decision, but she didn’t argue against it.","","05/23/2018 03:32 pm ET","The Education Department needs to make publicly clear “what the current law is and what students’ rights are,” said Senteno."
"1574585294-70291","https://www.huffpost.com/news/topic/betsy-devos","Almost All Students With Disabilities Are Capable Of Graduating. Here's Why They Don't.","https://www.huffpost.com/entry/special-education-series_n_59fb588ae4b0415a420a55a6","Almost All Students With Disabilities Are Capable Of Graduating. Here’s Why They Don’t.","Our education system is failing students with special needs.","","11/04/2017 07:00 am ET","Who is in Special Education?"
"1574585294-70232","https://www.huffpost.com/news/topic/betsy-devos","Almost All Students With Disabilities Are Capable Of Graduating. Here's Why They Don't.","https://www.huffpost.com/entry/special-education-series_n_59fb588ae4b0415a420a55a6","Almost All Students With Disabilities Are Capable Of Graduating. Here’s Why They Don’t.","Our education system is failing students with special needs.","","11/04/2017 07:00 am ET","Related: Is teacher preparation failing students with disabilities?"
"1574585393-71090","https://www.huffpost.com/news/topic/betsy-devos","Betsy DeVos Stirs Uproar By Saying Schools Can Call ICE On Undocumented Kids","https://www.huffpost.com/entry/betsy-devos-uproar-schools-call-ice-undocumented-kids_n_5b05a297e4b05f0fc8441ce3","Betsy DeVos Stirs Uproar By Saying Schools Can Call ICE On Undocumented Kids","The education secretary said it’s a local decision, but she didn’t argue against it.","","05/23/2018 03:32 pm ET","“We are very concerned her statement yesterday leaves open to interpretation what the law actually is for schools and administrators and those in the community,” Senteno said. “There are going to be students and family members who are not going to know what that means.”"
"1574585287-70192","https://www.huffpost.com/news/topic/betsy-devos","Tuesday's Morning Email: How Betsy DeVos Became The Most Hated Cabinet Secretary","https://www.huffpost.com/entry/tuesdays-morning-email-how-betsy-devos-became-the-most-hated-cabinet-secretary_n_59ef188de4b0d14acdcc5bf5","Tuesday’s Morning Email: How Betsy DeVos Became The Most Hated Cabinet Secretary","“Meet the new Democratic bogeyman for 2018.”","","10/24/2017 07:03 am ET","MEGYN KELLY HITS OUT AT BILL O’REILLY’S CLAIMS THAT NO ONE COMPLAINED ABOUT HIM “This must stop,” Kelly said Monday. “The abuse of women, the shaming of them, the threatening and the retaliation, the silencing them after the fact — it has to stop.” Bill O’Reilly later said that “I truly believe that these people at the New York Times are out to hurt people with whom they disagree” and that he was “mad at God.” [HuffPost]"
"1574585517-71810","https://www.huffpost.com/news/topic/betsy-devos","Vandalized Office At Education Department Feared To Be Racially Motivated","https://www.huffpost.com/entry/vandalized-office-education-department-racially-motivated_n_5d604324e4b0dfcbd48d2d99","Vandalized Office At Education Department Feared To Be Racially Motivated","A Black employee’s African statues were reportedly beheaded, but investigators believe it was a freak occurrence.","","08/23/2019 05:58 pm ET","As a diversity change agent, the female employee’s job would be to train other employees to “embrace diversity and inclusion as strategic opportunities,” according to a government website."
"1574585330-70677","https://www.huffpost.com/news/topic/betsy-devos","Opinion | Kick 'Em Out Culture Hurts Students And Deepens Racial Divides","https://www.huffpost.com/entry/opinion-hopkinson-race-expulsion_n_5a6f5e59e4b0ddb658c9445c","Kick ‘Em Out Culture Hurts Students And Deepens Racial Divides","null","","01/30/2018 05:47 am ET","Racial disparities in school discipline were addressed in a 2014 guidance package from the U.S. departments of Justice and Education, which was designed to provide tools for fostering healthy school climates while complying with longstanding civil rights laws. The Obama administration also beefed up racial discipline data collection for all school districts. These were smart policies, and they worked. School suspensions plummeted, and parents and administrators were forced to think about the consequences of school discipline disparities."
"1574585373-70949","https://www.huffpost.com/news/topic/betsy-devos","Revealed: DeVos Letting Discriminators Off The Hook","https://www.huffpost.com/entry/transgender-bathrooms_n_5abe4f28e4b0f112dc9bbe8d","EXCLUSIVE: These Are The Transgender Students Whom The Education Department Abandoned","These transgender students hoped the Department of Education would help them. Instead, they were rejected.","","03/31/2018 10:04 am ET","One of those students, 18-year-old Preston Curts, a transgender male senior at a high school in Florida, originally filed a discrimination claim back in 2016, under the Obama administration. He filed a complaint with the U.S. Education Department challenging Marion County Schools’ rule that banned transgender students from using the bathroom that aligned with their gender identity. He hoped things would change, at least before he graduated."
