web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574584318-66104","https://www.huffpost.com/news/topic/elizabeth-warren","Top 2020 Democratic Contenders Prepare To Clash On Same Debate Stage","https://www.huffpost.com/entry/2020-democratic-debate-houston_n_5d7aae06e4b061b5526a1960","Top 2020 Democratic Contenders Prepare To Clash On Same Debate Stage","The ABC News debate is the first limited to one night after several candidates dropped out and others failed to meet new qualification standards.","","09/12/2019 04:57 pm ET","Biden’s remarkably steady lead in the crowded contest is built upon the idea that the former vice president is best suited to defeat President Donald Trump next year — a contention based on ideology, experience and perhaps gender. Sanders and Warren, meanwhile, have repeatedly criticized Biden’s measured approach, at least indirectly, by arguing that only bold action on key issues like health care, the economy and climate change can build the coalition needed to win in 2020."
"1574584581-67842","https://www.huffpost.com/news/topic/elizabeth-warren","Elizabeth Warren Targets ‘Billionaire Tears’ In Feisty New Campaign Ad","https://www.huffpost.com/entry/elizabeth-warren-billionaire-tears_n_5dccc1d6e4b0a794d1fa712d","Elizabeth Warren Targets ‘Billionaire Tears’ In Feisty New Campaign Ad","“All we’re saying is when you make it big, pitch in two cents so everybody else gets a chance,” the 2020 presidential candidate says in the clip.","","11/13/2019 11:21 pm ET","“Here’s the deal: You built a great fortune? Good for you. I guarantee you built it at least in part using workers all of us helped pay to educate. Getting your goods to market on roads and bridges all of us paid to build,” Warren says in the minute-long ad. “All we’re saying is when you make it big, pitch in two cents so everybody else gets a chance.”"
"1574584374-66537","https://www.huffpost.com/news/topic/elizabeth-warren","Larry David Kills As Bernie Sanders In Spoof Town Hall On 'Saturday Night Live'","https://www.huffpost.com/entry/larry-david-bernie-sanders-snl-democratic-presidential-forum-spoof_n_5d903870e4b0e9e7604df8e8","Larry David Kills As Bernie Sanders In Spoof Town Hall On ‘Saturday Night Live’","And Woody Harrelson’s Joe Biden soothes: “Daddy’s here, America. I see you, I hear you, I sniff you, and I hug you from behind.”","","09/29/2019 02:06 am ET","David looked like Sanders, even sounded like him — just funnier."
"1574584348-66351","https://www.huffpost.com/news/topic/elizabeth-warren","How Elizabeth Warren Got A Big Progressive Endorsement — And Why It Matters","https://www.huffpost.com/entry/how-elizabeth-warren-won-working-families-party-endorsement_n_5d83a6c7e4b0849d47255c16","How Elizabeth Warren Got A Big Progressive Endorsement — And Why It Matters","“I really feel that Elizabeth Warren would have a better shot at unifying the left and the center,” said one Working Families Party leader.","","09/19/2019 02:36 pm ET","Zucker, who is a part owner of her family’s veterinary hospital, described Warren’s vision as “capitalism with a conscience” and said she shares that view. “I’m fully in support of [Sanders’] policies in the vast majority of areas. But I think Elizabeth Warren is doing a better job of communicating what I believe is their shared vision of a just economy.”"
"1574584554-67674","https://www.huffpost.com/news/topic/elizabeth-warren","Mega-Billionaire Bill Gates Doesn't Want To Pay Warren's Wealth Tax","https://www.huffpost.com/entry/bill-gates-elizabeth-warren-wealth-tax_n_5dc35c7ee4b0055138825814","Mega-Billionaire Bill Gates Doesn’t Want To Pay Elizabeth Warren’s Wealth Tax","The Microsoft co-founder also refused to say if he would vote for the senator over Donald Trump.","","11/06/2019 09:51 pm ET","Warren’s signature plan calls for a 2% wealth tax on fortunes larger than $50 million and a 3% tax on every dollar of net worth above $1 billion to pay for some of her other bold ideas, such as “Medicare for All.” She estimates her tax would apply to just 75,000 households, and it’s popular among voters ― even millionaire voters. But Gates thinks it goes too far."
"1574584408-66717","https://www.huffpost.com/news/topic/elizabeth-warren","'It Was Like A Rallying Cry’: Bernie Sanders Campaign Surges Ahead After Heart Attack","https://www.huffpost.com/entry/bernie-sanders-campaign-heart-attack-2020-democratic-presidential-primary_n_5d9bda67e4b03b475f9ea78d","‘It Was Like A Rallying Cry’: Bernie Sanders Campaign Surges Ahead After Heart Attack","The Vermont senator’s presidential campaign and top supporters say they are buoyed by a wave of support following the 78-year-old’s hospitalization.","","10/08/2019 05:45 am ET","Calls for Sanders to drop out of the race ― however few they were in number ― only riled up Sanders’ supporters, many of whom already firmly believe that the established media and political classes will stop at nothing to prevent Sanders from winning."
"1574584517-67366","https://www.huffpost.com/news/topic/elizabeth-warren","The Core Of Bernie’s Base Is Up For Grabs In Iowa","https://www.huffpost.com/entry/young-voters-bernie-sanders-elizabeth-warren-iowa_n_5dbafe5be4b066da552ddc7e","The Core Of Bernie Sanders’ Base Is Up For Grabs In Iowa","Democratic voters under 30 consolidated behind Obama in 2008 and Sanders in 2016. Will they pick one candidate in 2020?","","10/31/2019 05:59 pm ET","“I haven’t seen anything to dissuade me from the fact that young people are going to be more engaged,” said John Della Volpe, who conducts regular polls of college-age voters for Harvard University’s Institute of Politics. “I imagine this is going to carry over into the caucus.”"
"1574584465-67063","https://www.huffpost.com/news/topic/elizabeth-warren","Elizabeth Warren Blames Ukraine Scandal On Impeachment Inaction After Mueller Report","https://www.huffpost.com/entry/elizabeth-warren-blames-ukraine-scandal-on-impeachment-inaction_n_5da6600fe4b062bdcb1a53a7","Elizabeth Warren Blames Ukraine Scandal On Impeachment Inaction After Mueller Report","“Impeachment is the way that we establish that this man will not be able to break the law over and over without consequence,” she said.","","10/15/2019 09:26 pm ET","Sanders called on Senate Majority Leader Mitch McConnell (R-Ky.) to “do the right thing and allow a free and fair trial in the Senate” ― something McConnell has not committed to doing if the House refers articles of impeachment as a result of its ongoing inquiry."
"1574584354-66405","https://www.huffpost.com/news/topic/elizabeth-warren","2020 Democratic Candidates Reach Out To LGBTQ Voters At Iowa Forum","https://www.huffpost.com/entry/2020-democratic-candidates-lgbtq-forum-iowa_n_5d859616e4b0957256b7297b","2020 Democratic Candidates Reach Out To LGBTQ Voters At Iowa Forum","Elizabeth Warren decried the killings this year of 18 trans women of color, Cory Booker said it’s time for a “woke president” on LGBTQ issues.","","09/21/2019 09:17 am ET","He recalled serving in the military under don’t ask, don’t tell when sexual preference had to be hidden. “I also remember the weight lifted when that was no longer a threat to my career,” he said. “And yet we know that so many Americans are still finding that they are treated as less-than, including trans military members right now who are willing to put their lives on the line for this country.”"
"1574584408-66711","https://www.huffpost.com/news/topic/elizabeth-warren","'It Was Like A Rallying Cry’: Bernie Sanders Campaign Surges Ahead After Heart Attack","https://www.huffpost.com/entry/bernie-sanders-campaign-heart-attack-2020-democratic-presidential-primary_n_5d9bda67e4b03b475f9ea78d","‘It Was Like A Rallying Cry’: Bernie Sanders Campaign Surges Ahead After Heart Attack","The Vermont senator’s presidential campaign and top supporters say they are buoyed by a wave of support following the 78-year-old’s hospitalization.","","10/08/2019 05:45 am ET","And the campaign racked up 8,000 donations on Wednesday, according to co-chair, Rep. Ro Khanna of California."
