web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574585732-72502","https://www.huffpost.com/news/topic/hillary-clinton","Hannity Accidentally Exposes 'Despicable' Truth About Trump’s Favorite Rally Cry","https://www.huffpost.com/entry/sean-hannity-banana-republic_n_5cf9d2a0e4b006ad194eb256","Hannity Accidentally Exposes The ‘Despicable’ Truth About Trump’s Favorite Rally Cry","Fox News host warns we could be heading toward a “banana republic.”","","06/07/2019 12:49 am ET","At a presidential debate, when Clinton said it was a good thing Trump wasn’t in charge of the nation’s laws, he shot back: “Because you’d be in jail.”"
"1574585834-73016","https://www.huffpost.com/news/topic/hillary-clinton","Trump's History Of Asking Foreign Governments To Do His Dirty Work","https://www.huffpost.com/entry/trump-ukraine-foreign-interference-russia_n_5d8d0fa6e4b0019647a583ba","Trump’s History Of Asking Foreign Governments To Do His Dirty Work","The president has long tried to solicit damaging information against his opponents.","","09/26/2019 04:37 pm ET","After WikiLeaks released a trove of Clinton’s emails weeks before the 2016 election, Trump loudly applauded the organization for publishing the damaging information against Clinton. He praised the organization more than 140 times, saying at one rally, “We love Wikileaks!”"
"1574585877-73157","https://www.huffpost.com/news/topic/hillary-clinton","Tulsi Gabbard Rips Hillary Clinton In Twitter Tirade As A 'Rot' Sickening Democratic Party","https://www.huffpost.com/entry/tulsi-gabbard-hillary-clinton-russian-asset_n_5daa2193e4b08cfcc31b4a5e","Tulsi Gabbard Rips Hillary Clinton In Twitter Tirade As A ‘Rot’ Sickening Democratic Party","She hit back at Clinton’s suggestion that the Hawaii congresswoman is a Russian asset.","","10/18/2019 05:51 pm ET","Rep. Tulsi Gabbard (D-Hawaii) is hitting back at Hillary Clinton’s suggestion that her presidential run is being boosted by Russia, lashing out against the former secretary of state as the “personification of the rot that has sickened the Democratic Party for so long.”"
"1574585749-72645","https://www.huffpost.com/news/topic/hillary-clinton","Joe Biden Shows Support From Black Voters In South Carolina, Despite Gaffes","https://www.huffpost.com/entry/biden-black-voters-south-carolina-support_n_5d0d6203e4b07ae90d9d3a90","Joe Biden Shows Support From Black Voters In South Carolina, Despite Gaffes","The 2020 Democratic candidate finds support from a key group of voters in a key state.","","06/21/2019 07:12 pm ET",""
"1574585688-72251","https://www.huffpost.com/news/topic/hillary-clinton","Pretending Trump Never Happened: 'An Evening With The Clintons'","https://www.huffpost.com/entry/bill-clinton-hillary-clinton-an-evening-with_n_5cb0f40ce4b098b9a2d3b3cc","Pretending Trump Never Happened: ‘An Evening With The Clintons’","For one spring night in New York City, it felt like 2016 all over again, albeit a tamer, almost nostalgic version of that year.","","04/12/2019 07:14 pm ET","Liz Bostian, 58, was a steadfast Hillary supporter in 2016, she said. But this time around, she isn’t sure if the Clintons’ endorsement would “hurt or help” a Democratic candidate."
"1574585704-72343","https://www.huffpost.com/news/topic/hillary-clinton","Hillary Clinton Reads Mueller Report Out Loud In New Jordan Klepper Video","https://www.huffpost.com/entry/hillary-clinton-reads-mueller-report-jordan-klepper_n_5cc634eee4b04eb7ff978ea9","Hillary Clinton Reads Mueller Report Out Loud In New Jordan Klepper Video","In a promo for the comedian’s new show, Trump’s 2016 opponent seemed to relish one line in particular.","","04/28/2019 08:18 pm ET","“The investigation established that the Russian government perceived it would benefit from a Trump presidency, and worked to secure that outcome, and that the campaign expected it would benefit electorally,” Clinton read out loud as stringed instruments played in the background. She continued, in her best Trump impression: “The president slumped back in his chair and said, ‘Oh, my God, this is terrible. This is the end of my presidency. I’m fucked.’” The last word was bleeped in the video."
"1574585840-73038","https://www.huffpost.com/news/topic/hillary-clinton","Nancy Pelosi: I Don't Think Our Founders Thought A President Would Ever Do This","https://www.huffpost.com/entry/nancy-pelosi-hillary-clinton-naral-anniversary_n_5d8d75f4e4b0ac3cdda62631","Nancy Pelosi: I Don’t Think Our Founders Thought A President Would Ever Do This","The House speaker and Hillary Clinton both made powerful addresses at the NARAL Pro-Choice America 50th anniversary dinner.","","09/27/2019 01:01 am ET","Pelosi also emphasized the right of every woman to reproductive health care, saying, “We have won in the court of public opinion, and now we must continue to win in the court of law.”"
"1574585716-72395","https://www.huffpost.com/news/topic/hillary-clinton","Searching For Mr. Electable","https://www.huffpost.com/entry/2020-democrats-electability_n_5ccb4a10e4b0d123955076ad","Searching For Mr. Electable","As Democrats eye their 2020 White House candidates, it’s best to recall that the “electability” path is littered with the bodies of losers.","","05/02/2019 06:11 pm ET","That statement sums up what appears to be the dominant feeling among Democratic primary voters this cycle. Except that quote, spoken by then-Gov. Jeanne Shaheen (D-N.H.) to Newsweek, is from 2004."
"1574585778-72790","https://www.huffpost.com/news/topic/hillary-clinton","Peter Strzok Sues Justice Department, FBI For Firing Over Anti-Trump Texts","https://www.huffpost.com/entry/peter-strzok-fbi-justice-department-firing-texts_n_5d4a0f06e4b0066eb709880a","Peter Strzok Sues Justice Department, FBI For Firing Over Anti-Trump Texts","The former FBI agent’s complaint alleges the bureau caved to pressure from Trump when it fired him over derogatory messages about the president.","","08/06/2019 08:00 pm ET","Multiple investigations are underway examining whether the FBI acted properly during the Russia investigation, and Strzok remains a frequent target of Trump’s scornful tweets. A Justice Department inspector general report focused on the early days of the Russia probe is expected to be released in the coming weeks."
"1574585626-71968","https://www.huffpost.com/news/topic/hillary-clinton","Katy Tur Busts Trump’s Latest Lie ― And She’s Got The Video To Prove It","https://www.huffpost.com/entry/donald-trump-russia-hack-claim_n_5c7ddc46e4b07fa0e23496cc","Katy Tur Busts Trump’s Latest Lie ― And She’s Got The Video To Prove It","MSNBC host catches the president in another whopper.","","03/04/2019 11:19 pm ET","Trump on Saturday claimed he was “in an arena” at the time, telling a joke, being “sarcastic” and “having fun with the audience” when he called on Moscow to hack his campaign rival in the now-infamous moment."
"1574585864-73114","https://www.huffpost.com/news/topic/hillary-clinton","Hillary Clinton Taunts ‘Obsessed’ Trump: ‘Obviously, I Can Beat Him Again’","https://www.huffpost.com/entry/hillary-clinton-taunts-donald-trump-obsessed_n_5d9d8ab8e4b02c9da0410f57","Hillary Clinton Taunts ‘Obsessed’ Donald Trump: ‘Obviously, I Can Beat Him Again’","“Maybe there does need to be a rematch.”","","10/09/2019 03:48 am ET","In the interview with Woodruff, Clinton said it “truly is remarkable how obsessed he remains with me, but this latest tweet is so typical of him.”"
"1574585633-72009","https://www.huffpost.com/news/topic/hillary-clinton","Was Sherrod Brown Likable Enough To Be President Though?","https://www.huffpost.com/entry/sherrod-brown-likable-president_n_5c82e1bce4b08d5b7861a6df","Was Sen. Sherrod Brown Likable Enough To Be President Though?","His voice is gravelly. His suits are rumpled. And the Ohio Democrat *really* needs to smile more.","","03/09/2019 01:56 pm ET","“I don’t think Sherrod has ever even seen a copy of GQ, let alone subscribed to it,” he said."
"1574585840-73045","https://www.huffpost.com/news/topic/hillary-clinton","Nancy Pelosi: I Don't Think Our Founders Thought A President Would Ever Do This","https://www.huffpost.com/entry/nancy-pelosi-hillary-clinton-naral-anniversary_n_5d8d75f4e4b0ac3cdda62631","Nancy Pelosi: I Don’t Think Our Founders Thought A President Would Ever Do This","The House speaker and Hillary Clinton both made powerful addresses at the NARAL Pro-Choice America 50th anniversary dinner.","","09/27/2019 01:01 am ET","The event also featured Rep. Haley Stevens (D-Mich.), New Mexico Gov. Michelle Grisham and Rep. Barbara Lee (D-Calif.), among other women, and prompted an array of best wishes from politicians, presidential candidates and public figures to celebrate the organization’s landmark anniversary:"
"1574585655-72094","https://www.huffpost.com/news/topic/hillary-clinton","DOJ Disclosures In Hillary Clinton Probe Will Make It Tough To Hide The Mueller Report","https://www.huffpost.com/entry/mueller-report-clinton-probe-justice-department_n_5c955ef5e4b057f7330ada53","DOJ Disclosures In Hillary Clinton Probe Will Make It Tough To Hide The Mueller Report","The department’s release of information about the former secretary of state’s emails sets a precedent that may complicate arguments for secrecy.","","03/22/2019 10:10 pm ET","WASHINGTON ― The Justice Department’s recent decision to provide Congress with a wide range of documents surrounding the investigation into Hillary Clinton’s emails will increase pressure on DOJ to be fully transparent about Robert Mueller’s special counsel investigation into President Donald Trump and Russian interference in the 2016 election."
"1574585737-72522","https://www.huffpost.com/news/topic/hillary-clinton","Hillary Clinton Announces Death Of Brother Tony Rodham","https://www.huffpost.com/entry/hillary-clinton-brother-tony-rodham-dies_n_5cfbf674e4b04e90f1ca3e30","Hillary Clinton Announces Death Of Brother Tony Rodham","“It’s hard to find words, my mind is flooded with memories of him today.”","","06/08/2019 04:11 pm ET","Like his sister, Rodham also became politically involved, working for the Democratic National Convention in 1992 as then-Arkansas Gov. Bill Clinton launched his successful presidential bid. In 2007, Rodham joined Hillary Clinton’s first presidential campaign."
"1574585840-73043","https://www.huffpost.com/news/topic/hillary-clinton","Nancy Pelosi: I Don't Think Our Founders Thought A President Would Ever Do This","https://www.huffpost.com/entry/nancy-pelosi-hillary-clinton-naral-anniversary_n_5d8d75f4e4b0ac3cdda62631","Nancy Pelosi: I Don’t Think Our Founders Thought A President Would Ever Do This","The House speaker and Hillary Clinton both made powerful addresses at the NARAL Pro-Choice America 50th anniversary dinner.","","09/27/2019 01:01 am ET","No one is above the law. Evidence presented shows that this President has abused his power, obstructed justice and obstructed Congress from fulfilling their duty as he tramples our freedoms and pushes an extreme agenda. Meddling in elections is an affront to a vibrant democracy, which is vital for our freedoms to flourish, including reproductive freedom and the right to abortion."
"1574585781-72817","https://www.huffpost.com/news/topic/hillary-clinton","Taylor Swift Defends Her Choice To Stay Silent In 2016 Presidential Election","https://www.huffpost.com/entry/taylor-swift-2016-election_n_5d4c45b3e4b0066eb70e514b","Taylor Swift Says She Stayed Silent In 2016 Election Because She ‘Wasn’t Going To Help’","The “Archer” singer worried she’d be a liability, not an endorsement, had she supported Hillary Clinton.","","08/08/2019 02:52 pm ET","“I’m not gonna sit here and go into my political views because that’s not what I chose to do,” Swift said at the time. “I chose to do music.”"
"1574585851-73083","https://www.huffpost.com/news/topic/hillary-clinton","Hillary Clinton: I Never Had To Warn Obama Not To Extort Foreign Countries","https://www.huffpost.com/entry/hillary-clinton-stephen-colbert-late-show_n_5d92ba9de4b0e9e76051c57b","Hillary Clinton: I Never Had To Warn Obama Not To Extort Foreign Countries","Stephen Colbert does a reality check with the former secretary of state on White House protocol.","","10/01/2019 12:06 am ET","Clinton, who was Trump’s 2016 Democratic rival, had plenty to say in response, but to summarize, the answer (after first responding with a big laugh) was, “Yeah... that never happened.”"
"1574585719-72430","https://www.huffpost.com/news/topic/hillary-clinton","Trump Spends Another Saturday Morning Rage Retweeting","https://www.huffpost.com/entry/donald-trump-rage-retweeting-talking-points_n_5cd6bcc7e4b054da4e8a03d0","Donald Trump Spends Another Saturday Morning Rage Retweeting","Trump even resorted at one point to retweeting himself.","","05/11/2019 08:53 am ET","Trump has used retweet swarms on at least two previous occasions this month."
