web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574583957-64344","https://www.huffpost.com/news/topic/joe-biden","Hunter Biden Says He Did Nothing 'Improper' In Ukraine, China Work","https://www.huffpost.com/entry/hunter-biden-interview_n_5da5a769e4b01c76560cc9cb","Hunter Biden Says He Did Nothing ‘Improper’ In Ukraine, China Work","Joe Biden’s son said he exercised “poor judgment,” however, by getting involved in something he compared to a “swamp.”","","10/15/2019 07:35 am ET","“I’m here,” Hunter Biden told ABC News. “I’m working and living my life.”"
"1574583952-64301","https://www.huffpost.com/news/topic/joe-biden","Kamala Harris Makes Stark Prediction On Length Of Trump Impeachment Process","https://www.huffpost.com/entry/kamala-harris-donald-trump-impeachment-time_n_5da57074e4b01c76560bf266","Kamala Harris Makes Stark Prediction On Length Of Trump Impeachment Process","“Dude gotta go,” said the Democratic presidential candidate.","","10/15/2019 04:00 am ET","The California senator also told a United Food and Commercial Workers candidate forum in Iowa over the weekend that she, as a former prosecutor, would prosecute Trump for impeachment now “based on everything I know.”"
"1574584093-65107","https://www.huffpost.com/news/topic/joe-biden","The Democrats’ Baffling Blind Spot On Carbon Emissions","https://www.huffpost.com/entry/the-democrats-baffling-blind-spot-on-carbon-emissions_n_5da4db19e4b0cad669a9b705","Democrats’ Baffling Blind Spot On Cars","Transportation is the greatest source of greenhouse gases in the United States. Why are all the 2020 candidates so scared to say it?","","11/04/2019 05:45 am ET","Illustration: Doug Chayka for HuffPost"
"1574584093-65086","https://www.huffpost.com/news/topic/joe-biden","The Democrats’ Baffling Blind Spot On Carbon Emissions","https://www.huffpost.com/entry/the-democrats-baffling-blind-spot-on-carbon-emissions_n_5da4db19e4b0cad669a9b705","Democrats’ Baffling Blind Spot On Cars","Transportation is the greatest source of greenhouse gases in the United States. Why are all the 2020 candidates so scared to say it?","","11/04/2019 05:45 am ET","Matthew Lewis, a climate and urban policy consultant in Berkeley, said Sanders’ plan is an inefficient way to spend such a large outlay. “Even as a symbolic victory, it’s not much of a victory,” Lewis said. “It’s like, ‘Congratulations, you just threw away enough money to build a great public transit system in every city in the country.’”"
"1574584073-64961","https://www.huffpost.com/news/topic/joe-biden","Biden Hits Back At Criticism of Age: 'See If I Have The Energy'","https://www.huffpost.com/entry/joe-biden-age-criticism-see-if-i-have-energy_n_5dbd8229e4b0d8b441cf8214","Biden Hits Back At Criticism of Age: ‘See If I Have The Energy’","The former vice president, 76, dismissed concerns over his series of campaign trail gaffes and jumbled statements.","Amy Russo","11/02/2019 11:36 am ET",""
"1574584166-65575","https://www.huffpost.com/news/topic/joe-biden","Pete Buttigieg Jets To The Top As Clear Front-Runner In New Iowa Poll","https://www.huffpost.com/entry/pete-buttigieg-iowa-caucus-poll-leader_n_5dd09f1ae4b01f982f03291c","Pete Buttigieg Jets To The Top As Clear Front-Runner In New Iowa Poll","“We’ve felt a lot of momentum on the ground,” said a pleased Buttigieg.","Mary Papenfuss","11/16/2019 09:26 pm ET",""
"1574584102-65162","https://www.huffpost.com/news/topic/joe-biden","Republicans Go Mute After Latest Ukraine Bombshell","https://www.huffpost.com/entry/trump-ukraine-impeachment-sondland_n_5dc1dbfce4b0f5dcf8fc7b6b","Republicans Go Mute After Latest Ukraine Bombshell","They’d rather not discuss the stunning reversal by a top Trump diplomat confirming a quid pro quo involving aid to Ukraine.","","11/05/2019 05:42 pm ET","“I’m going to wait until we get the case from the House and withhold judgment on the daily revelations, charges, witnesses and all the rest ... that’s really all I have to say about that,” Senate Majority Leader Mitch McConnell of Kentucky said at his weekly press conference at the Capitol."
"1574584152-65461","https://www.huffpost.com/news/topic/joe-biden","Next Up In Impeachment Hearings: A Parade Of Key Witnesses","https://www.huffpost.com/entry/next-up-in-impeachment-hearings-a-parade-of-key-witnesses_n_5dcd7690e4b0d43931d0d265","Next Up In Impeachment Hearings: A Parade Of Key Witnesses","Several more witnesses are scheduled to testify in the coming week that President Trump withheld military aid from Ukraine as he pushed a probe into rival Joe Biden.","","11/14/2019 10:52 am ET","Associated Press writer Matthew Lee contributed to this report."
"1574584045-64812","https://www.huffpost.com/news/topic/joe-biden","White House Official Who Listened To Trump Call Repeatedly Passed Concerns To Superior","https://www.huffpost.com/entry/alexander-vindman-trump-ukraine-call-impeachment_n_5db78ec6e4b02aee7d3508db","White House Official Who Listened To Trump Call Repeatedly Passed Concerns To Superior","Lt. Col. Alexander Vindman will tell lawmakers he didn’t think it was “proper to demand that a foreign government investigate a U.S. citizen.”","","10/28/2019 09:10 pm ET","The officer said he was troubled by Trump’s insistence that Ukraine open an investigation into Biden and his son Hunter, saying it would “likely be interpreted as a partisan play which would undoubtedly result in Ukraine losing the bipartisan support it has thus far maintained.” Hunter Biden served on the board of a Ukrainian energy company, Burisma, for five years, until earlier this year, but neither Biden has been accused of any official wrongdoing."
"1574584056-64889","https://www.huffpost.com/news/topic/joe-biden","Trump Jr.: I Wish I Was Hunter Biden So I Could Profit From My Dad's Presidency","https://www.huffpost.com/entry/trump-jr-hunter-biden-fox-news_n_5dba601fe4b066da552bf690","Trump Jr.: I Wish I Was Hunter Biden So I Could Profit From My Dad’s Presidency","The president’s son has an estimated net worth of $200 million.","","10/31/2019 03:25 am ET","The European Union and numerous Obama administration officials were all pushing for the prosecutor’s removal and multiple investigations have yielded no evidence of wrongdoing by the Bidens."
"1574584199-65810","https://www.huffpost.com/news/topic/joe-biden","Impeachment Testimony Reveals How Little Trump Cared About Corruption In Ukraine","https://www.huffpost.com/entry/sondland-trump-biden-corruption_n_5dd56744e4b0e29d727d792b","Impeachment Testimony Reveals How Little Trump Cared About Corruption In Ukraine","Trump wanted a TV announcement to bludgeon Biden, not an actual probe, EU Ambassador Gordon Sondland testified.","","11/20/2019 11:50 am ET","He noted the only information he was provided was that Trump wanted Zelensky to make a public statement announcing investigations into Burisma, a Ukrainian natural gas company that employed Hunter Biden, and whether Ukraine, and not Russia, interfered in the 2016 election. The only reason that Sondland said he was given for this was that Ukrainian officials had previously made promises in private that they did not deliver."
"1574584231-66004","https://www.huffpost.com/news/topic/joe-biden","Giuliani Crony Can Detail Nunes Meeting With Ex-Ukraine Official To Get Biden Dirt: Report","https://www.huffpost.com/entry/rudy-giuliani-lev-parnas-devin-nunes-joe-biden_n_5dd8a90ee4b0913e6f6cba16","Giuliani Crony Can Detail Nunes’ Meeting With Ex-Ukraine Official To Get Biden Dirt: Report","Lev Parnas’s lawyer says he’s willing to tell Congress that GOP Rep. Devin Nunes went to Vienna to talk to the prosecutor who was ousted over corruption issues.","","11/23/2019 12:25 am ET","Parnas worked with Shokin and Giuliani to peddle the baseless claims that Ukraine — not Russia — interfered in the 2016 election on behalf of the Democrats and that Biden’s actions in Ukraine were corrupt because his son was on the board of a Ukrainian company."
"1574584017-64672","https://www.huffpost.com/news/topic/joe-biden","Ex-Acting AG Matt Whitaker Offers Curious Trump Defense: 'Abuse Of Power Not A Crime'","https://www.huffpost.com/entry/matt-whitaker-trump-impeachment-abuse-of-power_n_5dafcff6e4b0f34e3a7e7f55","Ex-Acting AG Matt Whitaker Offers Curious Trump Defense: ‘Abuse Of Power Not A Crime’","Speaking to Fox News, Whitaker said the president was “being punished” for upsetting “the apple cart” of the “world establishment.”","","10/23/2019 05:56 am ET","Ingraham agreed with this assessment."
"1574583995-64556","https://www.huffpost.com/news/topic/joe-biden","Gordon Sondland’s Testimony About The Trump-Ukraine Scandal Defies Belief","https://www.huffpost.com/entry/sondland-ukraine-trump-giuliani_n_5da8ca57e4b034f1d69f7557","Gordon Sondland’s Testimony About The Trump-Ukraine Scandal Defies Belief","The ambassador claims he didn’t know Donald Trump was targeting Joe Biden in Ukraine — but the evidence was on front pages for months.","","10/17/2019 06:05 pm ET","The scrutiny of the Bidens in Ukraine and Giuliani’s role in pushing for an investigation intensified in the months after The New York Times story, with The Washington Post, The New Yorker, The Washington Times, BuzzFeed and others all publishing substantial reports on the subject."
"1574583952-64299","https://www.huffpost.com/news/topic/joe-biden","Kamala Harris Makes Stark Prediction On Length Of Trump Impeachment Process","https://www.huffpost.com/entry/kamala-harris-donald-trump-impeachment-time_n_5da57074e4b01c76560bf266","Kamala Harris Makes Stark Prediction On Length Of Trump Impeachment Process","“Dude gotta go,” said the Democratic presidential candidate.","Lee Moran","10/15/2019 04:00 am ET",""
"1574584102-65171","https://www.huffpost.com/news/topic/joe-biden","Republicans Go Mute After Latest Ukraine Bombshell","https://www.huffpost.com/entry/trump-ukraine-impeachment-sondland_n_5dc1dbfce4b0f5dcf8fc7b6b","Republicans Go Mute After Latest Ukraine Bombshell","They’d rather not discuss the stunning reversal by a top Trump diplomat confirming a quid pro quo involving aid to Ukraine.","","11/05/2019 05:42 pm ET","Sen. Mike Braun of Indiana, meanwhile, said he was skeptical any new testimony brought against the president would change the minds of Senate Republicans."
"1574584121-65301","https://www.huffpost.com/news/topic/joe-biden","Zelensky Was Set To Announce Biden Probe On CNN, Then Congress Pressed For Aid: Report","https://www.huffpost.com/entry/military-funds-ukraine-zelensky-cnn-joe-biden-trump_n_5dc4b937e4b02bf5793d2a1d","Zelensky Was Set To Announce Biden Probe On CNN, Then Congress Pressed For Aid: Report","The New York Times finds more evidence of a quid pro quo: Ukraine’s president was happily off the hook on the investigation once military funds were released.","","11/07/2019 09:11 pm ET","Trump reportedly expected Zelensky to make a high-profile statement about launching an investigation of his 2020 presidential rival. A top U.S. ambassador to Ukraine, William Taylor, testified before House members that Gordon Sondland, Trump’s appointed ambassador to the European Union, told him the military aid was dependent on Zelensky making a “public statement” about initiating an investigation of Biden."
"1574584156-65492","https://www.huffpost.com/news/topic/joe-biden","Democrats Don't Mind If The Impeachment Hearings Are A Show","https://www.huffpost.com/entry/show-impeachment-inevitable_n_5dcd9bb2e4b00b9293bfefd9","Democrats Don’t Mind If The Impeachment Hearings Are A Show","They’re still worth holding, they say, and they’re still worth watching.","","11/14/2019 02:55 pm ET","Swalwell pointed to those new discoveries when HuffPost asked if Democrats were just forced to “play out the string” with these impeachment hearings, and he thought the display could move polling and put pressure on Republicans."
