web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574583699-63524","https://www.huffpost.com/news/topic/john-mccain","Jon Kyl Resigning As Arizona Senator After Replacing John McCain","https://www.huffpost.com/entry/mccain-replacement-sen-jon-kyl-resigning-at-end-of-year_n_5c13d083e4b009b8aea6e22c","Jon Kyl Resigning As Arizona Senator After Replacing John McCain","The state’s GOP governor will need to name another replacement.","","12/14/2018 10:52 am ET","Kyl had said when he was appointed that he committed only to serving until the end of this year."
"1574583734-63644","https://www.huffpost.com/news/topic/john-mccain","Michelle Malkin Won't Apologize For 'Ghost Of John McCain' Jab At CPAC","https://www.huffpost.com/entry/michelle-malkin-con_n_5c84e759e4b08d5b78628778","Michelle Malkin Won’t Apologize For ‘Ghost Of John McCain’ Jab At CPAC","The conservative pundit claimed journalists started “a stupid catfight” by taking her words out of context.","","03/10/2019 08:22 am ET","Even conservative CNN host S.E. Cupp responded, tweeting that CPAC had devolved into “a place for agitprop and mean-spirited garbage.”"
"1574583801-63910","https://www.huffpost.com/news/topic/john-mccain","Searching For Mr. Electable","https://www.huffpost.com/entry/2020-democrats-electability_n_5ccb4a10e4b0d123955076ad","Searching For Mr. Electable","As Democrats eye their 2020 White House candidates, it’s best to recall that the “electability” path is littered with the bodies of losers.","","05/02/2019 06:11 pm ET","That statement sums up what appears to be the dominant feeling among Democratic primary voters this cycle. Except that quote, spoken by then-Gov. Jeanne Shaheen (D-N.H.) to Newsweek, is from 2004."
"1574583818-64007","https://www.huffpost.com/news/topic/john-mccain","Navy Acknowledges It Was Asked To 'Minimize' Visibility Of John McCain Warship","https://www.huffpost.com/entry/navy-uss-john-mccain-trump-japan_n_5cf2afdde4b0e346ce7f15f6","Navy Acknowledges It Was Asked To ‘Minimize’ Visibility Of John McCain Warship","The request was made in preparation for President Donald Trump’s visit to Japan.","Amy Russo","06/01/2019 03:03 pm ET",""
"1574583750-63702","https://www.huffpost.com/news/topic/john-mccain","Trump: I Was 'Never A Fan Of John McCain And Never Will Be'","https://www.huffpost.com/entry/donald-trump-john-mccain-oval-office_n_5c91255de4b071a25a878e52","Donald Trump: I Was ‘Never A Fan Of John McCain And Never Will Be’","The president keeps attacking the Arizona senator nearly seven months after his death.","","03/19/2019 02:17 pm ET","Meghan McCain, co-host of ABC’s “The View” and one of the late senator’s children, torched Trump for the remarks on Twitter."
"1574583728-63622","https://www.huffpost.com/news/topic/john-mccain","Cindy McCain Defends Husband After CPAC Speaker Blasts 'Ghost Of John McCain'","https://www.huffpost.com/entry/cindy-mccain-john-mccain-cpac-speaker_n_5c7c225ae4b0614614db7900","Cindy McCain Defends Husband After CPAC Speaker Blasts ‘Ghost Of John McCain’","The late senator’s wife had a terse but tart response to the criticism.","","03/03/2019 05:07 pm ET","McCain was often the focus of criticisms from President Donald Trump, who stirred controversy early in his White House campaign when he said the longtime Arizona senator was “not a war hero” because he was captured during the Vietnam War. McCain left the president off the list of people he wanted to attend his funeral; he asked former Presidents Barack Obama and George W. Bush to eulogize him instead."
"1574583772-63794","https://www.huffpost.com/news/topic/john-mccain","Fox News Hosts Tear Into Trump Over John McCain Attacks","https://www.huffpost.com/entry/fox-news-hosts-donald-trump_n_5c933291e4b08c4fec346403","Fox News Hosts Tear Into Donald Trump Over John McCain Attacks","CNN hosts also criticized Trump’s disparaging remarks about the late Arizona senator.","","03/21/2019 04:40 am ET","“Your World” host Neil Cavuto also questioned Trump’s interpretation of events when it came to the president’s criticism of McCain opposing GOP attempts to repeal the Affordable Care Act."
"1574583560-62962","https://www.huffpost.com/news/topic/john-mccain","Trump Ditched White House Statement Lauding McCain For Tweet On Senator's Death: Report","https://www.huffpost.com/entry/trump-ditches-prepared-white-house-statement-lauding-mccain-hero-report_n_5b834be2e4b034858601a6d3","Trump Ditched White House Statement Lauding McCain For Tweet On Senator’s Death: Report","The Washington Post reported Sunday that the White House prepared a statement for the president, calling McCain a “hero.”","Rebecca Shapiro","08/26/2018 10:38 pm ET",""
"1574583798-63895","https://www.huffpost.com/news/topic/john-mccain","Richard Lugar Becomes Latest Outcast In Trump’s With-Me-Or-Against-Me Presidency","https://www.huffpost.com/entry/trump-richard-lugar-friends-enemies_n_5cc8a41fe4b0e4d7572b1ef2","Richard Lugar Becomes Latest Outcast In Trump’s With-Me-Or-Against-Me Presidency","The respected GOP senator failed to endorse candidate Trump in life and got tardy recognition from President Trump in death.","","04/30/2019 06:19 pm ET","With Lugar, according to a former senior White House official who spoke on condition of anonymity, it was his public criticism of Trump’s presidential campaign and his failure to endorse Trump that put him on the no-praise list. “He is a never-Trumper,” the ex-official said."
"1574583755-63708","https://www.huffpost.com/news/topic/john-mccain","Cindy McCain Shares Nasty Message From Harasser On John McCain, Meghan McCain","https://www.huffpost.com/entry/cindy-mccain-hate-message-john-mccain_n_5c924cd6e4b07e0572a08983","Cindy McCain Shares Nasty Message From Harasser On John McCain, Meghan McCain","The hateful note came on the same day President Trump told reporters he “never will be” a fan of the late Arizona senator.","Jenna Amatulli","03/20/2019 11:52 am ET",""
"1574583832-64090","https://www.huffpost.com/news/topic/john-mccain","RNC's Birthday Tweet For Trump Goes Awry","https://www.huffpost.com/entry/donald-trump-rnc-birthday-wishes_n_5d048dd9e4b0985c419de321","RNC’s Birthday Tweet For Donald Trump Goes Awry","The Republican National Committee’s post received a frosty reception.","","06/15/2019 02:43 am ET","The RNC’s latest tweet was “liked” more than 18,000 times."
"1574583563-62979","https://www.huffpost.com/news/topic/john-mccain","Obama, Bush Asked To Speak At McCain's Funeral","https://www.huffpost.com/entry/obama-bush-john-mccain-eulogies_n_5b838678e4b034858601cf7e","Obama, Bush Asked To Speak At John McCain’s Funeral; Trump Told To Stay Away","The late senator will lie in state at the Arizona Capitol and in Capitol Rotunda in Washington D.C.","","08/27/2018 04:40 am ET","A private ceremony will be held on Sunday at the U.S. Naval Academy Chapel in Annapolis, Maryland, and McCain will be buried at the U.S. Naval Academy Cemetery next to Naval Academy classmate and longtime friend, Admiral Chuck Larson."
"1574583780-63825","https://www.huffpost.com/news/topic/john-mccain","Bridget McCain Breaks Silence On Trump's Attacks On Her Father: 'You Are A Child'","https://www.huffpost.com/entry/bridget-mccain-donald-trump_n_5c93b964e4b0d952b224c198","Bridget McCain Breaks Silence On Trump’s Attacks On Her Father: ‘You Are A Child’","John McCain’s youngest daughter confirmed her family didn’t invite the president to the senator’s funeral in August.","","03/21/2019 01:31 pm ET","“I’m not the only child in my family ― I have six brothers and sisters,” Meghan McCain said during Thursday’s episode of “The View.” “My little sister Bridget, for the first time ever, has decided that she wants to speak out. She’s very, very private. ... I think it’s very brave of her.”"
"1574583739-63654","https://www.huffpost.com/news/topic/john-mccain","Donald Trump Keeps Bashing John McCain Nearly 7 Months After His Death","https://www.huffpost.com/entry/donald-trump-john-mccain-tweets_n_5c8e43a0e4b03e83bdc2006a","Donald Trump Keeps Bashing John McCain Nearly 7 Months After His Death","The president mocked the late GOP senator’s grades at the U.S. Naval Academy.","","03/17/2019 12:28 pm ET","Trump has repeatedly claimed the dossier was “fake” and “totally discredited,” though many of its claims have been proven at least partially true."
"1574583723-63599","https://www.huffpost.com/news/topic/john-mccain","NASA Astronaut Mark Kelly Announces Run For McCain Senate Seat In Arizona","https://www.huffpost.com/entry/mark-kelly-mccain-senate-run_n_5c62ca58e4b07cfa42d739b1","NASA Astronaut Mark Kelly Announces Run For McCain Senate Seat In Arizona","He rocketed to the national spotlight when his Congresswoman wife Gabrielle Giffords was shot in a failed assassination attempt.","","02/12/2019 08:35 am ET","If Kelly is nominated, the race would pit a Navy veteran and astronaut against a trailblazing Air Force pilot in the contest to replace McCain, a legendary Navy flyer who was famously shot down and held captive."
"1574583650-63340","https://www.huffpost.com/news/topic/john-mccain","Did George W. Bush Just Sneak Michelle Obama A Piece Of Candy At McCain's Funeral?","https://www.huffpost.com/entry/george-w-bush-sneaks-michelle-obama-piece-of-candy-at-mccain-funeral_n_5b8ad7ade4b0511db3d9312b","Did George W. Bush Just Sneak Michelle Obama A Piece Of Candy At McCain’s Funeral?","It’s the latest time cameras have caught their unlikely friendship.","","09/01/2018 05:22 pm ET","At the service in Washington, D.C., Saturday, former U.S. presidents and first ladies sat upfront together, and the cameras caught what looked like a sweet moment between Michelle Obama and the Republican president her husband replaced."
"1574583720-63589","https://www.huffpost.com/news/topic/john-mccain","Meghan McCain Invokes Cardi B To Send Scathing Message To The Trumps","https://www.huffpost.com/entry/meghan-mccain-trumps-father-funeral-colbert_n_5c5d507ee4b0a502ca3471be","Meghan McCain Invokes Cardi B To Send Scathing Message To The Trumps","“The View” co-host explained why Ivanka Trump and Jared Kushner made her feel “uncomfortable” at the funeral of her father, Sen. John McCain.","","02/08/2019 06:39 am ET","Meghan McCain is neither forgiving nor forgetting the insulting way that President Donald Trump treated her father, the late Sen. John McCain, in life and reportedly in death."
"1574583613-63177","https://www.huffpost.com/news/topic/john-mccain","McConnell Proposes Bipartisan 'Gang' To Decide Senate's McCain Tribute","https://www.huffpost.com/entry/mcconnell-bipartisan-senate-mccain-tribute_n_5b855e9de4b0511db3d1e69a","McConnell Proposes Bipartisan ‘Gang’ To Decide Senate’s McCain Tribute","Yet he did not mention renaming the Russell Senate Office Building, as Sen. Chuck Schumer suggested.","","08/28/2018 01:15 pm ET","Trump, a political foe of McCain, issued a statement Monday afternoon after receiving backlash to say the White House flag would remain at half-staff until McCain is interred. The president also said, “I respect Senator John McCain’s service to our country,” two days after issuing a very brief condolence statement on Twitter."
"1574583550-62923","https://www.huffpost.com/news/topic/john-mccain","The Best Stories About John McCain","https://www.huffpost.com/entry/john-mccain-stories_n_5b82ac96e4b0348586015e56","The Best Stories About John McCain","Capitol Hill staffers and reporters are among those sharing their favorite memories of the senator.","","08/26/2018 11:53 am ET","“I don’t think we’ll ever see anyone like John McCain, I think he was one of a kind,” Sen. Jeff Flake (R-Ariz.) said Sunday of his home state colleague on NBC’s “Meet the Press.”"
"1574583728-63625","https://www.huffpost.com/news/topic/john-mccain","Cindy McCain Defends Husband After CPAC Speaker Blasts 'Ghost Of John McCain'","https://www.huffpost.com/entry/cindy-mccain-john-mccain-cpac-speaker_n_5c7c225ae4b0614614db7900","Cindy McCain Defends Husband After CPAC Speaker Blasts ‘Ghost Of John McCain’","The late senator’s wife had a terse but tart response to the criticism.","","03/03/2019 05:07 pm ET","Malkin’s comments were echoed as the conference concluded when Fox News host Jeanine Pirro said the pundit was right to call out McCain and other Republican leaders."
"1574583553-62927","https://www.huffpost.com/news/topic/john-mccain","Fox News Analyst Slams Trump Over McCain Condolences Tweet: 'Still Not A Kind Word'","https://www.huffpost.com/entry/fox-news-trump-mccain_n_5b82b568e4b072951513d198","Fox News Analyst Calls Out Donald Trump Over Bland John McCain Condolences Tweet","The president’s statement didn’t include “a kind word” about the late Republican senator, Brit Hume tweeted.","","08/26/2018 11:57 am ET","A senior political analyst for Fox News, President Donald Trump’s favorite cable news network, blasted the president’s brief statement on Saturday about the death of Sen. John McCain (R-Ariz.)."
"1574583768-63771","https://www.huffpost.com/news/topic/john-mccain","Trump: 'I Didn't Get Thank You' For Approving John McCain's Funeral Arrangements","https://www.huffpost.com/entry/trump-mccain-funeral-thank-you_n_5c92b855e4b0d952b2230769","Trump: ‘I Didn’t Get Thank You’ For Approving John McCain’s Funeral Arrangements","“I gave him the kind of funeral he wanted,” the president said during a speech about the economy on Wednesday.","","03/20/2019 08:11 pm ET","Trump did not attend McCain’s funeral — a request that reportedly came from the senator’s family. The Washington Post reported that Washington National Cathedral likely approved the senator’s state funeral arrangements, that congressional authorization is needed for lying in state at the Capitol and that Trump had to approve only the military transportation."
"1574583811-63979","https://www.huffpost.com/news/topic/john-mccain","Meghan McCain Says Trump Won't Let Her Dad Rest In Peace, Makes Grief 'Unbearable'","https://www.huffpost.com/entry/meghan-mccain-donald-trump-uss-mccain_n_5cef252ee4b07e067d88a72b","Meghan McCain Says Trump Won’t Let John McCain Rest In Peace, Makes Grief ‘Unbearable’","“Trump is a child who will always be deeply threatened by the greatness of my dads incredible life,” the co-host of “The View” tweeted.","","05/29/2019 09:53 pm ET","“USS John McCain needs to be out of sight,” read the email."
"1574583555-62938","https://www.huffpost.com/news/topic/john-mccain","Opinion | Republicans Can Honor John McCain By Putting America Before Trump","https://www.huffpost.com/entry/opinion-john-mccain-republicans-trump_n_5b82df26e4b0348586018d2c","Republicans Can Honor John McCain By Putting America Before Trump","null","","08/26/2018 03:23 pm ET","Now, with Trump working himself into an anti-Sessions frenzy. Grassley says he could make time for confirmation hearings."
"1574583821-64035","https://www.huffpost.com/news/topic/john-mccain","Mick Mulvaney: 'Not Unreasonable' To Ask Navy To Move John McCain Warship","https://www.huffpost.com/entry/mick-mulvaney-trump-john-mccain_n_5cf3dd08e4b0a1997b6bf82b","Mick Mulvaney: ‘Not Unreasonable’ To Ask Navy To Move John McCain Warship","The acting White House chief of staff said it would be “silly” to fire someone for trying to protect Trump’s feelings.","","06/02/2019 11:45 am ET","“But I would never do a thing like that,” he added. “Now, somebody did it because they thought I didn’t like him, OK? And they were well-meaning, I will say. I didn’t know anything about it. I would never have done that.”"
