web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575008700-49473","https://www.huffpost.com/news/topic/mitch-mcconnell","Beating Mitch McConnell? Kentucky Democrats Have A Plan For That","https://www.huffpost.com/entry/mitch-mcconnell-senate-2020_n_5dc58831e4b00927b23220bc","Beating Mitch McConnell? Kentucky Democrats Have A Plan For That","A surprise victory in last week’s governor’s race may kickstart a long, slow turn away from the GOP in the Bluegrass.","","11/11/2019 05:45 am ET","Minter, meanwhile, had won election to her state house seat in Bowling Green — the seat of traditionally red Warren County — in 2018 just three weeks after marching with drag queens."
"1575008494-48542","https://www.huffpost.com/news/topic/mitch-mcconnell","Mitch McConnell Weighs In On Nike Controversy: 'I'll Make The First Order'","https://www.huffpost.com/entry/mitch-mcconnell-nike-betsy-ross_n_5d1cb962e4b082e55373284f","Mitch McConnell Weighs In On Nike Controversy: ‘I’ll Make The First Order’","The Senate majority leader is calling on Nike to reverse its decision to pull its Independence-Day themed shoes featuring the “Betsy Ross flag.”","","07/03/2019 11:37 am ET","The Air Max 1 USA featured prominent red, white and blue colors and depicted an American flag with 13 stars, commonly known as the “Betsy Ross flag,” on its heels."
"1575008450-48301","https://www.huffpost.com/news/topic/mitch-mcconnell","Freshmen Dems Bash Mitch McConnell While Calling For A Senate Vote On Their Reform Bill","https://www.huffpost.com/entry/democrats-hr-1-mitch-mcconnell_n_5cf80235e4b0638bdfa39553","Freshmen Dems Bash Mitch McConnell While Calling For A Senate Vote On Their Reform Bill","H.R. 1 passed the House in March. But Majority Leader McConnell refuses to allow a Senate vote on it.","","06/05/2019 03:51 pm ET","“Mitch McConnell remains in the pockets of the special interests,” Rep. Max Rose (D-N.Y.) said."
"1575008539-48756","https://www.huffpost.com/news/topic/mitch-mcconnell","GOP-Controlled Senate Passes Massive 2-Year Spending Deal","https://www.huffpost.com/entry/budget-deal-congress_n_5d42f4a6e4b0acb57fc8bcf2","GOP-Controlled Senate Passes Massive 2-Year Spending Deal","The deal increases the debt ceiling and lowers the chances of a government shutdown later this year. But it does nothing to address rapidly rising deficits.","","08/01/2019 12:34 pm ET","Several other presidential contenders did not vote, likely because of their appearance Wednesday night at the second Democratic debate in Detroit. Those senators included: Cory Booker of New Jersey, Kamala Harris of California, Bernie Sanders of Vermont and Elizabeth Warren of Massachusetts."
"1575008470-48391","https://www.huffpost.com/news/topic/mitch-mcconnell","Reparations Hearing Tests Whether Congress Can Confront History","https://www.huffpost.com/entry/house-reparations-hearing_n_5d0a42a2e4b06ad4d25985d7","Reparations Hearing Tests Whether Congress Can Confront History","Republicans say it’s time to move on from the “original sin” of slavery, even though its ill effects have lingered.","","06/19/2019 10:56 am ET","WASHINGTON — As a House committee prepared to hold a hearing on reparations for African Americans on Wednesday, the top Republican on Capitol Hill demonstrated why the hearing might be a good idea."
"1575008649-49243","https://www.huffpost.com/news/topic/mitch-mcconnell","Oregon Democrat Steps Up Oversight Of Trump Official Amid Criticism He's Too Lax","https://www.huffpost.com/entry/peter-defazio-oregon-democrat-transportation-committee-letter-inspector-general-secretary-elaine-chao-kentucky-bias_n_5da631cde4b02253a2f9d0af","Oregon Democrat Steps Up Oversight Of Trump Official Amid Criticism He’s Too Lax","Rep. Peter DeFazio wants answers about Transportation Secretary Elaine Chao’s possible bias toward Kentucky — her powerful husband’s home state.","","10/15/2019 06:10 pm ET","A spokesperson for the Department of Transportation reacted dismissively to the letter."
"1575008715-49556","https://www.huffpost.com/news/topic/mitch-mcconnell","The Day Impeachment Threatens McConnell’s Senate Job Is The Day Trump Is In Big Trouble","https://www.huffpost.com/entry/trump-mcconnell-impeachment_n_5dd4728ae4b0fc53f20a672e","The Day Impeachment Threatens McConnell’s Senate Job Is The Day Trump Is In Big Trouble","The Senate majority leader is likely to abandon the president if it appears that keeping his role is more assured if Trump is gone.","","11/19/2019 07:09 pm ET","“McConnell will shrewdly play Trump’s game until a clear majority of voters in enough states that Republican senators need to hold to keep control turn on Trump,” Tyler said. “At that point, he will dump Trump.”"
"1575008488-48513","https://www.huffpost.com/news/topic/mitch-mcconnell","Mitch McConnell's Stolen Supreme Court Seat Keeps Paying Dividends For GOP","https://www.huffpost.com/entry/mitch-mcconnell-supreme-court-obama-merrick-garland-neil-gorsuch_n_5d152a12e4b07f6ca57a98b5","Mitch McConnell’s Stolen Supreme Court Seat Keeps Paying Dividends For GOP","Conservative justices ruled 5-4 that extreme partisan gerrymandering is fine. Guess which party benefits the most?","","06/27/2019 05:36 pm ET","Republicans won about 16 more U.S. House seats than expected and may have held onto as many as seven state House chambers thanks to those districts being drawn to give the GOP a built-in advantage, per a March 2019 analysis by The Associated Press."
"1575008700-49440","https://www.huffpost.com/news/topic/mitch-mcconnell","Beating Mitch McConnell? Kentucky Democrats Have A Plan For That","https://www.huffpost.com/entry/mitch-mcconnell-senate-2020_n_5dc58831e4b00927b23220bc","Beating Mitch McConnell? Kentucky Democrats Have A Plan For That","A surprise victory in last week’s governor’s race may kickstart a long, slow turn away from the GOP in the Bluegrass.","","11/11/2019 05:45 am ET","Heron, who is Black, recounted a recent conversation with a middle-aged Black man from west Louisville about November’s governor’s race. “He’s a barber who runs his own business and has a college education, and he doesn’t vote. And he doesn’t plan to vote,” Herron said. “If we’re not investing in people like him, we’re missing a huge opportunity. They could move the electorate, but we’re just making the assumption that they’re going to vote Democratic.”"
"1575008700-49453","https://www.huffpost.com/news/topic/mitch-mcconnell","Beating Mitch McConnell? Kentucky Democrats Have A Plan For That","https://www.huffpost.com/entry/mitch-mcconnell-senate-2020_n_5dc58831e4b00927b23220bc","Beating Mitch McConnell? Kentucky Democrats Have A Plan For That","A surprise victory in last week’s governor’s race may kickstart a long, slow turn away from the GOP in the Bluegrass.","","11/11/2019 05:45 am ET","If success in gubernatorial contests translated directly to victories in Senate races, McConnell never would’ve made it to Washington. Democrats have now won 11 of the past 13 governor’s races, but they’ve lost eight consecutive Senate races since 1992, and haven’t come within 100,000 votes of McConnell since 1990."
"1575008700-49460","https://www.huffpost.com/news/topic/mitch-mcconnell","Beating Mitch McConnell? Kentucky Democrats Have A Plan For That","https://www.huffpost.com/entry/mitch-mcconnell-senate-2020_n_5dc58831e4b00927b23220bc","Beating Mitch McConnell? Kentucky Democrats Have A Plan For That","A surprise victory in last week’s governor’s race may kickstart a long, slow turn away from the GOP in the Bluegrass.","","11/11/2019 05:45 am ET","Heading into 2020, the dynamics in Kentucky still favor McConnell, barring a massive and unexpected change. And they’ll probably benefit Republicans in the state for at least another decade, said Scott Lasley, a Western Kentucky University political scientist and district vice chairman in the state GOP. Republicans hold supermajorities in both state legislative chambers, and Lasley’s guess is that it could take 30 years for Democrats to regain control of either. That’s not just GOP sentiment: “We can get it back,” Jeff Taylor, the former lawmaker from Hopkinsville, said of the state legislature, sounding as if he was trying to convince himself more than me. “But this is not happening overnight. It’s going to be a long time.”"
"1575008530-48713","https://www.huffpost.com/news/topic/mitch-mcconnell","Twitter Users Slam 'Moscow Mitch' After McConnell Kills Election Security Bills","https://www.huffpost.com/entry/moscow-mitch-mcconnell-russia-election-security_n_5d3b05abe4b0ef792e0b4c63","Twitter Users Slam ‘Moscow Mitch’ After McConnell Kills Election Security Bills","The Senate majority leader blocked two measures to ward off foreign meddling amid ongoing concerns over the threat of Russian interference.","Amy Russo","07/26/2019 11:47 am ET",""
"1575008450-48307","https://www.huffpost.com/news/topic/mitch-mcconnell","Freshmen Dems Bash Mitch McConnell While Calling For A Senate Vote On Their Reform Bill","https://www.huffpost.com/entry/democrats-hr-1-mitch-mcconnell_n_5cf80235e4b0638bdfa39553","Freshmen Dems Bash Mitch McConnell While Calling For A Senate Vote On Their Reform Bill","H.R. 1 passed the House in March. But Majority Leader McConnell refuses to allow a Senate vote on it.","","06/05/2019 03:51 pm ET","These House freshmen won election in 2018 by running on issues like campaign finance reform and expanding voting rights. Those calling on McConnell to give the For The People Act a vote in the Senate had previously sent a letter during the 2018 campaign calling on House leadership of both parties to prioritize these issues."
"1575008494-48541","https://www.huffpost.com/news/topic/mitch-mcconnell","Mitch McConnell Weighs In On Nike Controversy: 'I'll Make The First Order'","https://www.huffpost.com/entry/mitch-mcconnell-nike-betsy-ross_n_5d1cb962e4b082e55373284f","Mitch McConnell Weighs In On Nike Controversy: ‘I’ll Make The First Order’","The Senate majority leader is calling on Nike to reverse its decision to pull its Independence-Day themed shoes featuring the “Betsy Ross flag.”","","07/03/2019 11:37 am ET","Senate Majority Leader Mitch McConnell is calling on Nike to reverse its decision to pull its Independence Day-themed shoes, pledging that if they do, he will make the first purchase."
"1575008630-49146","https://www.huffpost.com/news/topic/mitch-mcconnell","Beto O'Rourke: Chuck Schumer's Accomplished 'Absolutely Nothing' On Gun Control","https://www.huffpost.com/entry/beto-orourke-chuck-schumer-gun-control_n_5d84da5de4b070d468cb85d9","Beto O’Rourke: Chuck Schumer’s Accomplished ‘Absolutely Nothing’ On Gun Control","Schumer, the Senate minority leader, has criticized O’Rourke’s plan for mandatory assault weapon buybacks.","","09/20/2019 03:13 pm ET","On Tuesday, Senate Majority Leader Mitch McConnell (R-Ky.) said he was awaiting “guidance from the White House as to what [President Donald Trump] thinks he’s comfortable signing,” The Associated Press reported. Until then, Congress is in a “holding pattern” with regard to gun reform, McConnell said."
"1575008609-49039","https://www.huffpost.com/news/topic/mitch-mcconnell","Ari Melber Points Out McConnell’s Double Standards On Nicknames","https://www.huffpost.com/entry/mitch-mcconnell-nicknames-ari-melber_n_5d70a874e4b011080459fae7","Ari Melber Points Out Mitch McConnell’s Double Standards On Nicknames","McConnell may hate being called “Moscow Mitch,” but he’s not so particular about his other monikers.","","09/05/2019 03:43 am ET","Senate Majority Leader Mitch McConnell (R-Ky.) may still be seething about his new “Moscow Mitch” nickname."
