web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574583294-62322","https://www.huffpost.com/news/topic/sarah-palin","Visualize Resistance","https://www.huffpost.com/entry/visualize-resistance_b_13502314","Visualize Resistance","null","","12/07/2016 08:45 pm ET","This is what we’re up against."
"1574583271-62169","https://www.huffpost.com/news/topic/sarah-palin","President-elect Donald Trump Announces His Cabinet","https://www.huffpost.com/entry/presidentelect-donald-tru_b_12879880","President-elect Donald Trump Announces His Cabinet","null","","11/10/2016 11:42 am ET","Secretary of Interior: Martha Stewart 

Fracking can contaminate ground water, release toxic pollutants into the air, and increase the chances for earthquakes. If Stewart, an interior decorator and a former Trump business associate, becomes interior secretary, she’ll do nothing about the dangers of fracking but at least the noxious air will smell more like cinnamon."
"1574583279-62209","https://www.huffpost.com/news/topic/sarah-palin","A Game: Are These Improbable Candidates Being Floated For Top Trump Jobs?","https://www.huffpost.com/entry/fun-game-are-they-being-floated_n_582b3508e4b060adb57057c0","Time For A Game: Are These Improbable Candidates Being Floated For Top Trump Jobs?","This game is fun, right? Right??","","11/16/2016 11:55 am ET","FLOATED! One day your father is being linked to the JFK assassination and the next, your name is being thrown around to be in a position to overturn Roe vs. Wade! I’m gonna go lay face down in the shower for a couple years."
"1574583222-61908","https://www.huffpost.com/news/topic/sarah-palin","Of Course, #BlackLivesMatter. How Could Anything Be Less Controversial?","https://www.huffpost.com/entry/of-course-blacklivesmatter-how-be-less-controversial_b_10942918","Of Course, Black Lives Matter. How Could Anything Be Less Controversial?","null","","07/12/2016 11:49 am ET",""
"1574583254-62084","https://www.huffpost.com/news/topic/sarah-palin","Stephen Colbert Is Stone-Cold Funny While Mocking Sarah Palin's Rock-Run Rant","https://www.huffpost.com/entry/stephen-colbert-is-stone-cold-funny-mocking-sarah-palins-rock-run-rant_n_57c6adb8e4b0e60d31dc369b","Stephen Colbert Is Stone-Cold Funny While Mocking Sarah Palin’s Rock-Run Rant","Making sense of making no sense at all.","Ron Dicker","08/31/2016 07:25 am ET",""
"1574583380-62748","https://www.huffpost.com/news/topic/sarah-palin","The Real Story Behind John McCain's Famous Campaign Rally Moment","https://www.huffpost.com/entry/mccain-defends-obama-real-story_n_5b821dffe4b03485860129c4","The Real Story Behind John McCain’s Famous Campaign Rally Moment","He cut off a supporter who had termed Barack Obama an Arab, but there are reasons why he needed to step in.","","08/26/2018 10:56 am ET","McCain has reportedly asked Obama to give a eulogy at his funeral. In a statement released after McCain’s death, Obama’s regard for the senator was clear."
"1574583222-61945","https://www.huffpost.com/news/topic/sarah-palin","Of Course, #BlackLivesMatter. How Could Anything Be Less Controversial?","https://www.huffpost.com/entry/of-course-blacklivesmatter-how-be-less-controversial_b_10942918","Of Course, Black Lives Matter. How Could Anything Be Less Controversial?","null","","07/12/2016 11:49 am ET","But saying nothing about intolerance or racism is far worse than risking being misunderstood."
"1574583363-62658","https://www.huffpost.com/news/topic/sarah-palin","Sarah Palin Slams 'Evil, Sick' Sacha Baron Cohen After Being Duped Into Interview","https://www.huffpost.com/entry/sarah-palin-sacha-baron-cohen_n_5b4558b2e4b048036ea39643","Sarah Palin Slams ‘Evil, Sick’ Sacha Baron Cohen After Being Duped Into Interview","The former Fox News pundit and vice presidential candidate said the “Borat” creator’s team also made her miss her flight home.","Rebecca Shapiro","07/10/2018 10:51 pm ET",""
"1574583239-62038","https://www.huffpost.com/news/topic/sarah-palin","Sarah Palin's Son-In-Law, Medal Of Honor Recipient, Slams Trump's Attacks Against Khan Family","https://www.huffpost.com/entry/dakota-meyer-donald-trump-sarah-palin_n_57a114b5e4b0693164c32433","Sarah Palin’s War Hero Son-In-Law Slams Trump’s Attacks On Khan Family","Dakota Meyer, who received the Medal of Honor for valor in Afghanistan, said Trump should apologize.","","08/02/2016 07:10 pm ET","Editor’s note: Donald Trump regularly incites political violence and is a serial liar, rampant xenophobe, racist, misogynist and birther who has repeatedly pledged to ban all Muslims — 1.6 billion members of an entire religion — from entering the U.S."
"1574583205-61845","https://www.huffpost.com/news/topic/sarah-palin","Elizabeth Warren Wows Ohio","https://www.huffpost.com/entry/elizabeth-warren-wows-ohi_b_10708134","Elizabeth Warren Wows Ohio","null","","06/27/2016 07:54 pm ET",""
"1574583301-62376","https://www.huffpost.com/news/topic/sarah-palin","If You're Looking For Misinformation, Go To Sarah Palin's Facebook Page","https://www.huffpost.com/entry/sarah-palin-facebook_n_586e74ede4b099cdb0fbb984","If You’re Looking For Misinformation, Go To Sarah Palin’s Facebook Page","Almost 5 million people “like” her page.","","01/05/2017 03:01 pm ET","Palin’s page has addressed the problem of “fake news” multiple times, and questioned Fox News in a post last month."
"1574583271-62173","https://www.huffpost.com/news/topic/sarah-palin","President-elect Donald Trump Announces His Cabinet","https://www.huffpost.com/entry/presidentelect-donald-tru_b_12879880","President-elect Donald Trump Announces His Cabinet","null","","11/10/2016 11:42 am ET","Secretary of Housing and Urban Development: Donald Sterling 

The billionaire slum lord and former NBA owner was banned from professional basketball after his racist statements were made public. Sterling has been sued multiple times for refusing to rent apartments to blacks. So has Trump."
"1574583175-61742","https://www.huffpost.com/news/topic/sarah-palin","Joe Biden For President","https://www.huffpost.com/entry/joe-biden-for-president_b_10031192","Joe Biden For President","null","","05/19/2016 02:26 pm ET","I’m in with Biden."
"1574583294-62308","https://www.huffpost.com/news/topic/sarah-palin","Visualize Resistance","https://www.huffpost.com/entry/visualize-resistance_b_13502314","Visualize Resistance","null","","12/07/2016 08:45 pm ET","Last Saturday, the three-day ordeal of the roof replacement ended, and I realized that I’ve learned a lot about construction. For instance, I hadn’t known that:"
"1574583380-62749","https://www.huffpost.com/news/topic/sarah-palin","The Real Story Behind John McCain's Famous Campaign Rally Moment","https://www.huffpost.com/entry/mccain-defends-obama-real-story_n_5b821dffe4b03485860129c4","The Real Story Behind John McCain’s Famous Campaign Rally Moment","He cut off a supporter who had termed Barack Obama an Arab, but there are reasons why he needed to step in.","","08/26/2018 10:56 am ET","“Few of us have been tested the way John once was, or required to show the kind of courage that he did. But all of us can aspire to the courage to put the greater good above our own,” Obama wrote. “At John’s best, he showed us what that means.”"
