web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574580197-55597","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Debates Identify Plenty of Democratic Divisions, but Not a Consensus FavoriteJoseph R. Biden Jr. is the front-runner, but a fragile one. And now he finds himself defending his ties to Barack Obama, whose legacy drew some criticism from other Democrats.By Jonathan Martin and Alexander BurnsPRINT EDITIONFront-Runner  In a Torn Party  Starts to Teeter|August 2, 2019, Page A1","https://www.nytimes.com/2019/08/01/us/politics/biden-obama.html?searchResultPosition=29","Debates Identify Plenty of Democratic Divisions, but Not a Consensus Favorite","null","","Aug. 1, 2019","Having failed so far to dominate the debates, Mr. Biden tried on Thursday to quell liberal resistance to his candidacy by other means: He charged, in Detroit, that certain attacks from the left on his record and his policies amounted to attacks on former President Barack Obama and his legacy."
"1574580214-55843","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Trump Says Russia Should Be Readmitted to G7President Trump issued his latest call for ending Moscow’s international pariah status, but the idea is likely to earn a cool reception at the annual Group of 7 summit starting this weekend.By Michael CrowleyPRINT EDITIONEnd Russia’s Pariah Status by Readmitting It to Group of 7, Trump Says|August 21, 2019, Page A12","https://www.nytimes.com/2019/08/20/us/politics/trump-russia-g7.html?searchResultPosition=23","Trump Says Russia Should Be Readmitted to G7","null","","Aug. 20, 2019","Russia was disinvited from gatherings of the former Group of 8 after the country’s annexation of Crimea, which in a joint statement the remaining group members called a violation of international law that could have “grave implications for the legal order that protects the unity and sovereignty of all states.”"
"1574580188-55544","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Biden, Under Fire on Race, Apologizes for Remarks on SegregationistsJoe Biden defended his record on race, highlighting his tenure with Barack Obama, and apologized for his remarks on working with segregationists.By Katie GlueckPRINT EDITIONBiden Apologizes for Nostalgic Remarks on Segregationists: ‘I Regret It’|July 7, 2019, Page A18","https://www.nytimes.com/2019/07/06/us/politics/joe-biden-barack-obama-south-carolina.html?searchResultPosition=32","Biden, Under Fire on Race, Apologizes for Remarks on Segregationists","null","","July 6, 2019","For weeks, Mr. Biden’s aides had watched in frustration as much of the conversation around the former vice president had centered not on his time in the administration — which is how voters know him best — but on controversies dating to the 1970s."
"1574580278-56416","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Obama Urges Democrats to ‘Chill Out’ About 2020 Presidential FieldMr. Obama, in his latest remarks about the Democratic primary race, said the party should focus less on differences among the candidates and more on defeating President Trump.By Jennifer MedinaPRINT EDITIONObama Urges Democrats to Place More of a Focus on Defeating Trump|November 22, 2019, Page A12","https://www.nytimes.com/2019/11/21/us/politics/obama-2020-democrats.html?searchResultPosition=2","Obama Urges Democrats to ‘Chill Out’ About 2020 Presidential Field","Mr. Obama, in his latest remarks about the Democratic primary race, said the party should focus less on differences among the candidates and more on defeating President Trump.","","Nov. 21, 2019","With Democratic activists and voters now weighing the different policy ideas and positions of the candidates, Mr. Obama also warned against demanding that the party’s hopefuls meet inflexible standards."
"1574580233-55983","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Attacks on Biden in Debate Highlight Divide Over the Obama LegacyThe Democratic front-runner repeatedly invoked President Barack Obama’s name, while some of his rivals said the party needed to move well beyond the policies of the last Democratic president.By Jonathan Martin and Alexander BurnsPRINT EDITIONInvoking Obama,  Biden Jabs Back  At Progressives|September 13, 2019, Page A1","https://www.nytimes.com/2019/09/12/us/politics/democratic-presidential-debate-recap.html?searchResultPosition=18","Attacks on Biden in Debate Highlight Divide Over the Obama Legacy","The Democratic front-runner repeatedly invoked President Barack Obama’s name, while some of his rivals said the party needed to move well beyond the policies of the last Democratic president.","","Sept. 12, 2019",""
"1574580239-56041","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Trump Slashes Refugee Cap to 18,000, Curtailing U.S. Role as HavenThe president approved an 18,000-person limit on the number of refugees who can be admitted into the United States in fiscal 2020, about half the current limit of 30,000.By Michael D. Shear and Zolan Kanno-YoungsPRINT EDITIONU.S. Cuts Refugee Program Again, Placing Cap at 18,000 People|September 27, 2019, Page A16","https://www.nytimes.com/2019/09/26/us/politics/trump-refugees.html?searchResultPosition=16","Trump Slashes Refugee Cap to 18,000, Curtailing U.S. Role as Haven","null","","null","Mr. Miller and his allies in the administration argue that the drastic reduction of the refugee program is required because of the increase in the number of asylum seekers trying to enter the United States at the Mexican border."
"1574580188-55550","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Biden, Under Fire on Race, Apologizes for Remarks on SegregationistsJoe Biden defended his record on race, highlighting his tenure with Barack Obama, and apologized for his remarks on working with segregationists.By Katie GlueckPRINT EDITIONBiden Apologizes for Nostalgic Remarks on Segregationists: ‘I Regret It’|July 7, 2019, Page A18","https://www.nytimes.com/2019/07/06/us/politics/joe-biden-barack-obama-south-carolina.html?searchResultPosition=32","Biden, Under Fire on Race, Apologizes for Remarks on Segregationists","null","","July 6, 2019","Eloise Conyers, who turns 64 on Sunday, said she was leaning toward Mr. Biden “for now,” but also likes Ms. Harris."
"1574580135-55504","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Interview With President ObamaThe following is a transcript of an interview with President Obama in Galesburg, Ill., by New York Times reporters.By The New York Times","https://www.nytimes.com/2013/07/28/us/politics/interview-with-president-obama.html?searchResultPosition=38","Interview With President Obama","null","","July 27, 2013","MR. OBAMA: We’re going to implement it."
"1574580135-55434","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Interview With President ObamaThe following is a transcript of an interview with President Obama in Galesburg, Ill., by New York Times reporters.By The New York Times","https://www.nytimes.com/2013/07/28/us/politics/interview-with-president-obama.html?searchResultPosition=38","Interview With President Obama","null","","July 27, 2013","MR. OBAMA: Well, obviously, what Congress does matters. As I said in the speech, the economy is far stronger now than it was four and a half years ago. Most economists believe that growth will actually pick up next quarter and the second half of the year. And the one thing that could really screw things up would be if you have a manufactured crisis and Republicans choose to play brinksmanship all over again."
"1574580135-55485","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Interview With President ObamaThe following is a transcript of an interview with President Obama in Galesburg, Ill., by New York Times reporters.By The New York Times","https://www.nytimes.com/2013/07/28/us/politics/interview-with-president-obama.html?searchResultPosition=38","Interview With President Obama","null","","July 27, 2013","MR. OBAMA: Well, look, they might like to see 2,000 jobs initially. But that is a blip relative to the need."
"1574580253-56165","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","In Tribute to Cummings, Obama Hints at Rebuke of TrumpThe former president said that Representative Elijah E. Cummings showed that “you’re not a sucker to have integrity.”By Peter Baker","https://www.nytimes.com/2019/10/25/us/politics/obama-cummings-trump.html?searchResultPosition=11","In Tribute to Cummings, Obama Hints at Rebuke of Trump","The former president said that Representative Elijah E. Cummings showed that “you’re not a sucker to have integrity.”","","Oct. 25, 2019","Mr. Obama said that Mr. Cummings showed that being strong meant being kind and that being honorable was no flaw."
"1574580249-56148","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Trump Says Past Presidents Should Have Killed ISIS Leader al-BaghdadiIn a freewheeling speech to police chiefs, President Trump also railed against impeachment, Jussie Smollett and Chicago’s violence.By Michael CrowleyPRINT EDITIONTrump Savors One Attack, And Speech Delivers More|October 29, 2019, Page A23","https://www.nytimes.com/2019/10/28/us/politics/trump-baghdadi-chicago.html?searchResultPosition=12","Trump Says Past Presidents Should Have Killed ISIS Leader al-Baghdadi","In a freewheeling speech to police chiefs, President Trump also railed against impeachment, Jussie Smollett and Chicago’s violence.","","Oct. 28, 2019","Mr. Trump drew an unlikely line between Mr. Smollett’s alleged hoax and the House Democratic inquiry now underway against him back in Washington."
"1574580244-56100","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Trump Dismisses ‘Phony Emoluments Clause,’ Defending DoralPresident Trump compared himself to George Washington, who he said operated a business while he was president.By Annie KarniPRINT EDITIONPresident Defends the Choice of His Own Resort to Host a Global Summit|October 22, 2019, Page A18","https://www.nytimes.com/2019/10/21/us/politics/trump-doral-emoluments-clause.html?searchResultPosition=14","Trump Dismisses ‘Phony Emoluments Clause,’ Defending Doral","President Trump compared himself to George Washington, who he said operated a business while he was president.","","Oct. 21, 2019","“We never agreed to protect the Kurds,” Mr. Trump said. “We never agreed to protect the Kurds for the rest of their lives.”"
"1574580233-55977","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Attacks on Biden in Debate Highlight Divide Over the Obama LegacyThe Democratic front-runner repeatedly invoked President Barack Obama’s name, while some of his rivals said the party needed to move well beyond the policies of the last Democratic president.By Jonathan Martin and Alexander BurnsPRINT EDITIONInvoking Obama,  Biden Jabs Back  At Progressives|September 13, 2019, Page A1","https://www.nytimes.com/2019/09/12/us/politics/democratic-presidential-debate-recap.html?searchResultPosition=18","Attacks on Biden in Debate Highlight Divide Over the Obama Legacy","The Democratic front-runner repeatedly invoked President Barack Obama’s name, while some of his rivals said the party needed to move well beyond the policies of the last Democratic president.","","Sept. 12, 2019","There were, though, plenty of lighter moments in Houston."
"1574580201-55657","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Shootings Spur Debate on Extremism and Guns, With Trump on DefenseMr. Trump’s usual methods of deflection sputtered as he faced new criticism and scrutiny for the plain echoes of his own rhetoric in the El Paso gunman’s anti-immigrant manifesto.By Alexander BurnsPRINT EDITIONBacklash to Extremism Pressures President|August 6, 2019, Page A1","https://www.nytimes.com/2019/08/05/us/politics/trump-guns-white-supremacy.html?searchResultPosition=28","Shootings Spur Debate on Extremism and Guns, With Trump on Defense","null","","Aug. 5, 2019","Frank Keating, the former Republican governor of Oklahoma, who led his state through the 1995 bombing of the Alfred P. Murrah Federal Building in Oklahoma City by domestic terrorists, said in an interview that the moment called for both new restrictions on firearms and a new tone from the White House. He urged Mr. Trump to “carefully choose your words” to avoid instilling fear or inciting anger."
"1574580267-56280","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","What Joe Biden Actually Did in UkraineThe aims and the aftermath of a legacy project that underscores Mr. Biden’s years of diplomacy — but has been swallowed by the subplot of his son and a Ukrainian gas company.By Glenn Thrush and Kenneth P. VogelPRINT EDITIONBiden Tried to Buttress Ukraine, And a Subplot Became the Story|November 11, 2019, Page A1","https://www.nytimes.com/2019/11/10/us/politics/joe-biden-ukraine.html?searchResultPosition=6","What Joe Biden Actually Did in Ukraine","null","","null","Mr. Biden dived into Ukraine in hopes of burnishing his statesman credentials at a time when he seemed to be winding down his political career, as his elder son, Beau, was dying and his younger one, Hunter, was struggling with addiction and financial problems. It turned out to be an unforgiving landscape — threatened by Russia, plundered by oligarchs, plagued by indecisive leaders and overrun by outsiders hoping to make a quick buck off the chaos."
