web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574577101-41821","https://www.nytimes.com/search?dropmab=true&query=bernie%20sanders&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Age Isn’t Hurting 2020 Democratic Leaders, to Rivals’ ChagrinYounger candidates are running as agents of generational change, but it is three septuagenarians who have emerged as the front-runners. And age-related attacks have not worked.By Reid J. EpsteinPRINT EDITIONTalking About Age of Front-Runners Isn’t Helping Rivals Gain Ground|September 17, 2019, Page A19","https://www.nytimes.com/2019/09/16/us/politics/democrats-biden-2020-age.html?searchResultPosition=83","Age Isn’t Hurting 2020 Democratic Leaders, to Rivals’ Chagrin","Younger candidates are running as agents of generational change, but it is three septuagenarians who have emerged as the front-runners. And age-related attacks have not worked.","","Sept. 16, 2019","While younger candidates have presented themselves as agents of generational change, it is three septuagenarians who have emerged as the front-runners: Mr. Biden, 78-year-old Senator Bernie Sanders of Vermont and 70-year-old Senator Elizabeth Warren of Massachusetts. They have generated the most support and enthusiasm, and taken their place in the top tier of the polls as they seek to challenge a president who is 73 himself."
"1574577037-41352","https://www.nytimes.com/search?dropmab=true&query=bernie%20sanders&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Elizabeth Warren Unveils Climate Change Plan, Embracing Jay Inslee’s GoalsMs. Warren and four other presidential candidates are releasing climate proposals this week, as the top contenders prepare for a prime-time forum on global warming.By Coral Davenport and Lisa FriedmanPRINT EDITIONBefore Climate Forum, Warren Unveils $3 Trillion Plan|September 4, 2019, Page A16","https://www.nytimes.com/2019/09/03/us/politics/elizabeth-warren-climate-change-plan.html?searchResultPosition=100","Elizabeth Warren Unveils Climate Change Plan, Embracing Jay Inslee’s Goals","Ms. Warren and four other presidential candidates are releasing climate proposals this week, as the top contenders prepare for a prime-time forum on global warming.","","Sept. 3, 2019","Senator Kamala Harris of California is expected to put forth a detailed climate change plan on Wednesday morning, and three other Democratic presidential candidates — Senator Cory Booker of New Jersey, Senator Amy Klobuchar of Minnesota and Julián Castro, the former housing secretary — have also released climate change plans since Sunday."
"1574577042-41387","https://www.nytimes.com/search?dropmab=true&query=bernie%20sanders&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Bernie Sanders Sets a Goal: Double Union Membership in 4 YearsMr. Sanders rolled out a plan for organized labor as more than a dozen Democratic candidates pitched themselves to workers in Iowa.By Thomas Kaplan and Noam ScheiberPRINT EDITIONSanders’s Goal for Unions: Double Membership in 4 Years|August 22, 2019, Page A21","https://www.nytimes.com/2019/08/21/us/politics/2020-democrats-iowa-labor-unions.html?searchResultPosition=98","Bernie Sanders Sets a Goal: Double Union Membership in 4 Years","Mr. Sanders rolled out a plan for organized labor as more than a dozen Democratic candidates pitched themselves to workers in Iowa.","","Aug. 21, 2019","“You’ve negotiated really hard for your benefits with your union with the employer,” he said. “And my plan, you get to keep it — you don’t have to give it up.”"
"1574577112-41919","https://www.nytimes.com/search?dropmab=true&query=bernie%20sanders&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","2020 Democrats Go All In on IowaThe presidential candidates have embarked on a four-month sprint to a night of caucuses that remains the single biggest prize in American politics.By Reid J. EpsteinPRINT EDITIONDemocratic Candidates Plunge Into Battle to Seize Iowa’s Good Opinion|September 23, 2019, Page A17","https://www.nytimes.com/2019/09/22/us/politics/2020-election-iowa-democrats.html?searchResultPosition=80","2020 Democrats Go All In on Iowa","The presidential candidates have embarked on a four-month sprint to a night of caucuses that remains the single biggest prize in American politics.","","Sept. 22, 2019","Mr. Buttigieg predicted a smaller number of candidates would survive Iowa."
"1574577155-42268","https://www.nytimes.com/search?dropmab=true&query=bernie%20sanders&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Young Voters Still ‘Feel the Bern,’ but Not Just for Bernie Sanders AnymoreThe Vermont senator benefited from a wave of enthusiasm from young people in 2016. Many still love him, but not him alone.By Sydney EmberPRINT EDITIONThey Still Love Bernie, But This Time Around He’s Got Competition|September 21, 2019, Page A22","https://www.nytimes.com/2019/09/20/us/politics/bernie-sanders-young-voters.html?searchResultPosition=69","Young Voters Still ‘Feel the Bern,’ but Not Just for Bernie Sanders Anymore","The Vermont senator benefited from a wave of enthusiasm from young people in 2016. Many still love him, but not him alone.","","Sept. 20, 2019","“He’s America’s dad,” offered Gabriel Olier, 19, a student in Reno. “I love Bernie.”"
"1574577321-43445","https://www.nytimes.com/search?dropmab=true&query=bernie%20sanders&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Democrats in Battleground States Prefer Moderate Nominee, Poll ShowsA New York Times/Siena College survey in six key states also showed voters want a candidate who can work with Republicans.By Jonathan Martin and Katie GlueckPRINT EDITIONDemocrats in Battleground States Prefer a Moderate Nominee, Poll Shows|November 10, 2019, Page A26","https://www.nytimes.com/2019/11/08/us/politics/democrats-poll-moderates-battleground.html?searchResultPosition=26","Democrats in Battleground States Prefer Moderate Nominee, Poll Shows","null","","null","A majority of those surveyed said they wanted a Democratic nominee who is more moderate than most Democrats, and they overwhelmingly preferred one who would bridge the partisan divide in Washington."
"1574577364-43898","https://www.nytimes.com/search?dropmab=true&query=bernie%20sanders&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Pete Buttigieg Jumps Out to Lead in Iowa PollMr. Buttigieg had a surprisingly robust lead in the latest Des Moines Register and CNN poll. Elizabeth Warren, Bernie Sanders and Joseph R. Biden Jr. were in a statistical tie for second.By Sydney EmberPRINT EDITIONButtigieg Leads in Iowa Poll With His Centrist Message|November 17, 2019, Page A22","https://www.nytimes.com/2019/11/16/us/politics/iowa-poll-democrats.html?searchResultPosition=12","Pete Buttigieg Jumps Out to Lead in Iowa Poll","Mr. Buttigieg had a surprisingly robust lead in the latest Des Moines Register and CNN poll. Elizabeth Warren, Bernie Sanders and Joseph R. Biden Jr. were in a statistical tie for second.","","Nov. 16, 2019","Mr. Bloomberg, who has suggested he would skip the first four early nominating states, including Iowa, if he were to officially enter the race, was at 2 percent."
"1574577337-43613","https://www.nytimes.com/search?dropmab=true&query=bernie%20sanders&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Senate Republicans, Eyeing Election-Year Impeachment Trial, Wrestle With TimelineRepublicans are weighing whether to draw out the proceeding, hindering the presidential campaigns of several Senate Democrats, or seek a quicker resolution.By Carl HulsePRINT EDITIONWith One Eye on Possible Trial and the Other on the Campaign Calendar|November 15, 2019, Page A18","https://www.nytimes.com/2019/11/14/us/impeachment-trial-senate.html?searchResultPosition=21","Senate Republicans, Eyeing Election-Year Impeachment Trial, Wrestle With Timeline","Republicans are weighing whether to draw out the proceeding, hindering the presidential campaigns of several Senate Democrats, or seek a quicker resolution.","","Nov. 14, 2019","As for the presidential hopefuls in the Senate, most seem resigned to the idea that they will be forced to spend more time at their day jobs during a pivotal period in the race for their party’s nomination. The first caucus, in Iowa, will be on Feb. 3."
"1574577330-43546","https://www.nytimes.com/search?dropmab=true&query=bernie%20sanders&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Debate Night: The ‘On Politics’ BreakdownI thought Pete Buttigieg would have a target painted on his back. But no one really stopped him.By Lisa Lerer","https://www.nytimes.com/2019/11/21/us/politics/democratic-debate-analysis.html?searchResultPosition=23","Debate Night: The ‘On Politics’ Breakdown","I thought Pete Buttigieg would have a target painted on his back. But no one really stopped him.","","Nov. 21, 2019","And Ms. Harris, who has continued her slide in the polls, whiffed her attack over his campaign website’s use of a stock photo from Kenya to illustrate his plan to combat racism in the United States. Mr. Buttigieg responded by talking about his history leading a “racially diverse city” and as a gay man."
"1574577121-41980","https://www.nytimes.com/search?dropmab=true&query=bernie%20sanders&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Bernie Sanders Went to Canada, and a Dream of ‘Medicare for All’ FlourishedThe Vermont senator has staked his presidential campaign, and much of his political legacy, on transforming health care in America. His mother’s illness, and a trip he made to study the Canadian system, help explain why.By Sydney EmberPRINT EDITIONSanders Developed Vision for Health Care on Jaunts to Canada|September 10, 2019, Page A1","https://www.nytimes.com/2019/09/09/us/politics/bernie-sanders-health-care.html?searchResultPosition=78","Bernie Sanders Went to Canada, and a Dream of ‘Medicare for All’ Flourished","null","","null","“It was kind of mind blowing to realize that the country 50 miles away from where I live — that people could go to the doctor whenever they wanted and not have to take out their wallet,” he said."
