web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574578440-50730","https://www.nytimes.com/search?dropmab=true&query=betsy%20devos&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","With Gun Control Nearing a Dead End, G.O.P. Turns to ‘School Safety’The House plans to vote next week on legislation to beef up security at the nation’s schools, but Democrats accused Republicans of diverting attention from guns.By Sheryl Gay Stolberg and Erica L. GreenPRINT EDITIONNot Gun Control, but Alarms, Cameras and Bulletproof Doors|March 8, 2018, Page A14","https://www.nytimes.com/2018/03/07/us/politics/parkland-school-shooting-congress-gun-control.html?searchResultPosition=110","With Gun Control Nearing a Dead End, G.O.P. Turns to ‘School Safety’","null","","March 7, 2018","Senator Christopher S. Murphy, Democrat of Connecticut and a co-sponsor of Mr. Hatch’s bill, said he did not want the Senate to lose sight of more far-reaching legislation that would address gun violence head-on."
"1574578696-52997","https://www.nytimes.com/search?dropmab=true&query=betsy%20devos&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","To Understand Betsy DeVos’s Educational Views, View Her EducationThe education secretary attended private Christian schools, sent her children to private Christian schools and has been the benefactor of a private Christian school.By Erica L. GreenPRINT EDITIONFor Insight Into the Secretary of Education’s Views, View Her Education|June 11, 2017, Page A25","https://www.nytimes.com/2017/06/10/us/politics/betsy-devos-private-schools-choice.html?searchResultPosition=31","To Understand Betsy DeVos’s Educational Views, View Her Education","null","","June 10, 2017","Holland Christian is one of several western Michigan nonpublic schools that have helped shape Ms. DeVos’s views of elementary and secondary education, and that her critics fear she will draw from to upend the nation’s public schools. The private Christian school that she attended, another that she sent her children to and a hardscrabble private religious school that she has long supported have dominated her time, money and attention."
"1574578643-52519","https://www.nytimes.com/search?dropmab=true&query=betsy%20devos&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Betsy DeVos, Trump’s Education Pick, Has Steered Money From Public SchoolsMs. DeVos, a philanthropist, activist and Republican fund-raiser, has worked to give families vouchers to attend private schools and pressed to expand charter schools.By Kate ZernikePRINT EDITIONFor Education, an Advocate Who Backs Shifting Money From Public Schools|November 24, 2016, Page A1","https://www.nytimes.com/2016/11/23/us/politics/betsy-devos-trumps-education-pick-has-steered-money-from-public-schools.html?searchResultPosition=47","Betsy DeVos, Trump’s Education Pick, Has Steered Money From Public Schools","null","","Nov. 23, 2016","Ms. DeVos, 58, got into education advocacy primarily as a backer of vouchers, and has served on the board of several organizations that have campaigned for them across the country."
"1574578460-50919","https://www.nytimes.com/search?dropmab=true&query=betsy%20devos&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Sessions Says Justice Dept. Has Helped Preserve Free Speech on CampusesConservatives have expressed concern that their views are stifled at colleges and universities, and the Trump administration has taken up their cause.By Katie BennerPRINT EDITIONSession Vows to Defend Free Speech Against Campus ‘Bullies’    |September 18, 2018, Page A16","https://www.nytimes.com/2018/09/17/us/politics/justice-department-campus-free-speech.html?searchResultPosition=104","Sessions Says Justice Dept. Has Helped Preserve Free Speech on Campuses","null","","Sept. 17, 2018","“No one wants to be wrong,” Ms. DeVos said. “It is much easier to feel comfortable in saying there is no truth, nothing that could challenge what we want to believe.”"
"1574578617-52276","https://www.nytimes.com/search?dropmab=true&query=betsy%20devos&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","After Demanding Local Control, DeVos Finds That It Limits Her InfluenceAn ardent federalist, Education Secretary Betsy DeVos is learning that leaving school policymaking to the states means not always getting what she wants.By Erica L. GreenPRINT EDITIONDeVos Discovers Scope of States’ Rights|March 10, 2018, Page A15","https://www.nytimes.com/2018/03/09/us/politics/betsy-devos-education-reform-states.html?searchResultPosition=55","After Demanding Local Control, DeVos Finds That It Limits Her Influence","null","","March 9, 2018","It was the first time that Ms. DeVos has offered her opinions on the quality of state plans under the new law, which freed states from the punitive and prescriptive federal mandates of the George W. Bush-era No Child Left Behind Act."
"1574578746-53444","https://www.nytimes.com/search?dropmab=true&query=betsy%20devos&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Right and Left React to Betsy DeVos’s Changes to Campus Sex Assault RulesWriters from across the political spectrum take on Education Secretary Betsy DeVos’s proposed new rules for dealing with sexual assault on college campuses.By Anna DubenkoPRINT EDITIONSeptember 13, 2017","https://www.nytimes.com/2017/09/12/us/politics/betsy-devos-title-ix.html?searchResultPosition=16","Right and Left React to Betsy DeVos’s Changes to Campus Sex Assault Rules","null","","Sept. 12, 2017","_____"
"1574578725-53279","https://www.nytimes.com/search?dropmab=true&query=betsy%20devos&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Betsy DeVos Confirmed as Education Secretary; Pence Breaks TieThe vote on Tuesday was believed to be the first in Senate history in which the vice president was called in to break a tie on a cabinet nomination.By Emmarie Huetteman and Yamiche AlcindorPRINT EDITIONDeVos Confirmed for Education by Pence’s Vote|February 8, 2017, Page A1","https://www.nytimes.com/2017/02/07/us/politics/betsy-devos-education-secretary-confirmed.html?searchResultPosition=22","Betsy DeVos Confirmed as Education Secretary; Pence Breaks Tie","null","","Feb. 7, 2017","Lily Eskelsen García, the president of the National Education Association, said her union would tap into the vast database of advocates it had built during Ms. DeVos’s confirmation process to help keep her in check. “As soon as she does something alarming, it will be known, it will be seen,” she said. “She won’t be able to hide.”"
"1574578779-53704","https://www.nytimes.com/search?dropmab=true&query=betsy%20devos&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Education Department Hits Michigan State With Record Fine Over Nassar ScandalThe Education Department announced a $4.5 million fine for Michigan State University over the Larry Nassar scandal and ordered an overhaul of its handling of sexual assault.By Erica L. GreenPRINT EDITIONRecord Fine for Michigan St. in Nassar Case|September 6, 2019, Page A13","https://www.nytimes.com/2019/09/05/us/politics/michigan-state-larry-nassar.html?searchResultPosition=5","Education Department Hits Michigan State With Record Fine Over Nassar Scandal","null","","null","The president of Michigan State University, Samuel L. Stanley Jr., pledged immediate action. Among the first was accepting the resignation of June Youatt, the school’s provost, effective immediately."
"1574578476-51032","https://www.nytimes.com/search?dropmab=true&query=betsy%20devos&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Government Watchdog Finds Racial Bias in School DisciplineThe Government Accountability Office found that black students still bear the brunt of school discipline, undermining Trump administration efforts to re-examine Obama-era policies.By Erica L. GreenPRINT EDITIONNational Analysis Sees Bias in Discipline|April 5, 2018, Page A17","https://www.nytimes.com/2018/04/04/us/politics/racial-bias-school-discipline-policies.html?searchResultPosition=99","Government Watchdog Finds Racial Bias in School Discipline","null","","April 4, 2018","Critics of the Obama-era guidance have questioned whether students of color suffer from unfair treatment under school discipline policies. The G.A.O. found that not only have black students across the nation continued to bear the brunt of such policies, but the effects were also felt more widely than previously reported — including by black students in affluent schools."
"1574578470-50981","https://www.nytimes.com/search?dropmab=true&query=betsy%20devos&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Mike Pence’s Vote on a Cabinet Nominee Would Be HistoricA Senate vote by Mr. Pence to confirm Betsy DeVos as education secretary would be the first by a vice president to break a tie on a cabinet nomination.By Emmarie HuettemanPRINT EDITIONFebruary 8, 2017","https://www.nytimes.com/2017/02/07/us/politics/mike-pence-tie-break-betsy-devos.html?searchResultPosition=101","Mike Pence’s Vote on a Cabinet Nominee Would Be Historic","null","","Feb. 7, 2017","But Vice President Mike Pence is expected to demonstrate the position’s unique duty, and in historic fashion: In his capacity as president of the Senate, he is expected to cast the deciding vote to confirm Betsy DeVos as President Trump’s education secretary — the first time a vice president has had to resolve a tie on a cabinet nomination in the nation’s history."
