web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574574869-39177","https://www.nytimes.com/search?dropmab=true&query=donald%20trump&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","A Senate Trial Could Put Trump’s Use of Aggressive Defense Tactics to Their Biggest TestThe president’s campaign against the Mueller report and its author is a road map of what is likely to lie ahead.By Maggie HabermanPRINT EDITIONTrump’s Defense: Malign Accusers and Attack Facts|November 23, 2019, Page A1","https://www.nytimes.com/2019/11/22/us/politics/trump-impeachment-defense.html?searchResultPosition=11","A Senate Trial Could Put Trump’s Use of Aggressive Defense Tactics to Their Biggest Test","The president’s campaign against the Mueller report and its author is a road map of what is likely to lie ahead.","","Nov. 22, 2019","In the “Fox and Friends” interview, Mr. Trump unleashed a torrent of falsehoods to support his claims, including saying that the Obama administration wiretapped his 2016 campaign and asserting that Mr. Schiff “made up” a phone call of his, when, in fact, the California congressman stated at the time that he was conveying “the essence” of Mr. Trump’s July 25 call with President Volodymyr Zelensky of Ukraine."
"1574574634-36977","https://www.nytimes.com/search?dropmab=true&query=donald%20trump&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Read Kurt Volker’s Prepared Opening Statement From the Impeachment HearingPresident Trump’s former special envoy to Ukraine appeared in front of the House Intelligence Committee on the third day of public impeachment hearings.By The New York Times","https://www.nytimes.com/2019/11/19/us/politics/volker-statement-testimony.html?searchResultPosition=91","Read Kurt Volker’s Prepared Opening Statement From the Impeachment Hearing","President Trump’s former special envoy to Ukraine appeared in front of the House Intelligence Committee on the third day of public impeachment hearings.","","Nov. 19, 2019","As you know, I was the first person to come forward to testify as part of this Inquiry. I did so voluntarily, and likewise voluntarily provided relevant documentation in my possession, in order to be as cooperative, clear and complete as possible. I am here today voluntarily, and I remain committed to cooperating fully and truthfully with this committee."
"1574574771-38310","https://www.nytimes.com/search?dropmab=true&query=donald%20trump&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Why Discrepancies in Gordon Sondland’s Testimony in the Impeachment Inquiry Loom LargeGordon D. Sondland, the United States ambassador to the European Union set to testify in a public hearing Wednesday, has a lot of explaining to do.By Michael S. Schmidt and Nicholas FandosPRINT EDITIONWhere Statements Diverge From the Testimony of Others|November 20, 2019, Page A19","https://www.nytimes.com/2019/11/20/us/politics/gordon-sondland-impeachment-hearings-testimony.html?searchResultPosition=45","Why Discrepancies in Gordon Sondland’s Testimony in the Impeachment Inquiry Loom Large","Gordon D. Sondland, the United States ambassador to the European Union set to testify in a public hearing Wednesday, has a lot of explaining to do.","","Nov. 20, 2019","“He said, you know, ‘You need to go big or go home. You need to, you know, tweet out there that you support the President, and that all these are lies and everything else,’ ” she testified."
"1574574796-38555","https://www.nytimes.com/search?dropmab=true&query=donald%20trump&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Rough Transcript of Trump’s First Phone Call With Ukrainian Leader ReleasedThe White House’s release of a memo about the call does not mention “corruption,” which appeared in an earlier description of the conversation.By Mark Mazzetti and Eileen SullivanPRINT EDITIONTrump Releases Memo of First Call to Ukrainian|November 16, 2019, Page A15","https://www.nytimes.com/2019/11/15/us/politics/trump-phone-call-transcript.html?searchResultPosition=36","Rough Transcript of Trump’s First Phone Call With Ukrainian Leader Released","The White House’s release of a memo about the call does not mention “corruption,” which appeared in an earlier description of the conversation.","","Nov. 15, 2019","“I’m struggling for the words, but it was not a positive call. It was dour,” Colonel Vindman said. “The difference between the calls was apparent.”"
"1574574634-36976","https://www.nytimes.com/search?dropmab=true&query=donald%20trump&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Read Kurt Volker’s Prepared Opening Statement From the Impeachment HearingPresident Trump’s former special envoy to Ukraine appeared in front of the House Intelligence Committee on the third day of public impeachment hearings.By The New York Times","https://www.nytimes.com/2019/11/19/us/politics/volker-statement-testimony.html?searchResultPosition=91","Read Kurt Volker’s Prepared Opening Statement From the Impeachment Hearing","President Trump’s former special envoy to Ukraine appeared in front of the House Intelligence Committee on the third day of public impeachment hearings.","","Nov. 19, 2019","Thank you very much for the opportunity to provide this testimony today."
"1574574581-36501","https://www.nytimes.com/search?dropmab=true&query=donald%20trump&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Behind Trump’s Dealings With Turkey: Sons-in-Law Married to PowerInformal relationships between family members help explain the course of diplomacy between the White House and Turkey’s leader.By David D. Kirkpatrick and Eric LiptonPRINT EDITIONFamily Ties Link Power in Ankara And Washington|November 13, 2019, Page A1","https://www.nytimes.com/2019/11/12/us/politics/trump-erdogan-family-turkey.html?searchResultPosition=109","Behind Trump’s Dealings With Turkey: Sons-in-Law Married to Power","Informal relationships between family members help explain the course of diplomacy between the White House and Turkey’s leader.","","Nov. 12, 2019","After surviving the coup attempt, Mr. Erdogan responded by purging perceived enemies and silencing dissent. Mr. Albayrak spearheaded the crackdown."
"1574574673-37351","https://www.nytimes.com/search?dropmab=true&query=donald%20trump&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Trump Has Considered Firing Intelligence Community Inspector GeneralThe president blames Michael Atkinson, whom he appointed, for finding the anonymous whistle-blower’s complaint on his interactions with Ukraine to be credible.By Maggie Haberman and Michael S. SchmidtPRINT EDITIONTrump Mulled Firing Official For Reporting Ukraine Call|November 13, 2019, Page A15","https://www.nytimes.com/2019/11/12/us/politics/trump-michael-atkinson-inspector-general.html?searchResultPosition=78","Trump Has Considered Firing Intelligence Community Inspector General","The president blames Michael Atkinson, whom he appointed, for finding the anonymous whistle-blower’s complaint on his interactions with Ukraine to be credible.","","Nov. 12, 2019","Mr. Atkinson’s handling of the anonymous whistle-blower’s complaint was a major factor in the decision by House Democrats to initiate an impeachment inquiry. After conducting an investigation that led him to believe the complaint was credible, he forwarded it to the government’s top intelligence official, Joseph Maguire, who did not provide it to Congress in the time frame required under the law, but did allow Mr. Atkinson to alert lawmakers about the existence of the complaint."
"1574574793-38527","https://www.nytimes.com/search?dropmab=true&query=donald%20trump&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Pompeo Emerges as a Major Trump Enabler in Ukraine AffairA top envoy’s testimony places Secretary of State Mike Pompeo at the center of the nation’s biggest foreign policy controversy in nearly two decades.By David E. Sanger and Edward WongPRINT EDITIONA Witness Places Pompeo Firmly ‘in the Loop’|November 21, 2019, Page A1","https://www.nytimes.com/2019/11/20/us/politics/pompeo-sondland-trump-impeachment.html?searchResultPosition=37","Pompeo Emerges as a Major Trump Enabler in Ukraine Affair","A top envoy’s testimony places Secretary of State Mike Pompeo at the center of the nation’s biggest foreign policy controversy in nearly two decades.","","Nov. 20, 2019","“The Ukraine scandal is a great microcosm of how this administration’s real foreign policy machinery operates,” said Andrew S. Weiss, a former senior official at the National Security Council, State Department and Pentagon who advised on Russia and Ukraine. “Our allies and adversaries all know about this. Yet it’s just so dysfunctional to have people like Marie Yovanovitch and Bill Taylor spinning their wheels out in Kyiv while Pompeo and Giuliani indulged the president’s affection for baseless conspiracy theories and hand-to-hand political combat.”"
"1574574885-39335","https://www.nytimes.com/search?dropmab=true&query=donald%20trump&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Donald Trump Jr. Critiques Mueller in New BookThe president’s son devotes space in his new book to mocking Robert S. Mueller III’s performance testifying before lawmakers in July.By Maggie HabermanPRINT EDITIONIn a New Book, Trump Jr. Mocks Mueller for His Congressional Testimony|November 2, 2019, Page A15","https://www.nytimes.com/2019/11/01/us/politics/donald-trump-jr-triggered-book.html?searchResultPosition=5","Donald Trump Jr. Critiques Mueller in New Book","The president’s son devotes space in his new book to mocking Robert S. Mueller III’s performance testifying before lawmakers in July.","","Nov. 1, 2019","“I’m an unlikely conservative,” he said in the interview."
"1574574577-36457","https://www.nytimes.com/search?dropmab=true&query=donald%20trump&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","The Impeachment Witnesses Not HeardWith its public hearings over, the House Intelligence Committee plans to move forward without testimony by some of the key players in the Ukraine drama.By Peter BakerPRINT EDITIONGaps in Witness List Leave Loose Ends|November 22, 2019, Page A1","https://www.nytimes.com/2019/11/21/us/politics/impeachment-witnesses.html?searchResultPosition=110","The Impeachment Witnesses Not Heard","With its public hearings over, the House Intelligence Committee plans to move forward without testimony by some of the key players in the Ukraine drama.","","Nov. 21, 2019","“The reality is there’s not much ambiguity about what took place here,” Mr. Buck said. “We know what happened, and now members and voters have to decide whether it rises to the level of removing him.”"
