web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574578329-50316","https://www.nytimes.com/search?dropmab=true&query=elizabeth%20warren&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Day After Debate, Biden and Warren Face Protesters at EventsIn a palpably tense exchange at an event in South Carolina, Joseph R. Biden Jr. sparred with an organizer protesting Obama-era deportation policies.By Katie GlueckPRINT EDITIONProtesters  Take On Biden  And Warren  During Events|November 22, 2019, Page A18","https://www.nytimes.com/2019/11/21/us/politics/joseph-biden-protest.html?searchResultPosition=12","Day After Debate, Biden and Warren Face Protesters at Events","In a palpably tense exchange at an event in South Carolina, Joseph R. Biden Jr. sparred with an organizer protesting Obama-era deportation policies.","","Nov. 21, 2019","In South Carolina, Mr. Rojas began the exchange by translating for an immigrant named Silvia who raised concerns about the deportation numbers under former President Barack Obama."
"1574578227-49440","https://www.nytimes.com/search?dropmab=true&query=elizabeth%20warren&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Warren Leads Tight Iowa Race as Biden Fades, Poll FindsMs. Warren garnered 22 percent in a New York Times/Siena College poll, to 19 percent for Bernie Sanders. Pete Buttigieg has surged, while Mr. Biden’s travails have put the race in flux.By Alexander BurnsPRINT EDITIONNew Poll Says Warren Holds Lead in Iowa|November 2, 2019, Page A1","https://www.nytimes.com/2019/11/01/us/politics/iowa-poll-warren-biden.html?searchResultPosition=46","Warren Leads Tight Iowa Race as Biden Fades, Poll Finds","null","","null","Julia Roberts, a voter in Winterset, Iowa, is among those wary of nominating someone whose identity could unsettle rural conservatives. Ms. Roberts, 60, a retired state employee, favored Mr. Biden because she saw him as the strongest general-election candidate and valued his foreign policy experience."
"1574578349-50590","https://www.nytimes.com/search?dropmab=true&query=elizabeth%20warren&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Bill Gates Objects to Elizabeth Warren’s Wealth Tax, and She Offers to ExplainThe Democratic presidential candidate addressed Mr. Gates on Twitter after he questioned whether “she’d even be willing” to sit down with someone “who has large amounts of money.”By Jacey Fortin","https://www.nytimes.com/2019/11/07/us/politics/bill-gates-elizabeth-warren-wealth-tax.html?searchResultPosition=5","Bill Gates Objects to Elizabeth Warren’s Wealth Tax, and She Offers to Explain","The Democratic presidential candidate addressed Mr. Gates on Twitter after he questioned whether “she’d even be willing” to sit down with someone “who has large amounts of money.”","","Nov. 7, 2019","“Leon is wrong,” she said. “I’m fighting for big changes like universal child care, investing in public schools, and free public college. We can do all of that with a #TwoCentWealth Tax. Leon can and should pitch in more — so that every kid has the same opportunities he did to succeed.”"
"1574578154-48793","https://www.nytimes.com/search?dropmab=true&query=elizabeth%20warren&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","How to Watch the CNN/New York Times DebateTuesday’s 2020 presidential primary debate is in Ohio. Here’s everything you need to know.By Shane Goldmacher and Reid J. EpsteinPRINT EDITIONOctober 16, 2019","https://www.nytimes.com/2019/10/15/us/politics/when-is-oct-democratic-debate.html?searchResultPosition=69","How to Watch the CNN/New York Times Debate","Tuesday’s 2020 presidential primary debate is in Ohio. Here’s everything you need to know.","","Oct. 15, 2019","While each of the Democratic candidates have condemned Mr. Trump’s action and conduct in the White House, they all realize there is danger in placing opposition to him at the center of their campaigns. Democratic primary voters loathe the president, but on the campaign trail few ask the candidates to respond to the latest outrage of the day — let alone the foreign policy legacy of the Iraq war."
"1574578247-49620","https://www.nytimes.com/search?dropmab=true&query=elizabeth%20warren&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Warren and Buttigieg Surge in Iowa at Expense of Sanders and BidenSenator Elizabeth Warren and Mayor Pete Buttigieg increasingly are gaining momentum ahead of the February Iowa caucuses.By Reid J. Epstein and Lisa LererPRINT EDITIONIn Peloton of 4, Warren and Buttigieg Gain Momentum|November 3, 2019, Page A19","https://www.nytimes.com/2019/11/02/us/politics/Iowa-buttigieg-warren.html?searchResultPosition=40","Warren and Buttigieg Surge in Iowa at Expense of Sanders and Biden","Senator Elizabeth Warren and Mayor Pete Buttigieg increasingly are gaining momentum ahead of the February Iowa caucuses.","","Nov. 2, 2019","At the end of his remarks, Mr. Biden asked the audience to “get up” and defeat President Trump."
"1574578124-48493","https://www.nytimes.com/search?dropmab=true&query=elizabeth%20warren&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","In Shift, Warren Will Forgo Big Money Events if Nominated. At Least Some of Them.Elizabeth Warren is seeking to find a balance — disavowing fund-raisers with wealthy contributors while promising not to actually disarm in a potential matchup with President Trump.By Shane GoldmacherPRINT EDITIONWarren Will Avoid Big Fund-Raisers if Nominated, With Some Caveats|October 10, 2019, Page A15","https://www.nytimes.com/2019/10/09/us/politics/elizabeth-warren-fundraising.html?searchResultPosition=79","In Shift, Warren Will Forgo Big Money Events if Nominated. At Least Some of Them.","Elizabeth Warren is seeking to find a balance — disavowing fund-raisers with wealthy contributors while promising not to actually disarm in a potential matchup with President Trump.","","Oct. 9, 2019","Veterans of Democratic politics said the idea that fund-raising operations for the party nominee and the party itself would be completely independent was strained."
"1574578030-47676","https://www.nytimes.com/search?dropmab=true&query=elizabeth%20warren&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Democrats’ Afghan Strategy Sounds Familiar. It’s a Lot Like Trump’s.The 2020 Democratic candidates have one major goal for Afghanistan: Get out. They are struggling to differentiate themselves from a president they say has a feckless, isolationist view of American power.By David E. Sanger and Maggie AstorPRINT EDITIONSome Democrats Join Trump in Seeking Quick Exit|September 17, 2019, Page A12","https://www.nytimes.com/2019/09/16/us/politics/2020-democrats-afghanistan.html?searchResultPosition=106","Democrats’ Afghan Strategy Sounds Familiar. It’s a Lot Like Trump’s.","The 2020 Democratic candidates have one major goal for Afghanistan: Get out. They are struggling to differentiate themselves from a president they say has a feckless, isolationist view of American power.","","Sept. 16, 2019","“If there’s one thing we’ve learned from Afghanistan,” he said, “it’s that the best way not to be caught up in endless war is to avoid starting one in the first place.”"
"1574578069-48007","https://www.nytimes.com/search?dropmab=true&query=elizabeth%20warren&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Trump and 2020 Democrats Agree: Impeachment Fight Is a Chance to Rake In CashThe president and the Democrats may be girding for a constitutional clash, but their campaigns are working to capitalize on the moment with fund-raising appeals.By Shane GoldmacherPRINT EDITIONSeptember 26, 2019","https://www.nytimes.com/2019/09/25/us/politics/impeachment-fundraising.html?searchResultPosition=95","Trump and 2020 Democrats Agree: Impeachment Fight Is a Chance to Rake In Cash","The president and the Democrats may be girding for a constitutional clash, but their campaigns are working to capitalize on the moment with fund-raising appeals.","","Sept. 25, 2019","The Democratic National Committee said a text message it sent out on Tuesday evening raised more money than any of its previous texting efforts. “URGENT: Stand with Speaker Pelosi as the House moves forward with an official impeachment inquiry against Donald Trump,” the message read."
"1574578054-47924","https://www.nytimes.com/search?dropmab=true&query=elizabeth%20warren&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Elizabeth Warren and Joe Biden Will Finally  Debate. Here’s What to Expect.The two Democrats arrive at Thursday’s forum with contrasting styles and policies — tensions that will be laid bare as they appear onstage together for the first time.By Thomas Kaplan and Katie GlueckPRINT EDITIONTwo Heavyweights Prepare to Meet in the Ring|September 12, 2019, Page A15","https://www.nytimes.com/2019/09/11/us/politics/joe-biden-elizabeth-warren-debate.html?searchResultPosition=99","Elizabeth Warren and Joe Biden Will Finally  Debate. Here’s What to Expect.","The two Democrats arrive at Thursday’s forum with contrasting styles and policies — tensions that will be laid bare as they appear onstage together for the first time.","","Sept. 11, 2019","Still, Mr. Green said, “Just because she doesn’t throw a punch doesn’t mean that she doesn’t strongly show a contrast.”"
"1574578337-50461","https://www.nytimes.com/search?dropmab=true&query=elizabeth%20warren&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Elizabeth Warren Proposes $20.5 Trillion Health Care PlanMs. Warren would impose huge tax increases on businesses and billionaires to pay for “Medicare for all,” but she said she would not raise taxes on the middle class.By Thomas Kaplan, Abby Goodnough and Margot Sanger-KatzPRINT EDITIONWarren Unveils Medicare for All At $20.5 Trillion|November 2, 2019, Page A1","https://www.nytimes.com/2019/11/01/us/politics/elizabeth-warren-medicare-for-all.html?searchResultPosition=9","Elizabeth Warren Proposes $20.5 Trillion Health Care Plan","Ms. Warren would impose huge tax increases on businesses and billionaires to pay for “Medicare for all,” but she said she would not raise taxes on the middle class.","","Nov. 1, 2019","Ms. Warren is also counting on stronger tax enforcement to bring in more than $2 trillion in taxes that would otherwise go uncollected, as well as $800 billion in cuts to military spending. And she is banking on passing an overhaul of immigration laws — which itself would be a huge political feat — and gaining revenue from additional taxes paid by immigrants."
