web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574575552-40403","https://www.nytimes.com/search?dropmab=true&query=hillary%20clinton&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Amy Chozick, ‘Chasing Hillary’ Author, on Writing Rituals and the Women Running for PresidentPlus: her evening ritual, which involves “Bachelor in Paradise” and CBD gummies.By The New York Times","https://www.nytimes.com/2019/08/23/us/amy-chozick-chasing-hillary-author-on-writing-rituals-and-the-women-running-for-president.html?searchResultPosition=17","Amy Chozick, ‘Chasing Hillary’ Author, on Writing Rituals and the Women Running for President","Plus: her evening ritual, which involves “Bachelor in Paradise” and CBD gummies.","","Aug. 23, 2019","I am constantly doubting myself. We learn as journalists that we’re only as good as our last byline so now that I write features that can take months, I have these long periods when I feel like I have disappeared and will never write another story. I am a failure, a nobody, I will die alone under a pile of tawny newspaper clippings. This is when my editor, Ellen Pollock, says, “Amy, you had a story last week.”"
"1574575537-40273","https://www.nytimes.com/search?dropmab=true&query=hillary%20clinton&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Trump Says Mueller Was ‘Horrible’ and Republicans ‘Had a Good Day’President Trump criticized the special counsel’s performance before Congress, calling the pair of hearings a “disaster” for Democrats.By Michael D. Shear and Lola FaduluPRINT EDITIONTrump Says Hearings Gave Republicans a ‘Good Day’|July 25, 2019, Page A15","https://www.nytimes.com/2019/07/24/us/politics/trump-mueller.html?searchResultPosition=22","Trump Says Mueller Was ‘Horrible’ and Republicans ‘Had a Good Day’","null","","July 24, 2019","A few minutes later, Mr. Trump retweeted Tom Fitton, the president of Judicial Watch, a conservative organization: “No collusion. No obstruction, No impeachment. Shut the coup cabal down!”"
"1574575318-39926","https://www.nytimes.com/search?dropmab=true&query=hillary%20clinton&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Hillary Clinton and the Return of the (Unbaked) Cookies“I suppose I could have stayed home and baked cookies,” Mrs. Clinton once said, to her regret, as her husband ran for president. Now the line is back.By Amy ChozickPRINT EDITIONNovember 6, 2016","https://www.nytimes.com/2016/11/06/us/politics/hillary-clinton-cookies.html?searchResultPosition=59","Hillary Clinton and the Return of the (Unbaked) Cookies","null","","Nov. 5, 2016","“Well, we have unfinished business to do,” she continued. “More barriers to break and, with your help, a glass ceiling to crack once and for all.”"
"1574575268-39839","https://www.nytimes.com/search?dropmab=true&query=hillary%20clinton&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Hillary Clinton: Popular, and Hardly in HidingBy Lizette AlvarezPRINT EDITIONAugust 12, 1998, Page A00001","https://www.nytimes.com/1998/08/12/us/hillary-clinton-popular-and-hardly-in-hiding.html?searchResultPosition=68","Hillary Clinton: Popular, and Hardly in Hiding","null","","Aug. 12, 1998","Once in a while, Mrs. Clinton has stirred things up by dishing out a few select words about the Lewinsky matter, in which a grand jury is investigating whether President Clinton lied when asked under oath if he had had a sexual relationship with the former intern and whether he tried to cover it up."
"1574575562-40487","https://www.nytimes.com/search?dropmab=true&query=hillary%20clinton&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Biden’s Strategy for Managing the Ukraine StoryWary of the way Republicans and President Trump attacked Hillary Clinton in 2016, the Biden camp is looking for ways to control the story line.By Lisa Lerer and Reid J. EpsteinPRINT EDITIONBiden Team Draws Lessons From Clinton’s Defeat in Combating Trump|September 26, 2019, Page A17","https://www.nytimes.com/2019/09/25/us/politics/joe-hunter-biden-ukraine.html?searchResultPosition=14","Biden’s Strategy for Managing the Ukraine Story","Wary of the way Republicans and President Trump attacked Hillary Clinton in 2016, the Biden camp is looking for ways to control the story line.","","Sept. 25, 2019","Former Iowa Gov. Tom Vilsack, who hosted a Biden campaign in his front yard but has yet to endorse any candidate for president, said, “He understands that you can’t let something like this go.”"
"1574575031-39548","https://www.nytimes.com/search?dropmab=true&query=hillary%20clinton&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Commentators Give Hillary Clinton Edge in DebateMrs. Clinton drew praise on social media for her grasp of policy and her preparedness for her first debate with Donald J. Trump.By Alan Rappeport","https://www.nytimes.com/2016/09/28/us/politics/who-won-the-debate.html?searchResultPosition=100","Commentators Give Hillary Clinton Edge in Debate","null","","Sept. 27, 2016","“Trump was completely out of his league, reduced at times to going on and on, repeating his same talking points with little in the way of demonstrated knowledge or detail. He missed several opportunities to pin Clinton down on issues she has prevaricated about because he became flustered and lost his focus, forgot why he was there.”"
"1574575562-40474","https://www.nytimes.com/search?dropmab=true&query=hillary%20clinton&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Biden’s Strategy for Managing the Ukraine StoryWary of the way Republicans and President Trump attacked Hillary Clinton in 2016, the Biden camp is looking for ways to control the story line.By Lisa Lerer and Reid J. EpsteinPRINT EDITIONBiden Team Draws Lessons From Clinton’s Defeat in Combating Trump|September 26, 2019, Page A17","https://www.nytimes.com/2019/09/25/us/politics/joe-hunter-biden-ukraine.html?searchResultPosition=14","Biden’s Strategy for Managing the Ukraine Story","Wary of the way Republicans and President Trump attacked Hillary Clinton in 2016, the Biden camp is looking for ways to control the story line.","","Sept. 25, 2019","A few hours later, when coverage of President Trump’s phone call to Ukraine’s president about Mr. Biden and his son had reached a fever pitch, the Biden campaign emailed the news media to declare — in bold underlined words — that any story would be “misleading” if it did not state upfront that Mr. Trump’s claims were unsubstantiated."
"1574575573-40576","https://www.nytimes.com/search?dropmab=true&query=hillary%20clinton&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","State Dept. Inquiry Into Clinton Emails Finds No Deliberate Mishandling of Classified InformationThe report appears to bookend a controversy that dogged Mrs. Clinton’s 2016 presidential campaign.By Catie EdmondsonPRINT EDITIONQuiet Ending For Inquiry Into Emails And Server|October 19, 2019, Page A16","https://www.nytimes.com/2019/10/18/us/politics/state-dept-inquiry-clinton-emails.html?searchResultPosition=10","State Dept. Inquiry Into Clinton Emails Finds No Deliberate Mishandling of Classified Information","The report appears to bookend a controversy that dogged Mrs. Clinton’s 2016 presidential campaign.","","Oct. 18, 2019","It is unclear whether any of the 38 officials the report found culpable of violating security procedures still work at the State Department. The office overseeing diplomatic security would make a note in the file of employees or former employees found to have violated those procedures, and those who have left government could have a harder time receiving security clearances if they apply for a government job again."
"1574575546-40371","https://www.nytimes.com/search?dropmab=true&query=hillary%20clinton&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","In Epstein Tweets, Trump Revisits a Favored Conspiracy Genre: Murder“Conspiracy theories are a perfect tool to emotionally connect with voters and supporters,” said Sam Nunberg, a former campaign aide to the president.By Maggie Haberman and Annie KarniPRINT EDITIONPresident Once Again Fans Conspiracy Fire|August 13, 2019, Page A19","https://www.nytimes.com/2019/08/12/us/politics/trump-epstein-conspiracy-theories.html?searchResultPosition=19","In Epstein Tweets, Trump Revisits a Favored Conspiracy Genre: Murder","null","","Aug. 12, 2019","“I’m hearing it’s a big topic,” he said then. “It’s a horrible topic but they’re saying they found the pillow on his face, which is a pretty unusual place to find a pillow,” Mr. Trump told the radio host Michael Savage."
"1574575533-40251","https://www.nytimes.com/search?dropmab=true&query=hillary%20clinton&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","These Are the Mistakes Democrats Don’t Want to Repeat in 2020Democrats still don’t agree on why they lost the White House in 2016. But the missteps of that election are dictating this one.By Lisa Lerer and Reid J. EpsteinPRINT EDITIONDefeat in 2016 Guides Game Plans for 2020|July 19, 2019, Page A11","https://www.nytimes.com/2019/07/18/us/politics/2020-candidates-election-2016.html?searchResultPosition=23","These Are the Mistakes Democrats Don’t Want to Repeat in 2020","null","","July 18, 2019","Senator Kamala Harris, meanwhile, argues that the path to victory for Democrats runs through energizing the women, people of color, and younger voters that make up the backbone of the party."
