web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574577612-44713","https://www.nytimes.com/search?dropmab=true&query=joe%20biden&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Biden Calls for Trump Impeachment for First TimeIt was the first time the former vice president expressed support for full impeachment. He had previously backed a congressional inquiry.By Jonathan MartinPRINT EDITIONBiden Voices Support For Impeaching Trump, Ending Long Restraint|October 10, 2019, Page A16","https://www.nytimes.com/2019/10/09/us/politics/biden-speech-impeachment.html?searchResultPosition=95","Biden Calls for Trump Impeachment for First Time","It was the first time the former vice president expressed support for full impeachment. He had previously backed a congressional inquiry.","","Oct. 9, 2019","For Mr. Biden, the question now is how to balance countering Mr. Trump’s onslaught with articulating his own policy vision and contrasting himself with his Democratic opponents. He sought to do all three in his appearance in Manchester, reciting many of his same lines about Mr. Trump at the outset of his speech before turning to his record on gun control and domestic violence prevention."
"1574577803-46390","https://www.nytimes.com/search?dropmab=true&query=joe%20biden&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Key Dates at the Center of the Ukraine MatterThe origins of the impeachment inquiry engulfing President Trump and his administration go back to the election last spring of a new Ukrainian president.By Sharon LaFraniere, Andrew E. Kramer and Danny HakimPRINT EDITIONNovember 12, 2019","https://www.nytimes.com/2019/11/11/us/politics/trump-ukraine-timeline.html?searchResultPosition=39","Key Dates at the Center of the Ukraine Matter","null","","Nov. 11, 2019","Mr. Sondland and Mr. Volker are working on draft language for Mr. Zelensky’s announcement of the investigations. Mr. Yermak says the White House should nail down Mr. Zelensky’s Oval Office invite first."
"1574577707-45487","https://www.nytimes.com/search?dropmab=true&query=joe%20biden&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Diplomat Told House Investigators He Raised Alarm About Hunter Biden in 2015A career State Department official told House impeachment investigators that he raised concerns about the vice president’s son serving on the board of a Ukrainian company, but was ignored.By Nicholas FandosPRINT EDITIONDiplomat Had  Raised Alarm On Biden’s Son|October 19, 2019, Page A16","https://www.nytimes.com/2019/10/18/us/politics/hunter-biden-ukraine.html?searchResultPosition=66","Diplomat Told House Investigators He Raised Alarm About Hunter Biden in 2015","A career State Department official told House impeachment investigators that he raised concerns about the vice president’s son serving on the board of a Ukrainian company, but was ignored.","Nicholas Fandos","Oct. 18, 2019",""
"1574577852-46873","https://www.nytimes.com/search?dropmab=true&query=joe%20biden&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Tonight’s Democratic Debate: What to Watch ForEverything you need to know about the presidential primary debate lineup in Atlanta.By Reid J. Epstein and Shane GoldmacherPRINT EDITIONWhat to Watch For In Tonight’s Debate|November 20, 2019, Page A11","https://www.nytimes.com/2019/11/20/us/politics/when-next-democratic-debate.html?searchResultPosition=23","Tonight’s Democratic Debate: What to Watch For","Everything you need to know about the presidential primary debate lineup in Atlanta.","","Nov. 20, 2019","While Ms. Warren laid out a plan last week to pass a full Medicare for all system by her third year in the White House, Senator Bernie Sanders of Vermont said he’d get it done right away."
"1574577754-45935","https://www.nytimes.com/search?dropmab=true&query=joe%20biden&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Inside the Impeachment Testimony: Dry Questions and Flares of DramaThe release of the first two transcripts of testimony taken privately in the impeachment inquiry offered the public its first glimpse of how the investigation was unfolding.By Michael D. ShearPRINT EDITIONReams of Testimony Transcripts Reveal Dry Questioning and Hot Tempers|November 6, 2019, Page A16","https://www.nytimes.com/2019/11/05/us/politics/inside-the-impeachment-testimony-dry-questions-and-flares-of-drama.html?searchResultPosition=52","Inside the Impeachment Testimony: Dry Questions and Flares of Drama","The release of the first two transcripts of testimony taken privately in the impeachment inquiry offered the public its first glimpse of how the investigation was unfolding.","","Nov. 5, 2019","Taken together, they painted a picture of hours of mind-numbingly detailed questions about meetings and memos, punctuated by occasional moments of emotion and bursts of legal sparring between Republicans and Democrats. They reveal that Republicans — who have complained publicly of being frozen out of the inquiry — have in fact been availing themselves aggressively of the equal time they are provided to question witnesses."
"1574577790-46222","https://www.nytimes.com/search?dropmab=true&query=joe%20biden&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Can Joe Biden Deliver the Debate Performance He Needs?Mr. Biden in recent days has been more forceful in defending his family and denouncing the president. Some voters and Democratic officials think he should do more.By Katie Glueck and Alexander BurnsPRINT EDITIONStakes Higher, Biden Pledges To Strike Back|October 15, 2019, Page A1","https://www.nytimes.com/2019/10/14/us/politics/joe-biden-democratic-debate.html?searchResultPosition=43","Can Joe Biden Deliver the Debate Performance He Needs?","Mr. Biden in recent days has been more forceful in defending his family and denouncing the president. Some voters and Democratic officials think he should do more.","","Oct. 14, 2019","As fierce as Mr. Biden’s efforts have been since the start of the weekend, he has in some ways raised as many questions as he has answered. If his family intends to shun foreign business in the event that he becomes president — as Hunter Biden said he would on Sunday — voters may wonder why they didn’t do it far sooner, when Mr. Biden was conducting foreign diplomacy as vice president."
"1574577835-46697","https://www.nytimes.com/search?dropmab=true&query=joe%20biden&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Impeachment Hearings Open With Revelation on Trump’s Ukraine PressureAs public hearings began, William B. Taylor Jr., the top American diplomat in Ukraine, said he was told President Trump cared more about investigating Joe Biden than he did about Ukraine.By Nicholas Fandos and Michael D. ShearPRINT EDITIONEnvoys Reveal Scope of Trump Ukraine Push |November 14, 2019, Page A1","https://www.nytimes.com/2019/11/13/us/politics/impeachment-hearing-day-1.html?searchResultPosition=29","Impeachment Hearings Open With Revelation on Trump’s Ukraine Pressure","As public hearings began, William B. Taylor Jr., the top American diplomat in Ukraine, said he was told President Trump cared more about investigating Joe Biden than he did about Ukraine.","","Nov. 13, 2019","“In my opinion, those attacks undermined U.S. and Ukrainian national interests and damaged our critical bilateral relationship,” Mr. Kent said in his opening statement."
"1574577816-46496","https://www.nytimes.com/search?dropmab=true&query=joe%20biden&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","‘I’d Consider Anybody’: Democrats Like Their 2020 Candidates, and Yet ...Michael R. Bloomberg is poised to enter a race that has many voters anxious and searching for the perfect candidate. But do they need yet one more option?By Sydney Ember and Jonathan MartinPRINT EDITIONBloomberg Nudges Into a Field Chock Full of Not-So-Sure Bets|November 10, 2019, Page A1","https://www.nytimes.com/2019/11/09/us/politics/michael-bloomberg-democrats.html?searchResultPosition=35","‘I’d Consider Anybody’: Democrats Like Their 2020 Candidates, and Yet ...","Michael R. Bloomberg is poised to enter a race that has many voters anxious and searching for the perfect candidate. But do they need yet one more option?","","Nov. 9, 2019","“Voters are holding back because just when they start to fall in love, they find something that gets them a little nervous,” former Mayor Rahm Emanuel of Chicago said. “The reason it’s so fluid is because they’re still searching for the horse that can win.”

Michael R. Bloomberg believes that may be him. But Mr. Bloomberg’s apparent decision to mount a late entry into the presidential race represents something more than just the robust self-confidence of a New York City billionaire; it’s a manifestation of the Democratic angst that has been growing, particularly among moderate voters and party establishment figures."
"1574577725-45658","https://www.nytimes.com/search?dropmab=true&query=joe%20biden&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Army Officer Who Heard Trump’s Ukraine Call Reported ConcernsThe top Ukraine expert at the White House will tell impeachment investigators he twice reported concerns about President Trump’s pressure tactics on Ukraine, acting out of a “sense of duty.”By Danny HakimPRINT EDITIONUkraine Expert At White House Sounded Alarm|October 29, 2019, Page A1","https://www.nytimes.com/2019/10/28/us/politics/Alexander-Vindman-trump-impeachment.html?searchResultPosition=61","Army Officer Who Heard Trump’s Ukraine Call Reported Concerns","The top Ukraine expert at the White House will tell impeachment investigators he twice reported concerns about President Trump’s pressure tactics on Ukraine, acting out of a “sense of duty.”","","Oct. 28, 2019","The picture painted by Colonel Vindman’s testimony has been echoed by several other senior officials, including William B. Taylor Jr., the top American diplomat in Ukraine, who testified last week that multiple senior administration officials had told him that the president blocked security aid to Ukraine and would not meet with Mr. Zelensky until he publicly pledged to investigate Mr. Trump’s political rivals."
"1574577582-44467","https://www.nytimes.com/search?dropmab=true&query=joe%20biden&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Undeterred by White House Threat, Democrats Push Impeachment Inquiry AheadDemocrats want to test the limits of the White House’s refusal to hand over documents and witnesses related to Ukraine.By Nicholas FandosPRINT EDITIONDemocrats Will Test White House Vow of a ‘Full Halt’|October 10, 2019, Page A1","https://www.nytimes.com/2019/10/09/us/politics/democrats-impeachment.html?searchResultPosition=102","Undeterred by White House Threat, Democrats Push Impeachment Inquiry Ahead","Democrats want to test the limits of the White House’s refusal to hand over documents and witnesses related to Ukraine.","","Oct. 9, 2019","The White House’s charged assertion late Tuesday that it would try to stymie the inquiry came in a letter from Pat A. Cipollone, the White House counsel, but the document read more like a political argument than a legal one."
