web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574579391-55224","https://www.nytimes.com/search?dropmab=true&query=john%20mccain&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","How to Be the McCain of '04, by John McCainBy Sheryl Gay StolbergPRINT EDITIONOctober 8, 2003, Page A00020","https://www.nytimes.com/2003/10/08/us/how-to-be-the-mccain-of-04-by-john-mccain.html?searchResultPosition=8","How to Be the McCain of '04, by John McCain","null","","Oct. 8, 2003","Mr. McCain confessed to feeling an occasional twinge that the 2004 race is unfolding without him, and his eyes came alive when he talked of his own presidential campaign, which he described as ''the most enjoyable experience of my life.'' The memories are still fresh, from the early town hall meeting in New Hampshire where ''20 people showed up and we gave away free ice cream'' to arriving by boat into the port in Bremerton, Wash., with 5,000 people waiting for him in the rain and the cold."
"1574579114-54476","https://www.nytimes.com/search?dropmab=true&query=john%20mccain&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","At His Ranch, John McCain Shares Memories and Regrets With FriendsMr. McCain urged former Vice President Joseph R. Biden Jr. to “not walk away” from politics, and said he wished he had chosen Joseph I. Lieberman, not Sarah Palin, as his running mate in 2008.By Jonathan MartinPRINT EDITIONAt Home, McCain Shares Memories and Regrets|May 6, 2018, Page A1","https://www.nytimes.com/2018/05/05/us/politics/john-mccain-arizona.html?searchResultPosition=70","At His Ranch, John McCain Shares Memories and Regrets With Friends","null","","May 5, 2018","When Mr. Pence addressed a hard-right audience gathered in Tempe last week to promote the administration’s tax cuts, he said that “people all across America are praying for Senator John McCain” — and one woman yelled out, “to retire.”"
"1574579080-54246","https://www.nytimes.com/search?dropmab=true&query=john%20mccain&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","John McCain to Discontinue Treatment for Brain Cancer, Family SaysMr. McCain, a towering figure in American politics, had been undergoing treatment since July 2017, and has been absent from Washington since December.By Nicholas Fandos and Jonathan MartinPRINT EDITIONMcCain Has Stopped Treatment for Brain Cancer, Family Says|August 25, 2018, Page A13","https://www.nytimes.com/2018/08/24/us/politics/john-mccain-brain-cancer.html?searchResultPosition=81","John McCain to Discontinue Treatment for Brain Cancer, Family Says","null","","Aug. 24, 2018","Still, neither Mr. McCain nor Mr. Trump has held back from airing their differences, often with bruising consequences."
"1574579387-55177","https://www.nytimes.com/search?dropmab=true&query=john%20mccain&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Congress Pays Tribute to John McCainRepublicans and Democrats flocked to the Capitol to pay their respects, highlighting both Mr. McCain’s style of reaching across the political aisle and the brand of politics whose demise he lamented.By Julie Hirschfeld Davis, Carl Hulse and Emily CochranePRINT EDITIONSeptember 1, 2018","https://www.nytimes.com/2018/08/31/us/politics/john-mccain-funeral-capitol.html?searchResultPosition=10","Congress Pays Tribute to John McCain","null","","Aug. 31, 2018","Several of the people who gathered hours before the doors were opened to the public identified themselves as proud Democrats, who had never voted for Mr. McCain or frequently disagreed with his policies. With sharp criticism of the current administration and the polarization in Congress, they agreed that he was the last one of the last politicians willing to take bipartisan steps."
"1574579036-53929","https://www.nytimes.com/search?dropmab=true&query=john%20mccain&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Donald Trump Says John McCain Is No War Hero, Setting Off Another StormIn Iowa, Mr. Trump disparaged Mr. McCain’s Vietnam War record, saying: “He’s not a war hero. He’s a war hero because he was captured. I like people who weren’t captured.”By Jonathan Martin and Alan RappeportPRINT EDITIONNo Hero, Trump Says of McCain, Stirring Outrage|July 19, 2015, Page A1","https://www.nytimes.com/2015/07/19/us/politics/trump-belittles-mccains-war-record.html?searchResultPosition=95","Donald Trump Says John McCain Is No War Hero, Setting Off Another Storm","null","","July 18, 2015","If all that was not enough to roil the button-downed crowd, he also described his three marriages in starkly frank terms, conceding that he had difficulty finding a work-life balance."
"1574579050-54050","https://www.nytimes.com/search?dropmab=true&query=john%20mccain&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","The Trump White House Will Not Apologize About John McCain (or Much Else, Really)Aides who could face wrath from President Trump for admitting a misstep have adopted the president’s theory that apologizing is giving in.By Katie RogersPRINT EDITIONWhite House Will Not Apologize About McCain (or Much Else, Really)|May 15, 2018, Page A13","https://www.nytimes.com/2018/05/14/us/politics/trump-white-house-apologize-john-mccain.html?searchResultPosition=91","The Trump White House Will Not Apologize About John McCain (or Much Else, Really)","null","","May 14, 2018","The president, as usual, was watching the briefing that day. Mr. Trump was incensed by Mr. Shah’s admission, according to a White House official, and told him not to do it again."
"1574579432-55234","https://www.nytimes.com/search?dropmab=true&query=john%20mccain&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Navy Destroyer John McCain Hidden During Trump’s Japan VisitWhile Navy officials insisted they did not hide the ship, they did give all of sailors aboard the day off on Tuesday as President Trump visited Yokosuka Naval Base in Japan.By Maggie Haberman and Helene CooperPRINT EDITIONWhite House Asked Navy To Hide McCain Warship|May 30, 2019, Page A19","https://www.nytimes.com/2019/05/29/us/politics/uss-mccain-navy-ship.html?searchResultPosition=1","Navy Destroyer John McCain Hidden During Trump’s Japan Visit","null","","May 29, 2019","Two Navy sailors, who spoke on the condition of anonymity because they were not authorized to speak publicly, said that the McCain sailors were not invited to hear Mr. Trump speak that day aboard the amphibious assault ship Wasp, while sailors from other American warships at the base were."
"1574579220-54804","https://www.nytimes.com/search?dropmab=true&query=john%20mccain&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Donald Trump Refuses to Endorse Paul Ryan and John McCain“I’m not quite there yet,” Mr. Trump said of Mr. Ryan, who, like Mr. McCain, faces a challenge in a Republican primary.By Nick Corasaniti","https://www.nytimes.com/2016/08/03/us/politics/donald-trump-refuses-to-endorse-paul-ryan-and-john-mccain.html?searchResultPosition=51","Donald Trump Refuses to Endorse Paul Ryan and John McCain","null","","Aug. 2, 2016","The comments are a significant break in the steps toward party unity that Republican officials have been stressing since their convention last month. The remarks are also an indication that the party is still struggling to heal some of the wounds from Mr. Trump’s primary campaign."
"1574579127-54620","https://www.nytimes.com/search?dropmab=true&query=john%20mccain&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","John McCain Withdraws Support for Donald Trump After Disclosure of RecordingMr. McCain became the latest party leader to distance himself from the nominee after a recording showed Mr. Trump speaking about women in lewd and degrading terms.By Alan Rappeport","https://www.nytimes.com/2016/10/08/us/politics/presidential-election.html?searchResultPosition=66","John McCain Withdraws Support for Donald Trump After Disclosure of Recording","null","","Oct. 8, 2016","Though he faced calls from many in his party to step aside, Mr. Trump vowed in an interview that he would “never drop out of this race in a million years.” He later took a stronger stance on Twitter."
"1574579033-53878","https://www.nytimes.com/search?dropmab=true&query=john%20mccain&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Donald Trump Endorses Paul Ryan and John McCain in Bid for G.O.P. UnityMr. Trump, who had caused a rift by withholding support for Mr. Ryan, also called for the re-election of Senator Kelly Ayotte as he sought to move past a tumultuous week.By Nick CorasanitiPRINT EDITIONTrump Endorses  Ryan and McCain in Bid for Unity|August 6, 2016, Page A1","https://www.nytimes.com/2016/08/06/us/politics/donald-trump-paul-ryan.html?searchResultPosition=96","Donald Trump Endorses Paul Ryan and John McCain in Bid for G.O.P. Unity","null","","Aug. 5, 2016","“Big, big tent,” he said. “Remember?”"
