web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575012995-56351","https://www.nytimes.com/search?dropmab=true&query=mitch%20mcconnell&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Senate Votes to Block Trump’s Arms Sales to Gulf Nations in Bipartisan RebukeThe vote illustrated the deep divide between lawmakers and the administration over Saudi Arabia and the president’s attempts to circumvent Congress on national security decisions.By Catie EdmondsonPRINT EDITIONSenate Rebukes Trump Bid to Bypass Congress on Arms Sales|June 21, 2019, Page A5","https://www.nytimes.com/2019/06/20/us/politics/saudi-arms-sales.html?searchResultPosition=77","Senate Votes to Block Trump’s Arms Sales to Gulf Nations in Bipartisan Rebuke","null","","June 20, 2019","“If we let this emergency declaration go without protest, without a vote, I don’t know that we’re ever getting the power to oversee arms sales back as a body,” said Senator Christopher S. Murphy, Democrat of Connecticut, and one of the authors of the resolution."
"1575013086-57027","https://www.nytimes.com/search?dropmab=true&query=mitch%20mcconnell&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","It’s a Stretch, but Mitch McConnell Is Reaching Across the AisleThe Senate majority leader, under fire for his refusal to consider the president’s Supreme Court nominee, can point to several bipartisan legislative victories.By David M. HerszenhornPRINT EDITIONIt’s a Stretch, but McConnell Is Reaching Across the Aisle|April 25, 2016, Page A9","https://www.nytimes.com/2016/04/25/us/politics/its-a-stretch-but-mitch-mcconnell-is-reaching-across-the-aisle.html?searchResultPosition=49","It’s a Stretch, but Mitch McConnell Is Reaching Across the Aisle","null","","April 24, 2016","Mr. Schumer said such an approach would have been futile. “We’re Democrats,” he said. “We cannot just block everything. We believe in government.”"
"1575013044-56659","https://www.nytimes.com/search?dropmab=true&query=mitch%20mcconnell&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Deepening Rift, Trump Won’t Say if Mitch McConnell Should Step DownMr. Trump has trained his fire on Mr. McConnell, the Senate majority leader, for days, venting on Twitter about the Senate’s inability to pass a health care bill.By Matt FlegenheimerPRINT EDITIONTrump Sharpens Pointed Critique Of Senate Leader|August 11, 2017, Page A1","https://www.nytimes.com/2017/08/10/us/politics/president-trump-escalates-criticism-of-mitch-mcconnell-as-majority-leader.html?searchResultPosition=63","Deepening Rift, Trump Won’t Say if Mitch McConnell Should Step Down","null","","Aug. 10, 2017","“As we’ve said, the leader has repeatedly spoken about the path forward on repealing and replacing Obamacare — on the Senate floor, at media availabilities and in Kentucky,” said Antonia Ferrier, Mr. McConnell’s spokeswoman, in an email, using language nearly identical to a statement issued the day before. “But if he has any new statements today, I’ll be sure to send them along.”"
"1575012980-56185","https://www.nytimes.com/search?dropmab=true&query=mitch%20mcconnell&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","A ‘Bridge’ to China, and Her Family’s Business, in the Trump CabinetElaine Chao has boosted the profile of her family’s shipping company, which benefits from industrial policies in China that are roiling the Trump administration.By Michael Forsythe, Eric Lipton, Keith Bradsher and Sui-Lee WeePRINT EDITIONA Cabinet Official, a Firm  And a ‘Bridge’ to Beijing|June 3, 2019, Page A1","https://www.nytimes.com/2019/06/02/us/politics/elaine-chao-china.html?searchResultPosition=82","A ‘Bridge’ to China, and Her Family’s Business, in the Trump Cabinet","null","","June 2, 2019","Ms. Collins added that the driving force behind these cuts had been the White House, not Ms. Chao, whom the senator called a “strong advocate” for the maritime program."
"1575013297-57862","https://www.nytimes.com/search?dropmab=true&query=mitch%20mcconnell&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Trump and Senate Republicans Celebrate Making the Courts More Conservative“We are going to be, I think, just about No. 1 by the time we finish — No. 1 of any president, any administration,” President Trump said on Wednesday.By Carl HulsePRINT EDITIONPresident Celebrates Leaving His Mark on the Courts|November 7, 2019, Page A20","https://www.nytimes.com/2019/11/06/us/trump-senate-republicans-courts.html?searchResultPosition=5","Trump and Senate Republicans Celebrate Making the Courts More Conservative","“We are going to be, I think, just about No. 1 by the time we finish — No. 1 of any president, any administration,” President Trump said on Wednesday.","","Nov. 6, 2019","“President Trump’s crowing over his judicial appointments takes no heed, as usual, of the damage these judicial appointees are doing,” said Marge Baker of the liberal group People for the American Way. “These judges have made unconscionable rulings upholding age discrimination and racial discrimination, denied health benefits to sick workers and ruled to eliminate women’s access to vital health care.”"
"1575012980-56106","https://www.nytimes.com/search?dropmab=true&query=mitch%20mcconnell&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","A ‘Bridge’ to China, and Her Family’s Business, in the Trump CabinetElaine Chao has boosted the profile of her family’s shipping company, which benefits from industrial policies in China that are roiling the Trump administration.By Michael Forsythe, Eric Lipton, Keith Bradsher and Sui-Lee WeePRINT EDITIONA Cabinet Official, a Firm  And a ‘Bridge’ to Beijing|June 3, 2019, Page A1","https://www.nytimes.com/2019/06/02/us/politics/elaine-chao-china.html?searchResultPosition=82","A ‘Bridge’ to China, and Her Family’s Business, in the Trump Cabinet","null","","June 2, 2019","The email arrived in Washington before dawn. An official at the American Embassy in Beijing was urgently seeking advice from the State Department about an “ethics question.”"
"1575013099-57074","https://www.nytimes.com/search?dropmab=true&query=mitch%20mcconnell&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Harry Reid Compliments Mitch McConnell’s ‘Fool’s Errand’ Over Merrick GarlandMr. Reid criticized Mr. McConnell over stonewalling Mr. Garland’s nomination but said he admired Mr. McConnell’s effort to “get his senators to all agree to go over a cliff.”By Carl Hulse","https://www.nytimes.com/2016/06/18/us/harry-reid-compliments-mitch-mcconnells-fools-errand-over-merrick-garland.html?searchResultPosition=45","Harry Reid Compliments Mitch McConnell’s ‘Fool’s Errand’ Over Merrick Garland","null","","June 17, 2016","Mr. Reid added that he believed the Republican refusal to take up the Garland nomination has already put Democratic contenders ahead in some Senate races."
"1575013235-57268","https://www.nytimes.com/search?dropmab=true&query=mitch%20mcconnell&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","‘Moscow Mitch’ Tag Enrages McConnell and Squeezes G.O.P. on Election SecurityMr. McConnell, the Senate leader, has typically embraced nasty nicknames by critics. But criticism of his role in blocking election measures has taken hold in an unusual way.By Carl HulsePRINT EDITIONPressure Mounts On Senate Leader To Secure Ballot|July 31, 2019, Page A1","https://www.nytimes.com/2019/07/30/us/politics/moscow-mitch-mcconnell.html?searchResultPosition=27","‘Moscow Mitch’ Tag Enrages McConnell and Squeezes G.O.P. on Election Security","null","","July 30, 2019","If they do, the most likely result would not be advancing stand-alone bills but instead using the annual spending bills that must pass this fall to funnel more money to states to secure their elections and to make certain they have a paper-ballot trail that can be audited if questions arise about the legitimacy of an outcome. Ten states now lack full capacity to do so, according to the Rules Committee."
"1575012980-56205","https://www.nytimes.com/search?dropmab=true&query=mitch%20mcconnell&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","A ‘Bridge’ to China, and Her Family’s Business, in the Trump CabinetElaine Chao has boosted the profile of her family’s shipping company, which benefits from industrial policies in China that are roiling the Trump administration.By Michael Forsythe, Eric Lipton, Keith Bradsher and Sui-Lee WeePRINT EDITIONA Cabinet Official, a Firm  And a ‘Bridge’ to Beijing|June 3, 2019, Page A1","https://www.nytimes.com/2019/06/02/us/politics/elaine-chao-china.html?searchResultPosition=82","A ‘Bridge’ to China, and Her Family’s Business, in the Trump Cabinet","null","","June 2, 2019","“She might be tempted to make sure her family company is not adversely affected in any policy choices, or it might even just appear that way,” Ms. Glynn said."
"1575013010-56469","https://www.nytimes.com/search?dropmab=true&query=mitch%20mcconnell&sections=U.S.%7Cnyt%3A%2F%2Fsection%2Fa34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Hard Choice for Mitch McConnell: End the Filibuster or Preserve TraditionIn the afterglow of their election success, Republicans prefer not to discuss the unpleasant possibility of eliminating the 60-vote threshold for their legislative priorities.By Carl HulsePRINT EDITIONSenate Leader Faces Hard Choices if Democrats Resort to Filibusters|November 12, 2016, Page A12","https://www.nytimes.com/2016/11/12/us/politics/republicans-house-senate.html?searchResultPosition=72","Hard Choice for Mitch McConnell: End the Filibuster or Preserve Tradition","null","","Nov. 11, 2016","“I don’t think we should act as if we’re going to be in the majority forever,” he said."
