web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575010607-52075","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=World%7Cnyt%3A%2F%2Fsection%2F70e865b6-cc70-5181-84c9-8368b3a5c34b&sort=best&types=article","Barack Obama's March 4 speechPRINT EDITIONMarch 5, 2008","https://www.nytimes.com/2008/03/05/world/americas/05iht-04textobama.10720835.html?searchResultPosition=32","Barack Obama's March 4 speech","null","","null","But then a few people in Iowa stood up to say, ""Yes we can."" And then a few more of you stood up from the hills of New Hampshire to the coast of South Carolina. And then a few million of you stood up from Savannah to Seattle; from Boise to Baton Rouge. And tonight, because of you – because of a movement you built that stretches from Vermont's Green Mountains to the streets of San Antonio, we can stand up with confidence and clarity to say that we are turning the page, and we are ready to write the next great chapter in America's story."
"1575010494-51788","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=World%7Cnyt%3A%2F%2Fsection%2F70e865b6-cc70-5181-84c9-8368b3a5c34b&sort=best&types=article","The Most Powerful Arab Ruler Isn’t M.B.S. It’s M.B.Z.Prince Mohammed bin Zayed expanded the U.A.E.’s power by following America’s lead. He now has an increasingly bellicose agenda of his own. And President Trump seems to be following him.By David D. KirkpatrickPRINT EDITIONThe Most Powerful Prince in Washington|June 2, 2019, Page A1","https://www.nytimes.com/2019/06/02/world/middleeast/crown-prince-mohammed-bin-zayed.html?searchResultPosition=62","The Most Powerful Arab Ruler Isn’t M.B.S. It’s M.B.Z.","null","","June 2, 2019","“The U.A.E. is a stain on the world conscience — the U.A.E. as it is currently governed is violating every norm of the civilized world,” said Representative Ro Khanna, Democrat of California."
"1575010739-52378","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=World%7Cnyt%3A%2F%2Fsection%2F70e865b6-cc70-5181-84c9-8368b3a5c34b&sort=best&types=article","Kurds, Turkey and the U.S.: 5 Years of Tension, Alliances and ConflictTurkey’s attack on Kurdish strongholds along the Syrian border has been years in the making.By Russell GoldmanPRINT EDITIONStrike by American Ally Was Years in the Making|October 11, 2019, Page A13","https://www.nytimes.com/2019/10/10/world/middleeast/turkey-syria-kurds-history-facts.html?searchResultPosition=2","Kurds, Turkey and the U.S.: 5 Years of Tension, Alliances and Conflict","Turkey’s attack on Kurdish strongholds along the Syrian border has been years in the making.","","null","The Kurds were assisted by American airstrikes and ground troops as well as a coalition of Arab and Kurdish militias, known as the Syrian Democratic Forces, that was fighting the Syrian government. After weeks of fighting, the Kurds drove ISIS away from the Turkish border, establishing a significantly larger stronghold on Turkey’s doorstep, further angering the Turks."
"1575010727-52255","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=World%7Cnyt%3A%2F%2Fsection%2F70e865b6-cc70-5181-84c9-8368b3a5c34b&sort=best&types=article","President Obama Visits HiroshimaPresident Obama became the first sitting American president to visit Hiroshima, Japan, where the United States dropped an atomic bomb 71 years ago.By Gardiner Harris, Motoko Rich and Choe Sang-Hun","https://www.nytimes.com/live/president-obama-hiroshima-japan/?searchResultPosition=7","null","null","","null",""
"1575010428-51526","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=World%7Cnyt%3A%2F%2Fsection%2F70e865b6-cc70-5181-84c9-8368b3a5c34b&sort=best&types=article","Obama, in Speech on ISIS, Promises Sustained Effort to Rout MilitantsPresident Obama expanded the campaign against ISIS to include airstrikes in Syria and more American advisers in Iraq, but he sought to distinguish the new action from the wars in Iraq and Afghanistan.By Mark LandlerPRINT EDITIONObama Calls for Sustained Drive to Rout Militants|September 11, 2014, Page A1","https://www.nytimes.com/2014/09/11/world/middleeast/obama-speech-isis.html?searchResultPosition=83","Obama, in Speech on ISIS, Promises Sustained Effort to Rout Militants","null","","Sept. 10, 2014","“We will hunt down terrorists who threaten our country, wherever they are,” Mr. Obama declared in a 14-minute address. “That means I will not hesitate to take action against ISIL in Syria, as well as Iraq,” he added, using an alternative name for ISIS. “This is a core principle of my presidency: If you threaten America, you will find no safe haven.”"
"1575010407-51459","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=World%7Cnyt%3A%2F%2Fsection%2F70e865b6-cc70-5181-84c9-8368b3a5c34b&sort=best&types=article","In Mandela, Obama Found a Beacon Who Inspired From AfarPresident Obama, who has begun a weeklong trip to Africa, had been hoping to meet with the ailing Nelson Mandela, as he did in 2005, when he was a senator.By Michael D. ShearPRINT EDITIONJune 28, 2013, Page A1","https://www.nytimes.com/2013/06/28/world/africa/mandela-obama-africa.html?searchResultPosition=90","In Mandela, Obama Found a Beacon Who Inspired From Afar","null","","June 27, 2013","Mr. Obama had been hoping to have his first face-to-face meeting as president with the ailing 94-year-old leader during a three-country, weeklong trip to Africa that began on Wednesday. But Mr. Mandela was hospitalized on June 8 for a chronic lung infection, and on Thursday he remained in critical but stable condition."
"1575010732-52281","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=World%7Cnyt%3A%2F%2Fsection%2F70e865b6-cc70-5181-84c9-8368b3a5c34b&sort=best&types=article","Barack Obama's search for faithBy Jodi KantorPRINT EDITIONApril 30, 2007","https://www.nytimes.com/2007/04/30/world/americas/30iht-30obama.5501905.html?searchResultPosition=5","Barack Obama's search for faith","null","","April 30, 2007","Still, Mr. Obama was entranced by Mr. Wright, whose sermons fused analysis of the Bible with outrage at what he saw as the racism of everything from daily life in Chicago to American foreign policy. Mr. Obama had never met a minister who made pilgrimages to Africa, welcomed women leaders and gay members and crooned Teddy Pendergrass rhythm and blues from the pulpit. Mr. Wright was making Trinity a social force, initiating day care, drug counseling, legal aid and tutoring. He was also interested in the world beyond his own; in 1984, he traveled to Cuba to teach Christians about the value of nonviolent protest and to Libya to visit Col. Muammar el-Qaddafi, along with the Nation of Islam leader Louis Farrakhan. Mr. Wright said his visits implied no endorsement of their views."
"1575010384-51425","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=World%7Cnyt%3A%2F%2Fsection%2F70e865b6-cc70-5181-84c9-8368b3a5c34b&sort=best&types=article","Obama Meets Raúl Castro, Making HistoryPresident Obama came to the Summit of the Americas in Panama determined to defuse a generations-old regional dispute over Cuba’s exclusion from the meeting.By Julie Hirschfeld Davis and Randal C. ArchiboldPRINT EDITIONObama Meets Cuban Leader, Making History|April 12, 2015, Page A1","https://www.nytimes.com/2015/04/12/world/americas/obama-cuba-summit-of-the-americas.html?searchResultPosition=95","Obama Meets Raúl Castro, Making History","null","","April 11, 2015","“President Obama is going to leave a legacy the way he is supporting Hispanics in the United States, and also his new policy for Cuba for us is very important,” President Juan Carlos Varela of Panama said just before meeting with Mr. Obama."
"1575010739-52385","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=World%7Cnyt%3A%2F%2Fsection%2F70e865b6-cc70-5181-84c9-8368b3a5c34b&sort=best&types=article","Kurds, Turkey and the U.S.: 5 Years of Tension, Alliances and ConflictTurkey’s attack on Kurdish strongholds along the Syrian border has been years in the making.By Russell GoldmanPRINT EDITIONStrike by American Ally Was Years in the Making|October 11, 2019, Page A13","https://www.nytimes.com/2019/10/10/world/middleeast/turkey-syria-kurds-history-facts.html?searchResultPosition=2","Kurds, Turkey and the U.S.: 5 Years of Tension, Alliances and Conflict","Turkey’s attack on Kurdish strongholds along the Syrian border has been years in the making.","","null","“Beginning from the west, step by step, we will annihilate the terror corridor up to the Iraqi border,” Mr. Erdogan said at the time, using a phrase he would later reiterate to justify this week’s cross-border attacks."
"1575010528-51997","https://www.nytimes.com/search?dropmab=true&query=barack%20obama&sections=World%7Cnyt%3A%2F%2Fsection%2F70e865b6-cc70-5181-84c9-8368b3a5c34b&sort=best&types=article","President Obama’s Speech to the United Nations General Assembly 2015The speech delivered by President Obama at the United Nations General Assembly as transcribed and released by the White House.","https://www.nytimes.com/2015/09/29/world/americas/president-obamas-speech-to-the-united-nations-general-assembly-2015.html?searchResultPosition=50","President Obama’s Speech to the United Nations General Assembly 2015","null","","null","Now, if it’s in the interest of major powers to uphold international standards, it is even more true for the rest of the community of nations. Look around the world. From Singapore to Colombia to Senegal, the facts shows that nations succeed when they pursue an inclusive peace and prosperity within their borders, and work cooperatively with countries beyond their borders."
