web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575012397-55717","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Meet the Sarah Palin sisterhoodBy Kim SeversonPRINT EDITIONSeptember 5, 2008","https://www.nytimes.com/2008/09/05/world/americas/05iht-05women.15920493.html?searchResultPosition=27","Meet the Sarah Palin sisterhood","null","","Sept. 5, 2008","""You needed the right candidate at the right time,"" Menard said, ""to open doors for working women who share a set of values."""
"1575012017-55642","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Sarah Palin Says She Was ‘Duped’ by Sacha Baron CohenMs. Palin has called the British comedian “truly sick” and “evil,” having realized she will apparently appear in his new Showtime series.By Alex MarshallPRINT EDITIONSacha Baron Cohen ‘Duped’ Sarah Palin|July 12, 2018, Page C3","https://www.nytimes.com/2018/07/11/arts/television/sarah-palin-sacha-baron-cohen.html?searchResultPosition=68","Sarah Palin Says She Was ‘Duped’ by Sacha Baron Cohen","null","","July 11, 2018","Joe Walsh, the former Republican congressman turned TV and radio personality, said in a series of Twitter posts late Tuesday and early Wednesday that he, too, had been deceived by Mr. Cohen’s show. He described being invited to a supposed pro-Israel event and interviewed on camera until “producers rushed me out of the studio as an apparent fight broke out.”"
"1575012019-55648","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Gail Collins: Sarah Palin speaks!By Gail CollinsPRINT EDITIONSeptember 4, 2008","https://www.nytimes.com/2008/09/04/opinion/04iht-edcollins.1.15898118.html?searchResultPosition=67","null","null","GAIL COLLINS","null",""
"1575011755-55592","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","The Most Mystifying Lines of Sarah Palin’s Endorsement SpeechMrs. Palin returned to the campaign trail with her rousing speech in support of Donald J. Trump. But some of her expressions left the audience puzzled.By Michael Barbaro","https://www.nytimes.com/2016/01/21/us/politics/sarah-palin-endorsement-speech-donald-trump.html?searchResultPosition=99","The Most Mystifying Lines of Sarah Palin’s Endorsement Speech","null","","Jan. 20, 2016","“And he, who would negotiate deals, kind of with the skills of a community organizer maybe organizing a neighborhood tea, well, he deciding that, ‘No, America would apologize as part of the deal,’ as the enemy sends a message to the rest of the world that they capture and we kowtow, and we apologize, and then, we bend over and say, ‘Thank you, enemy.’ ”"
"1575011892-55611","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","How Sarah Palin fires 'em upBy Patrick HealyPRINT EDITIONOctober 14, 2008","https://www.nytimes.com/2008/10/14/world/americas/14iht-palin.4.16947073.html?searchResultPosition=82","null","null","The New York Times Company","null",""
"1575011755-55566","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","The Most Mystifying Lines of Sarah Palin’s Endorsement SpeechMrs. Palin returned to the campaign trail with her rousing speech in support of Donald J. Trump. But some of her expressions left the audience puzzled.By Michael Barbaro","https://www.nytimes.com/2016/01/21/us/politics/sarah-palin-endorsement-speech-donald-trump.html?searchResultPosition=99","The Most Mystifying Lines of Sarah Palin’s Endorsement Speech","null","","Jan. 20, 2016","Mrs. Palin has always been a singular force on the campaign trail. But in her years away from politics, the former Alaska governor and Senator John McCain’s Republican vice-presidential pick in 2008 seems to have spawned a whole new series of idiosyncratic expressions and unusual locutions — to the point where even Mr. Trump seemed occasionally mystified as he tried to follow along."
"1575012427-55767","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Sarah Palin, Rage WhispererShe is the American politician most fluent in anger, and she paved the way for Donald J. Trump.By Nicolle WallacePRINT EDITIONJanuary 26, 2016, Page A27","https://www.nytimes.com/2016/01/26/opinion/sarah-palin-rage-whisperer.html?searchResultPosition=19","Sarah Palin, Rage Whisperer","null","","Jan. 25, 2016","We’ll never know if Sarah Palin would have taken her turn atop the polls at any point during this year’s Republican primary if she’d decided to run. Her inclusion may be the only thing that could have made it more extraordinary. During Ms. Palin’s 37-minute score settling-slash-endorsement address last week, Mr. Trump seemed, at times, uncomfortable and eager for her to wrap things up. Should he come out on top in Iowa, he has her to thank."
"1575012407-55745","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Sarah Palin Saves FeminismShe’s helped recast outmoded assumptions, and now a woman can stumble and babble without taking down the whole gender.By Maureen DowdPRINT EDITIONJanuary 24, 2016, Page SR13","https://www.nytimes.com/2016/01/24/opinion/sunday/sarah-palin-saves-feminism.html?searchResultPosition=23","Sarah Palin Saves Feminism","null","","Jan. 23, 2016","She used the last refuge of scoundrels in Tulsa, Okla., Wednesday, wrapping herself in patriotism. In her convoluted, disingenuous way, she charged President Obama with a lack of “respect” for veterans and suggested that Track had post-traumatic stress disorder and became “hardened,” implying this is what led to the incident prompting his arrest. This from the archconservative who presents herself as a model of personal responsibility and scourge of victimhood?"
"1575012475-55791","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","Sarah Palin’s MustacheWhen unwanted facial hair brings unfair scrutiny.By Julia BairdPRINT EDITIONFebruary 26, 2016, Page A29","https://www.nytimes.com/2016/02/26/opinion/campaign-stops/sarah-palins-mustache.html?searchResultPosition=15","Sarah Palin’s Mustache","null","","Feb. 26, 2016","I could not care less whether someone waxes, trims, bleaches or zaps — I’m not volunteering to become a champion of hirsutism. Mightier ladies than I may blaze that path."
"1575012599-55815","https://www.nytimes.com/search?dropmab=true&query=sarah%20palin&sort=best&types=article","When Book Deals Get Politicians Into Hot WaterThe former Baltimore mayor Catherine Pugh, charged with fraud over her “Healthy Holly” children’s series, isn’t the first elected official who’s run into book trouble.By Emily Eakin","https://www.nytimes.com/2019/11/20/books/book-deals-politicians-baltimore-catherine-pugh.html?searchResultPosition=1","When Book Deals Get Politicians Into Hot Water","The former Baltimore mayor Catherine Pugh, charged with fraud over her “Healthy Holly” children’s series, isn’t the first elected official who’s run into book trouble.","","null","In 2009, Sarah Palin, the former Alaska governor and 2008 Republican vice-presidential candidate, used $63,000 from her political action committee to buy thousands of copies of her memoir, “Going Rogue,” from her publisher, HarperCollins, to send them to donors. She also used money from her PAC to buy $8,000 of bookmarks and to reimburse HarperCollins $20,000 in travel expenses for her personal photographer and an aide, whom she brought on her book tour. According to some reports, Palin’s PAC spent more money on her book than on donations to political candidates."
