web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574721188-125","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Palin Spotted – and Swarmed –  at Iowa State FairThe most famous non-candidate in the 2012 presidential campaign is playing her cat-and-mouse games again. By Michael D. Shear","https://thecaucus.blogs.nytimes.com/2011/08/12/where-is-sarah-palin/?searchResultPosition=51","Palin Spotted – and Swarmed –  at Iowa State Fair","Palin Spotted – and Swarmed –  at Iowa State Fair","","August 12, 2011 12:28 pm","Original Post"
"1574721135-69","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Cheney Says Palin Was Not Ready to Be Vice PresidentFormer Vice President Dick Cheney said that Sarah Palin was not ready to be his successor and that picking her was “a mistake” that Mitt Romney should seek to avoid with his choice.By Michael D. Shear","https://thecaucus.blogs.nytimes.com/2012/07/29/cheney-says-sarah-palin-was-not-ready-to-be-vice-president/?searchResultPosition=59","Cheney Says Palin Was Not Ready to Be Vice President","Cheney Says Palin Was Not Ready to Be Vice President","By Michael D. Shear","July 29, 2012 11:46 am","In the brief excerpt shown on Sunday, Mr. Cheney did not criticize Mr. Obama. But Mr. Karl hinted that the former vice president does not hold back in the rest of the interview."
"1574721174-106","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Palin in the CityAfter a mini-revolt among the press corps over access, Governor Palin met with the presidents of Afghanistan and Colombia and with former Secretary of State Henry A. Kissinger.By Michael Cooper","https://thecaucus.blogs.nytimes.com/2008/09/23/media-rebellion-over-palin-photo-ops/?searchResultPosition=53","Palin in the City","Palin in the City","By Michael Cooper","September 23, 2008 11:51 am","Ms. Palin, the Republican vice-presidential nominee, is scheduled to meet Tuesday in New York with President Hamid Karzai of Afghanistan, President Alvaro Uribe of Colombia, and former Secretary of State Henry A. Kissinger."
"1574721328-225","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Parsing Palin’s ‘For Naught’An adviser to Sarah Palin protested ABC News’s characterization of an interview as evidence of her 2012 presidential aspirations.By Julie Bosman","https://thecaucus.blogs.nytimes.com/2008/10/29/parsing-palins-for-naught/?searchResultPosition=39","Parsing Palin’s ‘For Naught’","Parsing Palin’s ‘For Naught’","By Julie Bosman","October 29, 2008 11:15 pm","“The list of those distortions and attacks go beyond any witnessed by, even, I think, the most immediate member of the Clinton family. It is overwhelming to observers, but not to Sarah Palin. You’ll find her knocked around and unbowed.”"
"1574721413-269","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Sarah Palin’s Facebook Fans Say Backing Donald Trump Is DisingenuousSarah Palin maintains a community of millions of Facebook fans, and while some cheered her endorsement of Donald J. Trump this week, others called her a sellout of conservatism who was only seeking another moment in the political spotlight.By Alan Rappeport","https://www.nytimes.com/politics/first-draft/2016/01/21/sarah-palins-facebook-fans-say-backing-donald-trump-is-disingenuous/?searchResultPosition=26","Sarah Palin’s Facebook Fans Say Backing Donald Trump Is Disingenuous","Sarah Palin’s Facebook Fans Say Backing Donald Trump Is Disingenuous","By Alan Rappeport","12:26 pm ET","Fans of Mrs. Palin could not understand how she could endorse someone who says that he does not ask for God’s forgiveness and who does not appear to read the Bible."
"1574721188-139","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Palin Spotted – and Swarmed –  at Iowa State FairThe most famous non-candidate in the 2012 presidential campaign is playing her cat-and-mouse games again. By Michael D. Shear","https://thecaucus.blogs.nytimes.com/2011/08/12/where-is-sarah-palin/?searchResultPosition=51","Palin Spotted – and Swarmed –  at Iowa State Fair","Palin Spotted – and Swarmed –  at Iowa State Fair","","August 12, 2011 12:28 pm","In the meantime, we will keep looking for her. There doesn’t seem to be a booth for fried caribou on a stick, but maybe pork is similar enough."
"1574721174-97","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Palin in the CityAfter a mini-revolt among the press corps over access, Governor Palin met with the presidents of Afghanistan and Colombia and with former Secretary of State Henry A. Kissinger.By Michael Cooper","https://thecaucus.blogs.nytimes.com/2008/09/23/media-rebellion-over-palin-photo-ops/?searchResultPosition=53","Palin in the City","Palin in the City","By Michael Cooper","September 23, 2008 11:51 am","“What is his name?” Ms. Palin was heard to ask, as she met with Mr. Karzai in the suite of a midtown hotel, according to a pool report."
"1574721204-153","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","BlogTalk: Palin’s TravelsHow and when politicians appear in the Hawkeye State — and whether they get paid for their speaking engagements — is the latest on the former Alaska governor.By Maria Newman","https://thecaucus.blogs.nytimes.com/2009/10/29/blogtalk-palins-travels/?searchResultPosition=48","BlogTalk: Palin’s Travels","BlogTalk: Palin’s Travels","By Maria Newman","October 29, 2009 5:43 pm","Palin’s detractors, of course, are having a little fun, especially in light of the disclosures earlier this week that she had received a $1.25 million book advance."
"1574721217-170","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Palin’s Advice to Tina Fey“I want to make sure she’s holding on to that Sarah outfit. Because she’s gonna need it in the next four years,” Gov. Sarah Palin said at a rally in Ohio.By Julie Bosman","https://thecaucus.blogs.nytimes.com/2008/11/02/palins-advice-to-tina-fey/?searchResultPosition=47","Palin’s Advice to Tina Fey","Palin’s Advice to Tina Fey","By Julie Bosman","November 2, 2008 6:24 pm","It turns out Ms. Palin missed the full experience of watching Mr. McCain on “Saturday Night Live.” She boarded her charter plane at 11:30 p.m. on Saturday, just on time to watch the show, an aide said, but the audio on her television wasn’t working."
"1574721399-254","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Sarah Palin’s Daughter Slams Ted Cruz, Fans Trump Endorsement SpeculationHours before a rally where Donald J. Trump has promised a big endorsement, Sarah Palin’s daughter Bristol attacked Senator Ted Cruz and said she hoped her mother would instead endorse Mr. Trump.By Maggie Haberman","https://www.nytimes.com/politics/first-draft/2016/01/19/sarah-palins-daughter-slams-ted-cruz-fans-trump-endorsement-speculation/?searchResultPosition=28","Sarah Palin’s Daughter Slams Ted Cruz, Fans Trump Endorsement Speculation","Sarah Palin’s Daughter Slams Ted Cruz, Fans Trump Endorsement Speculation","By Maggie Haberman","1:23 pm ET","“I’m a big fan of Sarah Palin, but I’m not saying who it is,” he said. “I think everyone will be very impressed.”"
"1574721174-104","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Palin in the CityAfter a mini-revolt among the press corps over access, Governor Palin met with the presidents of Afghanistan and Colombia and with former Secretary of State Henry A. Kissinger.By Michael Cooper","https://thecaucus.blogs.nytimes.com/2008/09/23/media-rebellion-over-palin-photo-ops/?searchResultPosition=53","Palin in the City","Palin in the City","By Michael Cooper","September 23, 2008 11:51 am","Update | 12:02 p.m.: The campaign is relenting and letting in the television producer, so the camera crew will be going as well. But print reporters are up in arms about being excluded."
"1574721188-129","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","Palin Spotted – and Swarmed –  at Iowa State FairThe most famous non-candidate in the 2012 presidential campaign is playing her cat-and-mouse games again. By Michael D. Shear","https://thecaucus.blogs.nytimes.com/2011/08/12/where-is-sarah-palin/?searchResultPosition=51","Palin Spotted – and Swarmed –  at Iowa State Fair","Palin Spotted – and Swarmed –  at Iowa State Fair","","August 12, 2011 12:28 pm","The most famous noncandidate in the 2012 presidential field is playing cat-and-mouse games again."
"1574721150-78","https://www.nytimes.com/search?dropmab=false&query=sarah%20palin&sections=U.S.|nyt://section/a34d3d6c-c77f-5931-b951-241b4e28681c&sort=best&types=article","A Guide to Palin E-Mail NotesA listing of the notes that we’ve made, based on Times research and your suggestions.By Derek Willis","https://thecaucus.blogs.nytimes.com/2011/06/11/a-guide-to-palin-e-mail-notes/?searchResultPosition=56","A Guide to Palin E-Mail Notes","A Guide to Palin E-Mail Notes","","June 11, 2011 1:32 pm","When The Times began posting nearly 25,000 pages of e-mail correspondence relating to Sarah Palin on Friday, we asked readers poring over them to highlight noteworthy and interesting messages. Our thanks to the hundreds of you that have done so since then. Here is a listing of the notes that we’ve made, based on Times research and your suggestions:"
