web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571098607-5139","https://www.nytimes.com/search?query=Elizabeth+Warren","As Elizabeth Warren Rises, the G.O.P. Deploys an Old TacticRepublicans are attacking Ms. Warren over authenticity, a sexist trope in politics, much like they did with Hillary Clinton. Ms. Warren has used those attacks to rally supporters.By Thomas KaplanPRINT EDITIONAs Warren Rises, Republicans Sift Her Biography for Points of Attack|October 11, 2019, Page A16","https://www.nytimes.com/2019/10/10/us/politics/elizabeth-warren-fired-teaching.html?searchResultPosition=5","As Elizabeth Warren Rises, the G.O.P. Deploys an Old Tactic","Republicans are attacking Ms. Warren over authenticity, a sexist trope in politics, much like they did with Hillary Clinton. Ms. Warren has used those attacks to rally supporters.","","null","Ms. Warren told CBS News that she had not revealed her pregnancy when the contract was approved, and that two months later, when she was showing, the principal told her that she would not be welcomed back. Addressing the 2007 interview, she said: “After becoming a public figure I opened up more about different pieces in my life and this was one of them.”"
"1571098599-5032","https://www.nytimes.com/search?query=Elizabeth+Warren","Elizabeth Warren Details Her Account of Losing Teaching Job Because of PregnancyMs. Warren said she had grown more comfortable talking about her experience over the years, explaining why her description of the 1971 episode in her stump speeches differs from how she discussed it in the past.By Thomas KaplanPRINT EDITIONWarren Details Account  Of Losing Teaching Job  Because of a Pregnancy|October 9, 2019, Page A20","https://www.nytimes.com/2019/10/08/us/politics/elizabeth-warren-fired-pregnant.html?searchResultPosition=9","Elizabeth Warren Details Her Account of Losing Teaching Job Because of Pregnancy","Ms. Warren said she had grown more comfortable talking about her experience over the years, explaining why her description of the 1971 episode in her stump speeches differs from how she discussed it in the past.","","null","Ms. Warren did not name the principal in her tweets. News accounts show that the principal at the time was Edward Pruzinsky. He died in 1999."
"1571098596-5019","https://www.nytimes.com/search?query=Elizabeth+Warren","Does Elizabeth Warren Have a Critical Vulnerability?She has struggled with white, working-class voters like those important to winning Pennsylvania, Michigan and Wisconsin.By Paul Starobin","https://www.nytimes.com/2019/09/18/opinion/elizabeth-warren-massachusetts.html?searchResultPosition=10","Does Elizabeth Warren Have a Critical Vulnerability?","She has struggled with white, working-class voters like those important to winning Pennsylvania, Michigan and Wisconsin.","","null","“I love Elizabeth Warren,” said a welder and member of a plumbers union local, age 68, by phone. “She’s my bulldog. She is 100 percent for us — for the working man, the exploited person, the underdog.” He is from Weymouth, next door to Rockland. “If she were a man, they would love her.” He paused. “Or they would like her more.”"
"1571098562-4713","https://www.nytimes.com/search?query=Elizabeth+Warren","A Pregnancy ScandalThe problem here is not Elizabeth Warren.By David Leonhardt","https://www.nytimes.com/2019/10/10/opinion/elizabeth-warren-fired-pregnant.html?searchResultPosition=21","A Pregnancy Scandal","The problem here is not Elizabeth Warren.","","null","A false notion of inconsistency. One piece of supposed evidence of Warren’s prevaricating was that she hadn’t always blamed pregnancy discrimination for her job loss. That’s true — and largely meaningless. Human beings don’t include every detail of a story each time they tell it, especially when the story involves difficult personal history."
"1571098599-5026","https://www.nytimes.com/search?query=Elizabeth+Warren","Elizabeth Warren Details Her Account of Losing Teaching Job Because of PregnancyMs. Warren said she had grown more comfortable talking about her experience over the years, explaining why her description of the 1971 episode in her stump speeches differs from how she discussed it in the past.By Thomas KaplanPRINT EDITIONWarren Details Account  Of Losing Teaching Job  Because of a Pregnancy|October 9, 2019, Page A20","https://www.nytimes.com/2019/10/08/us/politics/elizabeth-warren-fired-pregnant.html?searchResultPosition=9","Elizabeth Warren Details Her Account of Losing Teaching Job Because of Pregnancy","Ms. Warren said she had grown more comfortable talking about her experience over the years, explaining why her description of the 1971 episode in her stump speeches differs from how she discussed it in the past.","","null","WASHINGTON — It is one of Elizabeth Warren’s signature anecdotes in her stump speech: By the end of her first year as a public-school teacher, she was “visibly pregnant,” and the principal wished her luck and hired another teacher to replace her."
"1571098607-5146","https://www.nytimes.com/search?query=Elizabeth+Warren","As Elizabeth Warren Rises, the G.O.P. Deploys an Old TacticRepublicans are attacking Ms. Warren over authenticity, a sexist trope in politics, much like they did with Hillary Clinton. Ms. Warren has used those attacks to rally supporters.By Thomas KaplanPRINT EDITIONAs Warren Rises, Republicans Sift Her Biography for Points of Attack|October 11, 2019, Page A16","https://www.nytimes.com/2019/10/10/us/politics/elizabeth-warren-fired-teaching.html?searchResultPosition=5","As Elizabeth Warren Rises, the G.O.P. Deploys an Old Tactic","Republicans are attacking Ms. Warren over authenticity, a sexist trope in politics, much like they did with Hillary Clinton. Ms. Warren has used those attacks to rally supporters.","","null","Ms. Walsh said she thought Ms. Warren’s story of experiencing pregnancy discrimination would “make her relatable for an awful lot of women out there who understand that this has been how the world works.”"
"1571098591-4971","https://www.nytimes.com/search?query=Elizabeth+Warren","Elizabeth Warren Continues to PersistBut does she have Trump’s number? And what is going on with him anyway?By Gail Collins and Bret Stephens","https://www.nytimes.com/2019/09/10/opinion/warren-trump-2020-election.html?searchResultPosition=12","Elizabeth Warren Continues to Persist","But does she have Trump’s number? And what is going on with him anyway?","","null","Bret: At this point, she’s almost tempting me, on the theory that an empty wallet beats an upset stomach."
"1571098617-5242","https://www.nytimes.com/search?query=Elizabeth+Warren","Elizabeth Warren Has Quick Comeback to Gay Marriage QuestionAt a Democratic forum focused on L.G.B.T.Q. issues, Ms. Warren was asked what she would say to someone opposed to same-sex marriage.By Thomas KaplanPRINT EDITIONOctober 10, 2019","https://www.nytimes.com/2019/10/10/us/politics/elizabeth-warren-lgtbq-town-hall.html?searchResultPosition=1","Elizabeth Warren Has Quick Comeback to Gay Marriage Question","At a Democratic forum focused on L.G.B.T.Q. issues, Ms. Warren was asked what she would say to someone opposed to same-sex marriage.","","null","CUOMO: All right. Morgan Cox, real estate investment firm in Dallas, Texas. He is the chair of the Human Rights Campaign board of directors. Morgan, thank you."
"1571098549-4629","https://www.nytimes.com/search?query=Elizabeth+Warren","Democrats Have a Politeness ProblemIn this next debate, they should take the gloves off.By Frank BruniPRINT EDITIONDemocrats’ Politeness Problem|October 13, 2019, Page SR3","https://www.nytimes.com/2019/10/12/opinion/sunday/next-democratic-debate.html?searchResultPosition=25","Democrats Have a Politeness Problem","In this next debate, they should take the gloves off.","","null","Everyone in that Top 5 has liabilities, as I wrote in my previous column. It’s possible that Democrats would be on safer ground with any of the candidates below that tier — Amy Klobuchar, say, or Michael Bennet or Steve Bullock — who have won statewide elections in red, purple or purple-ish places. It’s also possible that Klobuchar, Bennet and Bullock lack the requisite spark and are bad fits for the moment."
"1571098617-5229","https://www.nytimes.com/search?query=Elizabeth+Warren","Elizabeth Warren Has Quick Comeback to Gay Marriage QuestionAt a Democratic forum focused on L.G.B.T.Q. issues, Ms. Warren was asked what she would say to someone opposed to same-sex marriage.By Thomas KaplanPRINT EDITIONOctober 10, 2019","https://www.nytimes.com/2019/10/10/us/politics/elizabeth-warren-lgtbq-town-hall.html?searchResultPosition=1","Elizabeth Warren Has Quick Comeback to Gay Marriage Question","At a Democratic forum focused on L.G.B.T.Q. issues, Ms. Warren was asked what she would say to someone opposed to same-sex marriage.","Thomas Kaplan","null",""
