web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571098241-3905","https://www.nytimes.com/search?query=Hillary+Clinton","Republicans Revel in Biden’s Debate Troubles, but See a New Threat in HarrisTrump campaign aides and allies acknowledged that the California senator could be a vexing rival and that the Democratic race will be more unpredictable than they had thought.By Annie Karni and Jeremy W. PetersPRINT EDITIONDebate Leaves G.O.P. Less Worried by Biden, More Troubled by Harris|June 29, 2019, Page A18","https://www.nytimes.com/2019/06/28/us/politics/trump-kamala-harris-debate.html?searchResultPosition=25","Republicans Revel in Biden’s Debate Troubles, but See a New Threat in Harris","null","","June 28, 2019","What became clear, she said, was that “there’s the potential for many different candidates to take the lead.”"
"1571098272-4118","https://www.nytimes.com/search?query=Hillary+Clinton","Peter Strzok Sues F.B.I., Saying His Firing Was Politically MotivatedMr. Strzok, who disparaged the president in text messages, said his termination violated his due process and free speech rights.By Katie BennerPRINT EDITIONF.B.I. Agent Says His Firing Was Politically Motivated|August 7, 2019, Page A18","https://www.nytimes.com/2019/08/06/us/politics/peter-strzok-lawsuit.html?searchResultPosition=17","Peter Strzok Sues F.B.I., Saying His Firing Was Politically Motivated","null","","Aug. 6, 2019","“The lawsuit shows that, in bowing to the president’s desires, F.B.I. leaders trampled Pete’s free speech and due process rights in ways that should be deeply troubling to all in government, and indeed, to all Americans,” Mr. Goelman said."
"1571098292-4252","https://www.nytimes.com/search?query=Hillary+Clinton","Dare We Dream of the End of the G.O.P.?In a new book, the pollster Stanley Greenberg predicts a blue tidal wave in 2020.By Michelle Goldberg","https://www.nytimes.com/2019/09/06/opinion/trump-democrats-2020.html?searchResultPosition=11","Dare We Dream of the End of the G.O.P.?","In a new book, the pollster Stanley Greenberg predicts a blue tidal wave in 2020.","","null","Yet rather than modulating their anti-immigrant politics in response, Republicans have little choice but to double down, because so many of their voters are driven by nativism. In this way, Greenberg sees an omen for the Republican Party in California. It’s hard to remember now, but the state was once the heartland of conservatism, nurturing the political careers of Richard Nixon and Ronald Reagan. From 1968 to 1988, it voted Republican in every presidential election, and regularly elected Republican governors."
"1571098289-4220","https://www.nytimes.com/search?query=Hillary+Clinton","Caucuses in Iowa Won’t Include Absentee Participation, D.N.C. SaysIowa Democrats wanted to allow some caucusgoers to vote by phone next year, but committee leaders concluded that such a system would not be secure. They plan to give the state, and Nevada, waivers from new party rules.By Reid J. EpsteinPRINT EDITIONIowa and Nevada Caucuses May Get Pass on Including Remote Voters|August 31, 2019, Page A15","https://www.nytimes.com/2019/08/30/us/politics/dnc-iowa-virtual-caucus.html?searchResultPosition=12","Caucuses in Iowa Won’t Include Absentee Participation, D.N.C. Says","Iowa Democrats wanted to allow some caucusgoers to vote by phone next year, but committee leaders concluded that such a system would not be secure. They plan to give the state, and Nevada, waivers from new party rules.","","null","With five months to go before Iowa’s first-in-the-nation caucuses, it was not clear what alternatives the state’s Democrats have to allow absentee participation. Troy Price, the Iowa Democratic Party chairman, said he would “explore what alternatives may exist to securely increase accessibility from previous years given the time allowed.”"
"1571098226-3818","https://www.nytimes.com/search?query=Hillary+Clinton","Donald Trump Jr. Tells Senate Panel He Hasn’t LiedMr. Trump told the Senate Intelligence Committee he had been truthful in past testimony, as the House Intelligence Committee started its own Russia investigation.By Nicholas Fandos and Maggie HabermanPRINT EDITIONTrump’s Son Stands by Testimony on Meeting With Russian|June 13, 2019, Page A18","https://www.nytimes.com/2019/06/12/us/politics/donald-trump-jr-russia-senate.html?searchResultPosition=30","Donald Trump Jr. Tells Senate Panel He Hasn’t Lied","null","","June 12, 2019","“The entire scheme has now imploded and the collusion accusation has been exposed as a hoax,” said Representative Devin Nunes of California, the panel’s top Republican."
"1571098303-4323","https://www.nytimes.com/search?query=Hillary+Clinton","‘The New Berlin Wall’: Why Ukraine Is Central to the ScandalCaught between East and West, it is a place that attracts adventurers and carpetbaggers, who return home with “legacies, memories and skeletons for their closets.”By Andrew HigginsPRINT EDITIONHow Kiev Ended Up Central To American Political Drama  |September 28, 2019, Page A1","https://www.nytimes.com/2019/09/27/world/europe/ukraine-zelensky-cold-war-trump-giuliani.html?searchResultPosition=7","‘The New Berlin Wall’: Why Ukraine Is Central to the Scandal","null","","null","“Ukraine is the country that hosts the Berlin Wall at the moment,” he said. “Ukraine is the country where the clash between the free and unfree world takes place. It’s only natural that some players will be seeking protection in the West,” sometimes by crossing palms with silver."
"1571098276-4126","https://www.nytimes.com/search?query=Hillary+Clinton","Team Players in Politics and LoveThe couple met while working on Hillary Clinton’s 2016 presidential campaign and Mrs. Clinton led them in their vows in Tarrytown, N.Y.By Rosalie R. RadomskyPRINT EDITIONUnited for, and now by, Hillary Clinton|July 28, 2019, Page ST14","https://www.nytimes.com/2019/07/27/fashion/weddings/team-players-in-politics-and-love.html?searchResultPosition=16","Team Players in Politics and Love","null","","July 27, 2019","The couple met in January 2015 when both were New York City New Leaders Council fellows. They gathered in Manhattan to learn about progressive politics, entrepreneurship and campaigns one weekend a month for five months."
"1571098289-4218","https://www.nytimes.com/search?query=Hillary+Clinton","Caucuses in Iowa Won’t Include Absentee Participation, D.N.C. SaysIowa Democrats wanted to allow some caucusgoers to vote by phone next year, but committee leaders concluded that such a system would not be secure. They plan to give the state, and Nevada, waivers from new party rules.By Reid J. EpsteinPRINT EDITIONIowa and Nevada Caucuses May Get Pass on Including Remote Voters|August 31, 2019, Page A15","https://www.nytimes.com/2019/08/30/us/politics/dnc-iowa-virtual-caucus.html?searchResultPosition=12","Caucuses in Iowa Won’t Include Absentee Participation, D.N.C. Says","Iowa Democrats wanted to allow some caucusgoers to vote by phone next year, but committee leaders concluded that such a system would not be secure. They plan to give the state, and Nevada, waivers from new party rules.","","null","“People who believe in democracy and believe that people who are working or physically challenged should be able to participate are screwed by this decision,” said Larry Cohen, a D.N.C. member from Maryland who has long advocated allowing absentee participation in caucuses."
"1571098239-3887","https://www.nytimes.com/search?query=Hillary+Clinton","To Back Warren Is to Treat Politics as a Matter of SubstanceDetailed plans can tell a candidate’s story about what kind of person she is — and what kind of president she would be.By Mark Schmitt","https://www.nytimes.com/2019/06/27/opinion/elizabeth-warren-democratic-debate.html?searchResultPosition=26","To Back Warren Is to Treat Politics as a Matter of Substance","Detailed plans can tell a candidate’s story about what kind of person she is — and what kind of president she would be.","","null","There are other good examples of candidates using plans and issue positions to tell a story about themselves: When John McCain made campaign-finance reform a centerpiece of his 2000 and 2008 campaigns, it wasn’t because voters, particularly Republican primary voters, cared so much about the issue, in that pre-Citizens United era. The issue told the right story about Mr. McCain: a maverick willing to challenge leadership and lobbyists of his own party. Someone, furthermore, who had learned from his entanglement in the late-1980s Keating Five scandal (in which a group of senators were exposed for interceding with bank regulators on behalf of a donor). And someone willing to form cross-partisan alliances to get things done."
"1571098245-3948","https://www.nytimes.com/search?query=Hillary+Clinton","Democrats Grapple With a Sprawling Primary Field, and No One to Shape ItThe field of 24 candidates is too unwieldy, some Democrats say. But with big names like the Clintons and Obamas remaining silent, the party lacks anyone to sort it out.By Reid J. EpsteinPRINT EDITIONParty Without Leader,  And a Primary Lineup With Too Many Names|July 5, 2019, Page A12","https://www.nytimes.com/2019/07/04/us/politics/democratic-candidates-president-2020.html?searchResultPosition=24","Democrats Grapple With a Sprawling Primary Field, and No One to Shape It","null","","July 4, 2019","“The biggest part is going to be dominated by the top four or the top two,” she said. “It’s like the N.F.L., we don’t complain about the number of teams we see during the season, we want to know who has the best players to get to the playoffs.”"
