web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1574568354-11624","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=4","Ocasio-Cortez on planned Wayfair walkout: 'This is what solidarity looks like'","https://www.usatoday.com/story/news/politics/2019/06/25/aoc-wayfair-walkout-this-what-solidarity-looks-like/1562921001/","Ocasio-Cortez on planned Wayfair walkout: 'This is what solidarity looks like'","","","","""Tomorrow, they‘re walking out,"" she continued. ""This is what solidarity looks like - a reminder that everyday people have real power, as long as we’re brave enough to use it."""
"1574568379-11833","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=4","GOP embraces impeachment fight in 2020 ads, betting Trump inquiry will backfire on Democrats","https://www.usatoday.com/story/news/politics/2019/11/02/donald-trump-impeachment-republicans-embrace-fight-2020-ads/4114206002/","GOP embraces impeachment fight in 2020 ads, betting Trump inquiry will backfire on Democrats","","","","""There’s a reason Pelosi has been hesitant to make impeachment official,"" said David McIntosh, the group's president. ""She knows the evidence doesn’t meet their charges and it will be a political liability."""
"1574568211-11296","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=5","Angela Merkel on Trump tweets: 'This is something that contradicts the strength of America'","https://www.usatoday.com/story/news/politics/2019/07/19/angela-merkel-trump-tweets-stand-solidarity-squad/1780005001/","Angela Merkel on Trump tweets: 'This is something that contradicts the strength of America'","","","","More:Supporters chant 'Welcome home, Ilhan' as Rep. Ilhan Omar receives thunderous Minnesota welcome"
"1574568477-12465","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=2","Stefanik lauded by Trump for impeachment fight but draws Democrats' ire","https://www.usatoday.com/story/news/politics/2019/11/18/upstate-ny-rep-elise-stefanik-lauded-trump-impeachment-hearings/4231819002/","Stefanik lauded by Trump for impeachment fight but draws Democrats' ire","","","","More:Donald Trump ordered to pay $2M to charity to settle Trump Foundation lawsuit"
"1574568284-11533","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=5","'Headline was flawed': New York Times changed headline about Trump speech after backlash","https://www.usatoday.com/story/news/nation/2019/08/05/new-york-times-criticism-donald-trump-speech-headline/1929546001/","'Headline was flawed': New York Times changed headline about Trump speech after backlash","","","","Even a New York Times contributor was taken aback by the headline. Op-ed contributing writer Wajahat Ali tweeted: ""I write for the NYT. This is a terrible headline."""
"1574568418-12078","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=3","No, the U.S. does not need European-style hate speech laws","https://www.usatoday.com/story/opinion/2019/11/08/no-us-not-need-european-style-hate-speech-laws-column/4157833002/","No, the U.S. does not need European-style hate speech laws","null","","","That is the real success of hate speech laws. These laws are so generally worded that no one can be sure that they are not committing a crime. France bars incitement to racial discrimination, hatred, or violence on basis of race, origin, ethic group, religion or national identity. That includes such statements in private communications. In the United Kingdom, you can be arrested for language deemed “threatening, abusive, insulting” or “likely to cause[] harassment, alarm, or distress.”"
"1574568356-11643","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=4","'SNL': Alec Baldwin's Trump skit jabs zealous rallygoers – with a cameo by an ISIS escapee","https://www.usatoday.com/story/entertainment/tv/2019/10/26/saturday-night-live-president-trump-alec-baldwin-new-mexico-rally/2477170001/","'SNL': Alec Baldwin's Trump skit jabs zealous rallygoers – with a cameo by an ISIS escapee","","","","Refreshingly, it highlighted the talented “SNL” cast – supported by alums Darrell Hammond and Fred Armisen – rather than relying on the celebrity stunt-casting that has propped up some less-than-stellar presidential skits."
"1574568477-12422","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=2","Stefanik lauded by Trump for impeachment fight but draws Democrats' ire","https://www.usatoday.com/story/news/politics/2019/11/18/upstate-ny-rep-elise-stefanik-lauded-trump-impeachment-hearings/4231819002/","Stefanik lauded by Trump for impeachment fight but draws Democrats' ire","","","","The upstate New York Republican has become a staunch defender of President Donald Trump during the House's impeachment hearings, drawing his praise but also scorn from Democrats."
"1574568214-11309","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=5","Illinois GOP group apologizes for offensive 'Jihad Squad' post about AOC, Omar, Tlaib and Pressley","https://www.usatoday.com/story/news/politics/2019/07/22/jihad-squad-illinois-republican-group/1792966001/","Illinois GOP group apologizes for offensive 'Jihad Squad' post about AOC, Omar, Tlaib and Pressley","","","","Chicago Tribune reporter Rick Pearson shared the image on Twitter on Sunday afternoon. Hours later, the group's president, Mark Shaw, said it had been removed."
"1574568418-12070","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=3","No, the U.S. does not need European-style hate speech laws","https://www.usatoday.com/story/opinion/2019/11/08/no-us-not-need-european-style-hate-speech-laws-column/4157833002/","No, the U.S. does not need European-style hate speech laws","null","","","Stengel insists that the Arab diplomats raised a “fair” question, ignoring that it is a question raised by countries that routinely execute and flog those who insult religion or the government. Stengel insists “the First Amendment protects the 'thought that we hate' but it should not protect hateful speech that can cause violence by one group against another. In an age when everyone has a megaphone, that seems like a design flaw.” That “design flaw” is free speech itself."
