web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1574569916-14955","https://www.usatoday.com/search/?q=bernie%20sanders","","https://www.usatoday.com/search/?q=bernie%20sanders&page=4","'You don't want to be hot in November': When have recent caucus winners surged in Iowa?","https://www.usatoday.com/story/news/politics/elections/2019/11/22/iowa-caucuses-when-have-recent-caucus-winners-surged-polls/4270487002/","'You don't want to be hot in November': When have recent caucus winners surged in Iowa?","null","","","But sometimes a mid-fall surge dissipates as quickly as it began."
"1574569949-15282","https://www.usatoday.com/search/?q=bernie%20sanders","","https://www.usatoday.com/search/?q=bernie%20sanders&page=3","Democratic candidates traded barbs and attacks but agreed Trump should be impeached","https://www.usatoday.com/story/news/politics/elections/2019/11/20/democratic-debate-updates-joe-biden-elizabeth-warren-pete-buttigieg-sanders/4243241002/","Democratic candidates traded barbs and attacks but agreed Trump should be impeached","null","","","Andrew Yang got a good laugh – and applause – when asked what, if elected president, he would say in his first call to Russian President Vladimir Putin."
"1574569871-14509","https://www.usatoday.com/search/?q=bernie%20sanders","","https://www.usatoday.com/search/?q=bernie%20sanders&page=5","Iowa Poll: Republicans and Democrats each see advantage in impeachment inquiry","https://www.usatoday.com/story/news/politics/2019/11/18/iowa-poll-republicans-democrats-see-advantage-impeachment-inquiry/4227293002/","Iowa Poll: Republicans and Democrats each see advantage in impeachment inquiry","null","","","“I'm not worried because I think that was 100% President Trump's intent, to drag down the name and to look for anything with zero substance to support it,"" she says. ""I'm not going to let him get away with that. And I feel pretty bad for both Bidens for having their names dragged through the mud in this fashion when there's no evidence.”"
"1574569857-14392","https://www.usatoday.com/search/?q=bernie%20sanders","","https://www.usatoday.com/search/?q=bernie%20sanders&page=5","A look inside Elizabeth Warren's systematic, methodical approach to Iowa — and her rise in the polls","https://www.usatoday.com/story/news/politics/elections/2019/11/12/election-2020-elizabeth-warrens-iowa-campaign-differs-from-her-rivals-efforts/2573843001/","A look inside Elizabeth Warren's systematic, methodical approach to Iowa — and her rise in the polls","null","","","It's in these selfie lines where Warren says she's able to connect with her supporters in a different way than her competitors do."
"1574569989-15682","https://www.usatoday.com/search/?q=bernie%20sanders","","https://www.usatoday.com/search/?q=bernie%20sanders&page=3","Bernie Sanders: Trump weather map incident shows 'authoritarian' impulses","https://www.usatoday.com/story/news/politics/elections/2019/09/10/bernie-sanders-responds-to-president-trumps-sharpie-on-dorian-map/2273268001/","Bernie Sanders: Trump weather map incident shows 'authoritarian' impulses","null","","","What happened last week:Trump doubles down on debunked Alabama comments about Dorian's path"
"1574569880-14566","https://www.usatoday.com/search/?q=bernie%20sanders","","https://www.usatoday.com/search/?q=bernie%20sanders&page=5","2020: Joe Biden edges ahead of opponents in New Hampshire poll","https://www.usatoday.com/story/news/politics/elections/2019/11/11/2020-joe-biden-edges-democrat-opponents-quinnipiac-new-hampshire-poll/2567025001/","2020: Joe Biden edges ahead of opponents in New Hampshire poll","null","","","About one-third of Democrats polled listed ""someone who can win the general election"" against President Donald Trump as the most important quality in a candidate."
"1574569954-15420","https://www.usatoday.com/search/?q=bernie%20sanders","","https://www.usatoday.com/search/?q=bernie%20sanders&page=3","Rep. Omar asks judge for 'compassion' when sentencing man who threatened to kill her","https://www.usatoday.com/story/news/politics/2019/11/19/rep-omar-omar-asks-compassion-threat-case-sentencing/4245478002/","Rep. Omar asks judge for 'compassion' when sentencing man who threatened to kill her","null","","","Omar was one of the first two Muslim women elected to the United States House of Representatives."
"1574569926-15044","https://www.usatoday.com/search/?q=bernie%20sanders","","https://www.usatoday.com/search/?q=bernie%20sanders&page=4","Iowa Poll: Pete Buttigieg rockets to the top of the 2020 field as a clear front-runner","https://www.usatoday.com/story/news/politics/elections/2019/11/16/iowa-poll-buttigieg-leads-iowa-followed-warren-sanders-biden/4218623002/","Iowa Poll: Pete Buttigieg rockets to the top of the 2020 field as a clear front-runner","null","","","This latest poll underscores that separation. The group’s next-closest competitor, U.S. Sen. Amy Klobuchar of Minnesota, trails well behind, at 6%."
"1574569839-14222","https://www.usatoday.com/search/?q=bernie%20sanders","","https://www.usatoday.com/search/?q=bernie%20sanders&page=5","After a surge in polls, Buttigieg heads into the debate as a target","https://www.usatoday.com/story/news/politics/elections/2019/11/19/democratic-debate-pete-buttigieg-target-after-rise-polls/4238453002/","After a surge in polls, Buttigieg heads into the debate as a target","null","","","“Our campaign is working to build a multi-racial coalition, and we sought and received input from numerous black policy experts and advisers to create a comprehensive plan to dismantle systemic racism: the Douglass Plan,"" the campaign said in a prepared statement. ""We asked a number of black South Carolinians, as well as South Carolinians from many backgrounds, to support the Douglass Plan, and we are proud and grateful that hundreds agreed to do so."""
"1574569851-14348","https://www.usatoday.com/search/?q=bernie%20sanders","","https://www.usatoday.com/search/?q=bernie%20sanders&page=5","Elizabeth Warren willing to show Bill Gates how much she'd tax him: 'I promise it's not $100 billion'","https://www.usatoday.com/story/news/politics/elections/2019/11/07/elizabeth-warren-wealth-tax-bill-gates/2517795001/","Elizabeth Warren willing to show Bill Gates how much she'd tax him: 'I promise it's not $100 billion'","null","","","Speaking at The New York Times DealBook Conference on Wednesday, Gates said that he's open to higher wealth taxes: ""I've paid over $10 billion in taxes. I've paid more than anyone in taxes. I'm glad to have paid—if I'd had to pay $20 billion, that's fine."""
