web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1574570353-17369","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=4","You elected them to write new laws. They’re letting corporations do it instead.","https://www.usatoday.com/in-depth/news/investigations/2019/04/03/abortion-gun-laws-stand-your-ground-model-bills-conservatives-liberal-corporate-influence-lobbyists/3162173002/","You elected them to write new laws. They’re letting corporations do it instead.","null","","null","GRAPHICS AND ILLUSTRATIONS:
            Andrea Brunty, Veronica Bravo, Lauren Lapid, Pim Linders, Ramon Padilla,
            Jim Sergent, Shawn Sullivan, Mitchell Thorson"
"1574570285-16463","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=5","Donald Trump's emergency order hits wall with GOP senators. What's next?","https://www.usatoday.com/story/news/politics/2019/03/04/senators-likely-vote-against-trumps-national-emergency-what-next/3009067002/","Donald Trump's emergency order hits wall with GOP senators. What's next?","null","","null","McSally is expected to face a competitive race in the 2020 special election. The Cook Political Report rates the seat ""leans Republican."" Earlier this month, Mark Kelly, a retired U.S. Navy pilot and the husband of former Rep. Gabby Giffords, announced his plans to run for the seat."
"1574570440-19521","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","Sports: An article on the possible use of canopies in IndyCar on Aug. 25 used imprecise wording regarding NHRA driver Tony Schumacher's canopy in drag racing. He was the first to use a design approved by NHRA in 2012."
"1574570440-18955","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","News: An earlier version of this story misspelled the victim's last name. The victim is Robert Godwin Sr. https://www.usatoday.com/story/news/2017/04/16/cleveland-police-suspect-broadcast-killing/100549268/​"
"1574570386-17650","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=3","Free college plans such as Elizabeth Warren's are pretty pricey. Some say her plan would benefit the rich most","https://www.usatoday.com/story/news/education/2019/04/26/fafsa-elizabeth-warren-student-loans-forgiveness-free-college-debt-relief/3572444002/","Free college plans such as Elizabeth Warren's are pretty pricey. Some say her plan would benefit the rich most","null","","null","Warren's plan has drawn criticismfrom some liberals, who say it would benefit the wealthy over poor Americans."
"1574570440-19705","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","News: A map on Feb. 22 with an article about the Sunni-Shiite divide in the Middle East had an incorrect breakdown of Sunnis and Shiites in Bahrain. Bahrain is 70% Shiite and 30% Sunni."
"1574570440-19202","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","Life: Actress Rachel Dratch’s last name was misspelled in a photo caption in a July 19 review of the play Privacy."
"1574570277-16318","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=5","Amy Klobuchar heats up 2020 presidential race on freezing Minneapolis afternoon","https://www.usatoday.com/story/news/politics/elections/2019/02/10/amy-klobuchar-2020-announcement/2829968002/","Amy Klobuchar heats up 2020 presidential race on freezing Minneapolis afternoon","null","","null","One early hurdle for the Minnesota Democrat is a BuzzFeed News report based on interviews with eight of her former staffers who accused her of running ""a workplace controlled by fear, anger and shame."" The article said the senator ""regularly berated"" her staff over minor mistakes."
"1574570280-16345","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=5","Arming teachers in schools will be banned in New York, among other new gun-control measures","https://www.usatoday.com/story/news/nation/2019/01/29/arming-teachers-banned-new-york-gun-control/2714579002/","Arming teachers in schools will be banned in New York, among other new gun-control measures","null","","null","Other Republican senators said the bill could ban off-duty police officers from carrying their guns into schools to pick their children or teachers who want to keep their guns in their vehicles."
"1574570440-18493","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","December 2018"
"1574570440-18463","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","News: Stories have been updated to clarify the original description of Nathan Phillips’ military service. Phillips is a Vietnam-era veteran who served in the U.S. Marine Corps Reserve from May 1972 to May 1976 and did not deploy to a war zone, according to the Defense Department."
"1574570348-17149","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=4","Students accused of sexual assault are suing colleges — and winning most of the time","https://www.usatoday.com/story/news/education/2019/04/13/me-too-campus-sexual-assault-lawsuit-awareness-month/3455983002/","Students accused of sexual assault are suing colleges — and winning most of the time","null","","null","""I still think there's a lot of confusion out there on what needs to be done"" by universities, he said. And there was a need for courts to step in because ""universities, on their own, weren't going to get (to fair due process) on their own."""
