web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1574570958-23130","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=3","Unmask the whistleblower: A fair, good faith impeachment of Donald Trump demands it","https://www.usatoday.com/story/opinion/2019/11/08/whistleblower-donald-trump-ukraine-impeachment-call-unmask-column/2517961001/","Unmask the whistleblower: A fair, good faith impeachment of Donald Trump demands it","null","","null","Legislators are accountable to the people. Bureaucrats are not. Politicians prevaricate, equivocate, and disappoint. But they are public persons accountable to the public. Even in our polarized age, the people rightly answer momentous questions of state by selecting decision-makers at the ballot box. The press has a solemn obligation to help inform that selection. By shielding the whistleblower, even after the House vote, the media is neglecting that duty."
"1574570893-22573","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=5","McConnell still 'can't imagine' Senate will oust Trump in impeachment process","https://www.usatoday.com/story/news/politics/2019/11/18/trump-impeachment-mcconnell-cant-imagine-presidents-removal/4229878002/","McConnell still 'can't imagine' Senate will oust Trump in impeachment process","null","","null","Morgan Watkins: 502-582-4502; mwatkins@courierjournal.com; Twitter: @morganwatkins26. Support strong local journalism by subscribing today: courier-journal.com/morganw."
"1574570906-22661","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=4","Bill Clinton to Donald Trump on gun control inaction during impeachment: 'You got hired to do a job'","https://www.usatoday.com/story/news/politics/2019/11/14/bill-clinton-calls-out-trump-after-school-shooting-refusal-work-congress-during-impeachment/4194241002/","Bill Clinton to Donald Trump on gun control inaction during impeachment: 'You got hired to do a job'","null","","null","Clinton insisted that the American public is much more supportive of gun control laws from when he passed the 1994 legislation and that politicians are less likely to face electoral consequences as they did in the 1990s when Democrats lost the majority. He stated, ""It's not that way anymore. It's now a voting issue for the people that agree with us."""
"1574570904-22623","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=4","Cellphone in Ukraine to loose lips in Oval Office: 8 worst Trump-era security blunders","https://www.usatoday.com/story/opinion/2019/11/18/donald-trump-national-security-blunders-russia-ukraine-column/4222072002/","Cellphone in Ukraine to loose lips in Oval Office: 8 worst Trump-era security blunders","null","","null","President Donald Trump told the U.S. ambassador to the European Union, Gordon Sondland, in a July 26 phone call that Ukrainian officials needed to move forward with “investigations,” presumably against former Vice President Joe Biden. We know about this because Sondland made the call at a crowded restaurant in Kiev on his personal cellphone, according to the sworn testimony of David Holmes, a U.S. Embassy staffer who was at Sondland's table and overheard the whole conversation, including Trump's end of it. And Holmes was not the only staffer at the table during the call, according to The Associated Press."
"1574571016-23666","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=2","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","https://www.usatoday.com/story/news/politics/2019/11/20/impeachment-live-updates-gordon-sondland-testify-trump-ukraine/4238183002/","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","null","","null","According to Perry’s office, Perry only spoke to Giuliani once, at Trump’s request."
"1574570893-22550","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=5","McConnell still 'can't imagine' Senate will oust Trump in impeachment process","https://www.usatoday.com/story/news/politics/2019/11/18/trump-impeachment-mcconnell-cant-imagine-presidents-removal/4229878002/","McConnell still 'can't imagine' Senate will oust Trump in impeachment process","null","","null","The House still has to vote on whether to approve articles of impeachment. If that happens, McConnell said Monday he's still confident it wouldn't lead to Trump's ouster."
"1574571016-23707","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=2","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","https://www.usatoday.com/story/news/politics/2019/11/20/impeachment-live-updates-gordon-sondland-testify-trump-ukraine/4238183002/","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","null","","null","""Other witnesses have recently shared their recollection of overhearing this call. For the most part, I have no reason to doubt their accounts. It is true that the President speaks loudly at times,"" he said Wednesday."
"1574571016-23614","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=2","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","https://www.usatoday.com/story/news/politics/2019/11/20/impeachment-live-updates-gordon-sondland-testify-trump-ukraine/4238183002/","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","null","","null","""I don’t know him very well. I have not spoken to him much,"" Trump told reporters."
"1574570947-22989","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=3","Is Secretary of State Mike Pompeo mulling a Senate run in Kansas? Trump tells Fox he might do it","https://www.usatoday.com/story/news/politics/2019/11/22/donald-trump-mike-pompeo-might-run-senate-if-kansas-seat-risk/4269788002/","Is Secretary of State Mike Pompeo mulling a Senate run in Kansas? Trump tells Fox he might do it","null","","null","""We kept the leadership of the State Department and the NSC (National Security Council) informed of our activities,"" Sondland said. ""They knew what we were doing and why,"" the EU ambassador said."
"1574571004-23389","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=2","Who are the 17 witnesses in the Trump impeachment inquiry and what have they said?","https://www.usatoday.com/story/news/politics/2019/11/06/trump-impeachment-inquiry-officials-who-testified-before-congress/4159209002/","Your 100% Tribally owned and trusted insurance partner","null","","null","What he told lawmakers: Sondland amended his original testimony and told lawmakers he communicated a quid pro quo to a Ukrainian official, linking military aid for Ukraine to a public statement committing to investigations Trump and Giuliani wanted."
"1574570981-23285","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=3","Trump signs continuing resolution to hold off a government shutdown -- for now","https://www.usatoday.com/story/news/politics/2019/11/21/donald-trump-signs-continuing-resolution-avoid-government-shutdown/2580198001/","Trump signs continuing resolution to hold off a government shutdown -- for now","null","","null","WASHINGTON – President Donald Trump signed a short-term spending bill on Thursday that will avoid another government shutdown, at least for now."
"1574571016-23586","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=2","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","https://www.usatoday.com/story/news/politics/2019/11/20/impeachment-live-updates-gordon-sondland-testify-trump-ukraine/4238183002/","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","null","","null","Republicans have said the Ukrainians did not know about the hold on security assistance at the time of the call, which happened on the morning of July 25."
"1574571016-23661","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=2","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","https://www.usatoday.com/story/news/politics/2019/11/20/impeachment-live-updates-gordon-sondland-testify-trump-ukraine/4238183002/","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","null","","null","Republicans have noted that Mark Sandy, an official from the Office of Management and Budget, gave a closed-door deposition on Saturday to three committees investigating Ukraine, but that the transcript hasn’t been released yet. Zeldin said Sandy explained why the aid was withheld."
"1574570961-23144","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=3","5 things to watch in first public hearings in Trump impeachment inquiry on Capitol Hill","https://www.usatoday.com/story/news/politics/2019/11/13/trump-impeachment-inquiry-what-watch-house-public-hearings/2567263001/","Play this for 1 minute and see why everyone is addicted","null","","null","""There shouldn’t be anything. There shouldn’t be impeachment hearings, is what I said,"" Trump said. ""This is a witch hunt at the highest level, and it's so bad for our country."""
"1574571016-23639","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=2","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","https://www.usatoday.com/story/news/politics/2019/11/20/impeachment-live-updates-gordon-sondland-testify-trump-ukraine/4238183002/","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","null","","null","“Anything sinister or nefarious about any of that?” Ratcliffe asked, which Sondland denied. “That is the truth, as you have presented it, correct. None of that is hearsay. None of that is speculation. That is direct evidence.”"
"1574571004-23392","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=2","Who are the 17 witnesses in the Trump impeachment inquiry and what have they said?","https://www.usatoday.com/story/news/politics/2019/11/06/trump-impeachment-inquiry-officials-who-testified-before-congress/4159209002/","Your 100% Tribally owned and trusted insurance partner","null","","null","What he told lawmakers: Taylor directly tied Trump and his allies with a quid pro quo. He said Trump made the order to pause military aid for Ukraine, and it was his ""clear understanding"" that ""security assistance money would not come until the (Ukrainian) president committed to pursue the investigation,"" according to a transcript of his testimony."
"1574570914-22740","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=4","Trump meets with Romney, Collins, other Republican senators at White House during impeachment hearing","https://www.usatoday.com/story/news/politics/2019/11/21/donald-trump-meets-potential-impeachment-jurors-gop-senators/4257773002/","Trump meets with Romney, Collins, other Republican senators at White House during impeachment hearing","null","","null","Senators said they and Trump also discussed the proposed short-term spending bill to punt a looming government shutdown to the end of the year; Collins said she believes Trump would sign that plan."
"1574570968-23203","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=3","Ukraine scandal: Trump wants Republicans to defend him. But don't defend the indefensible.","https://www.usatoday.com/story/opinion/2019/11/19/donald-trump-ukraine-investigation-impeachment-republicans-congress-biden-column/4229871002/","Ukraine scandal: Trump wants Republicans to defend him. But don't defend the indefensible.","null","","null","But the president of the United States doesn’t have a general writ to pursue corruption everywhere on the globe. And for there to be a legitimate presidential interest in a specific investigation, corruption cannot be a general description but a specific illegal act with a tie to the United States."
"1574570919-22790","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=4","Trump tells Fox News not to waste airtime on 'losers' like Rep. Swalwell","https://www.usatoday.com/story/news/politics/2019/11/21/trump-annoyed-fox-news-airs-eric-swalwell/4259583002/","Trump tells Fox News not to waste airtime on 'losers' like Rep. Swalwell","null","","null","Chris Wallace to Stephen Miller:'No question' Trump is 'stoking racial divisions'"
"1574570916-22759","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=4","Report: Matt Bevin's stay at Trump hotel could be used against president","https://www.usatoday.com/story/news/politics/2019/11/21/trump-emolument-case-kentucky-gov-bevins-hotel-stay-could-used/4265940002/","Report: Matt Bevin's stay at Trump hotel could be used against president","null","","null","Plaintiffs have alleged in two separate cases that the president violated the U.S. Constitution’s domestic emoluments clause when former Maine Gov. Paul LePage visited Trump hotels."
"1574571013-23533","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=2","'Rudy was the guy:' Takeaways from Sondland's testimony detailing Ukraine pressure campaign","https://www.usatoday.com/story/news/politics/2019/11/20/trump-impeachment-hearing-sondland-says-trump-desired-quid-pro-quo/4237809002/","'Rudy was the guy:' Takeaways from Sondland's testimony detailing Ukraine pressure campaign","null","","null","Before Pence met with Zelensky in Warsaw, Poland, on Sept. 1, Sondland said, he mentioned to the vice president his concerns “that the delay in aid had become tied to the issue of investigations.”"
"1574571016-23583","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=2","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","https://www.usatoday.com/story/news/politics/2019/11/20/impeachment-live-updates-gordon-sondland-testify-trump-ukraine/4238183002/","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","null","","null","The same day as the call between Trump and Zelensky, there were emails from the State Department saying both Congress and the Ukrainians were asking about security assistance."
"1574570870-22434","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=5","Ambassador Yovanovitch 'intimidated' by Trump live tweets","https://www.usatoday.com/videos/news/politics/2019/11/15/ambassador-yovanovitch-intimidated-trump-live-tweets/4202435002/","Ambassador Yovanovitch 'intimidated' by Trump live tweets","null","","null",""
"1574570916-22766","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=4","Report: Matt Bevin's stay at Trump hotel could be used against president","https://www.usatoday.com/story/news/politics/2019/11/21/trump-emolument-case-kentucky-gov-bevins-hotel-stay-could-used/4265940002/","Report: Matt Bevin's stay at Trump hotel could be used against president","null","","null","Bevin, a Republican, was a close Trump ally who remained wedded to the president during his failed reelection bid against Democratic challenger Andy Beshear."
"1574571004-23375","https://www.usatoday.com/search/?q=donald%20trump","","https://www.usatoday.com/search/?q=donald%20trump&page=2","Who are the 17 witnesses in the Trump impeachment inquiry and what have they said?","https://www.usatoday.com/story/news/politics/2019/11/06/trump-impeachment-inquiry-officials-who-testified-before-congress/4159209002/","Your 100% Tribally owned and trusted insurance partner","null","","null","In his public testimony Nov. 19, Volker told lawmakers he was not aware of or knowingly took part in any efforts to pressure Kyiv to open an investigation into former Vice President Joe Biden. At the time, he told lawmakers, he did not realize investigations into the Bidens and into Burisma had been conflated."
