web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1574570632-20818","https://www.usatoday.com/search/?q=elizabeth%20warren","","https://www.usatoday.com/search/?q=elizabeth%20warren&page=4","Fox News poll shows Trump nine points behind Biden in Wisconsin, a key swing state","https://www.usatoday.com/story/news/politics/elections/2019/10/07/fox-news-poll-trump-losing-biden-nine-points-wisconsin/3896700002/","Fox News poll shows Trump nine points behind Biden in Wisconsin, a key swing state","null","","null","Forty-two percent of voters said Trump needed to be impeached and removed from office, and 48% said he should not be impeached and removed."
"1574570711-21578","https://www.usatoday.com/search/?q=elizabeth%20warren","","https://www.usatoday.com/search/?q=elizabeth%20warren&page=3","5 reasons why Elizabeth Warren has the best chance to beat Donald Trump","https://www.usatoday.com/story/opinion/2019/09/25/5-reasons-warren-best-chance-beat-trump-column/2419281001/","5 reasons why Elizabeth Warren has the best chance to beat Donald Trump","null","","null","►Finally, voters don’t commit to candidates just because they think they’re smart or make good speeches. They certainly don’t evaluate candidates simply by comparing lists of issue positions."
"1574570596-20408","https://www.usatoday.com/search/?q=elizabeth%20warren","","https://www.usatoday.com/search/?q=elizabeth%20warren&page=5","Democratic candidates traded barbs and attacks but agreed Trump should be impeached","https://www.usatoday.com/story/news/politics/elections/2019/11/20/democratic-debate-updates-joe-biden-elizabeth-warren-pete-buttigieg-sanders/4243241002/","Democratic candidates traded barbs and attacks but agreed Trump should be impeached","null","","null","“If it isn’t Priority One,” Steyer said, “it’s not going to get done.”"
"1574570752-22142","https://www.usatoday.com/search/?q=elizabeth%20warren","","https://www.usatoday.com/search/?q=elizabeth%20warren&page=2","Elizabeth Warren leading Joe Biden in recent Democratic presidential primary polls","https://www.usatoday.com/story/news/politics/elections/2019/10/09/elizabeth-warren-leads-joe-biden-national-polls/3916886002/","Elizabeth Warren leading Joe Biden in recent Democratic presidential primary polls","null","","null","Most national polls since the end of September have found Warren – not former Vice President Joe Biden – leading the pack, but by relatively narrow margins."
"1574570680-21279","https://www.usatoday.com/search/?q=elizabeth%20warren","","https://www.usatoday.com/search/?q=elizabeth%20warren&page=3","Poll: More good news for Elizabeth Warren, within striking distance of Joe Biden in Nevada","https://www.usatoday.com/story/news/politics/elections/2019/09/24/elizabeth-warren-within-striking-distance-joe-biden-nevada/2426383001/","Poll: More good news for Elizabeth Warren, within striking distance of Joe Biden in Nevada","null","","null","Among the second tier of candidates in Nevada, California Sen. Kamala Harris was at 4% and South Bend (Ind.) Mayor Pete Buttigieg, entrepreneur Andrew Yang and activist Tom Steyer at 3%."
"1574570729-22007","https://www.usatoday.com/search/?q=elizabeth%20warren","","https://www.usatoday.com/search/?q=elizabeth%20warren&page=2","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-debate-westerville-ohio-event-test-biden-warren-sanders/3978928002/","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","null","","null","“One of the problems I’m finding, I’ve got to be more aggressive,” Biden said at the fundraiser. “Which is good, I’m not complaining, I’m a big boy,” he said, while explaining that the debates' time restraints don’t allow time for full answers."
"1574570741-22071","https://www.usatoday.com/search/?q=elizabeth%20warren","","https://www.usatoday.com/search/?q=elizabeth%20warren&page=2","Trump trails Biden, Warren, Sanders, Harris, Buttigieg by double-digit margins in new poll","https://www.usatoday.com/story/news/politics/2019/11/05/trump-trails-leading-democrats-2020-poll/4163164002/","Trump trails Biden, Warren, Sanders, Harris, Buttigieg by double-digit margins in new poll","null","","null","According to the Post-ABC poll, most Americans share negative opinions of Trump in a number of areas. Sixty-three percent say they don't think the president is ""honest and trustworthy,"" 62% say he lacks presidential temperament, 60% say he does not understand their problems, 55% say he is not good at making political deals and 54% say he is not a strong leader."
"1574570759-22246","https://www.usatoday.com/search/?q=elizabeth%20warren","","https://www.usatoday.com/search/?q=elizabeth%20warren&page=2","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","https://www.usatoday.com/story/news/politics/elections/2019/10/15/top-moments-tuesdays-democratic-debate/3991377002/","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","null","","null","For more highlights:USA TODAY's live blog from the 4th Democratic debate in Ohio"
"1574570634-20826","https://www.usatoday.com/search/?q=elizabeth%20warren","","https://www.usatoday.com/search/?q=elizabeth%20warren&page=4","Poll: Biden and Warren in lead, Trump approval unchanged since impeachment inquiry began","https://www.usatoday.com/story/news/politics/elections/2019/10/02/monmouth-poll-shows-biden-and-warren-lead-trump-approval-unchanged/3841442002/","Poll: Biden and Warren in lead, Trump approval unchanged since impeachment inquiry began","null","","null","Shortly before the poll's release, Sanders was hospitalized after suffering chest discomfort at a campaign event in Las Vegas."
"1574570729-21976","https://www.usatoday.com/search/?q=elizabeth%20warren","","https://www.usatoday.com/search/?q=elizabeth%20warren&page=2","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-debate-westerville-ohio-event-test-biden-warren-sanders/3978928002/","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","null","","null","A growing battle between Pete Buttigieg and the party’s progressive wing escalated in the lead-up to the debate."
