web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1574571897-25786","https://www.usatoday.com/search/?q=hillary%20clinton","","https://www.usatoday.com/search/?q=hillary%20clinton&page=2","'Sometimes, divorce is necessary.' Fight for LGBTQ inclusion may finally split United Methodists","https://www.usatoday.com/story/news/nation/2019/11/22/united-methodist-church-progressive-conservative-split-lgbtq/4233406002/","'Sometimes, divorce is necessary.' Fight for LGBTQ inclusion may finally split United Methodists","null","","null","“Especially in the Northwest, I’ve always felt UMC is supportive and protective of queer people in the church,” Sy said. “That’s all I had previously known.”"
"1574571908-25840","https://www.usatoday.com/search/?q=hillary%20clinton","","https://www.usatoday.com/search/?q=hillary%20clinton&page=2","Chelsea Clinton says she won't run for Nita Lowey's New York House seat in 2020","https://www.usatoday.com/story/news/politics/elections/2019/10/16/chelsea-clinton-congress-nita-lowey-us-house-of-representatives/3998039002/","Chelsea Clinton says she won't run for Nita Lowey's New York House seat in 2020","null","","null","She said she wasn't sure if she'd run for office one day, but ""right now, the answer's no."""
"1574571780-24505","https://www.usatoday.com/search/?q=hillary%20clinton","","https://www.usatoday.com/search/?q=hillary%20clinton&page=4","Who is running for president in 2020? An interactive guide","https://www.usatoday.com/story/news/politics/elections/2019/03/23/election-2020-who-candidates-president/3210287002/","Who is running for president in 2020? An interactive guide","null","","null","Fast facts: New Jersey’s first African-American senator, Booker has hinged his career on his efforts at overhauling the criminal justice system. He was also a Rhodes scholar and played football at Stanford."
"1574571775-24451","https://www.usatoday.com/search/?q=hillary%20clinton","","https://www.usatoday.com/search/?q=hillary%20clinton&page=4","Roger Stone, a GOP operative and Trump ally, faces trial on accusations he lied to Congress","https://www.usatoday.com/story/news/politics/2019/11/05/roger-stone-donald-trump-ally-republican-operative-on-trial-wikileaks-russia-probe/2497663001/","Roger Stone, a GOP operative and Trump ally, faces trial on accusations he lied to Congress","null","","null","Stone told senior Trump campaign officials about WikiLeaks in the summer of 2016, according to prosecutors. After the group published the DNC emails in late July, a campaign official was directed to contact Stone and ask about additional releases, according to court records. Prosecutors have not said who directed that official."
"1574571897-25791","https://www.usatoday.com/search/?q=hillary%20clinton","","https://www.usatoday.com/search/?q=hillary%20clinton&page=2","'Sometimes, divorce is necessary.' Fight for LGBTQ inclusion may finally split United Methodists","https://www.usatoday.com/story/news/nation/2019/11/22/united-methodist-church-progressive-conservative-split-lgbtq/4233406002/","'Sometimes, divorce is necessary.' Fight for LGBTQ inclusion may finally split United Methodists","null","","null","Woodworth, who was in St. Louis during the vote in February, said it was difficult to watch her peers vote against inclusion, but she’s undeterred, based on the bishops’ letter and decades of support from her fellow Methodists."
"1574571845-25205","https://www.usatoday.com/search/?q=hillary%20clinton","","https://www.usatoday.com/search/?q=hillary%20clinton&page=3","Democratic candidates traded barbs and attacks but agreed Trump should be impeached","https://www.usatoday.com/story/news/politics/elections/2019/11/20/democratic-debate-updates-joe-biden-elizabeth-warren-pete-buttigieg-sanders/4243241002/","Democratic candidates traded barbs and attacks but agreed Trump should be impeached","null","","null","- Maureen Groppe"
"1574571890-25675","https://www.usatoday.com/search/?q=hillary%20clinton","","https://www.usatoday.com/search/?q=hillary%20clinton&page=2","Obama at Elijah Cummings funeral: 'It falls on us to continue his work'","https://www.usatoday.com/story/news/politics/2019/10/25/live-elijah-cummings-funeral-coverage-barack-obama-bill-clinton-speak/4088642002/","Obama at Elijah Cummings funeral: 'It falls on us to continue his work'","null","","null","She recounted a time when she was called ugly by another kid on the elementary school playground."
"1574571823-24939","https://www.usatoday.com/search/?q=hillary%20clinton","","https://www.usatoday.com/search/?q=hillary%20clinton&page=3","Rep. Will Hurd: no proof Trump committed bribery, extortion. Top takeaways from impeachment hearings","https://www.usatoday.com/story/news/politics/2019/11/21/impeachment-hearings-takeaways-fiona-hill-holmes-testimonies/4255270002/","Rep. Will Hurd: no proof Trump committed bribery, extortion. Top takeaways from impeachment hearings","null","","null","Complicating matters, he said, was Trump's decision to meet with Putin on June 28 at the G20 Summit in Japan, ""sending a further signal of lack of support for Ukraine."""
"1574571839-25067","https://www.usatoday.com/search/?q=hillary%20clinton","","https://www.usatoday.com/search/?q=hillary%20clinton&page=3","Dear news media, don't turn the 2020 Democratic debates into Trump-like Twitter fodder","https://www.usatoday.com/story/opinion/2019/10/10/democratic-debate-news-media-want-conflict-voters-want-change-column/2378485001/","Dear news media, don't turn the 2020 Democratic debates into Trump-like Twitter fodder","null","","null","There’s an old saying that when you wrestle with a pig, sooner or later you realize the pig likes it. It’s impossible to know who the bigger swine is in our current climate — Donald Trump or the news media. Perhaps the pig tail is wagging the pig. But on the other side stand the American people desperate for clear-eyed leadership and serious, meaningful change and a fleet of Democratic candidates ready to give it to them. Here’s a crazy idea: Why don’t we make the debates about that?"
"1574571780-24568","https://www.usatoday.com/search/?q=hillary%20clinton","","https://www.usatoday.com/search/?q=hillary%20clinton&page=4","Who is running for president in 2020? An interactive guide","https://www.usatoday.com/story/news/politics/elections/2019/03/23/election-2020-who-candidates-president/3210287002/","Who is running for president in 2020? An interactive guide","null","","null","Quote: ""I believe a moral and spiritual awakening is necessary in this country. And nothing short of that will fundamentally disrupt the patterns of political dysfunction."""
