web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1574572269-26508","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=4","Democrats see echoes of Russia in Trump’s call for China to investigate Joe Biden","https://www.usatoday.com/story/news/politics/2019/10/03/democrats-see-echoes-russia-trump-seeks-china-probe-joe-biden/3853805002/","Democrats see echoes of Russia in Trump’s call for China to investigate Joe Biden","null","","null","China:Trump says Beijing should investigate Joe Biden, family"
"1574572357-27442","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=2","2020 election: Why Pennsylvania is vital to Trump, Biden or anyone else who hopes to win","https://www.usatoday.com/story/news/politics/elections/2019/11/03/2020-election-pennsylvania-swing-state-vital-for-anyone-to-win-presidency/4151421002/","2020 election: Why Pennsylvania is vital to Trump, Biden or anyone else who hopes to win","null","","null","When Trump was elected, some pundits compared the tone of the country to that during the Civil War — the division, not the bloodshed. The battle was an intellectual one between rural and urban voters."
"1574572305-26870","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=3","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","https://www.usatoday.com/story/news/politics/elections/2019/10/15/top-moments-tuesdays-democratic-debate/3991377002/","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","null","","null","More on buyback debate:Chuck Schumer said Democrats don't agree with Beto O'Rourke on gun buybacks. Some do."
"1574572221-26197","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=5","'I thought you might have been high': Quips from candidates and other top moments from the November Democratic debate","https://www.usatoday.com/story/news/politics/elections/2019/11/20/2020-democrats-top-moments-november-debate-atlanta/4243267002/","Culturally sensitive, affordable and reliable solutions","null","","null","""Our government is working better and better for the billionaires,"" Warren said, ""and worse and worse for everyone else."""
"1574572300-26802","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=3","Hunter Biden speaks out amid Ukraine controversy, admits 'mistake,' denies he did anything 'improper'","https://www.usatoday.com/story/news/politics/2019/10/15/hunter-biden-speaks-out-amid-ukraine-controversy-admits-mistake/3983320002/","Hunter Biden speaks out amid Ukraine controversy, admits 'mistake,' denies he did anything 'improper'","null","","null","Biden, speaking with reporter Amy Robach at his Los Angeles home, described his dealings with the company, Burisma, as ""poor judgment"" on his part that ""gave a hook to some very unethical people to act in illegal ways to try to do some harm to my father,"" former Vice President Joe Biden."
"1574572247-26391","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=4","Donald Trump impeachment inquiry: White House says 'no' to Nancy Pelosi. China says 'no' to Joe Biden probe","https://www.usatoday.com/story/news/politics/2019/10/08/donald-trump-impeachment-inquiry-rudy-giuliani-gordon-sondland-testify/3914217002/","Donald Trump impeachment inquiry: White House says 'no' to Nancy Pelosi. China says 'no' to Joe Biden probe","null","","null","Trump defended the decision to prevent Sondland's testimony, saying the Democrats' inquiry is illegitimate, claiming he would love ""to send Ambassador Sondland"" to testify, but he, unfortunately ""would be testifying before a totally compromised kangaroo court."""
"1574572395-27730","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=2","'Doubling down on stupid': GOP warns Adam Schiff not to block Hunter Biden as impeachment witness","https://www.usatoday.com/story/news/politics/2019/11/10/republicans-want-hunter-biden-impeachment-testimony/2554571001/","'Doubling down on stupid': GOP warns Adam Schiff not to block Hunter Biden as impeachment witness","null","","null","But whistleblower advocates argue that would discourage other people from coming forward in the future and Democrats say there is no need for the person to testify because the allegations in the complaint have largely been corroborated by other witnesses."
"1574572247-26396","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=4","Donald Trump impeachment inquiry: White House says 'no' to Nancy Pelosi. China says 'no' to Joe Biden probe","https://www.usatoday.com/story/news/politics/2019/10/08/donald-trump-impeachment-inquiry-rudy-giuliani-gordon-sondland-testify/3914217002/","Donald Trump impeachment inquiry: White House says 'no' to Nancy Pelosi. China says 'no' to Joe Biden probe","null","","null","Some Democrats scoffed at Trump's objections and indicated they may go to court to try and enforce subpoenas and document requests."
"1574572363-27541","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=2","'I want the Norman Rockwell America back': In Delaware, the land of Biden, evidence of strong Trump support","https://www.usatoday.com/story/news/politics/elections/2019/11/07/election-2020-donald-trump-supporters-land-joe-biden/2519935001/","'I want the Norman Rockwell America back': In Delaware, the land of Biden, evidence of strong Trump support","null","","null","AMERIND Risk"
"1574572308-26890","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=3","2020 Democratic hopefuls will converge on the Las Vegas Strip Sunday to make their cases","https://www.usatoday.com/story/news/politics/elections/2019/11/15/2020-democratic-hopefuls-campaign-las-vegas-sunday/4211919002/","2020 Democratic hopefuls will converge on the Las Vegas Strip Sunday to make their cases","null","","null","LAS VEGAS ­– Top Democrats angling for the Oval Office in 2020 will be on the glittering Strip this weekend to campaign directly to the Nevada State Democratic Party."
"1574572315-26996","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=3","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-debate-westerville-ohio-event-test-biden-warren-sanders/3978928002/","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","null","","null","9:42 p.m. EDT"
"1574572341-27353","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=3","USA TODAY/Suffolk Poll: Biden's lead over Warren narrows in a turbulent Democratic field","https://www.usatoday.com/story/news/politics/elections/2019/10/30/poll-biden-slips-warren-rises-sanders-buttigieg-top-tier/4096461002/","USA TODAY/Suffolk Poll: Biden's lead over Warren narrows in a turbulent Democratic field","null","","null","Among Republicans, a similar number, 17%, said they wished someone else would enter the GOP contest. Asked who, 8% said former UN ambassador Nikki Haley and 6% said Utah Sen. Mitt Romney, the 2012 nominee."
"1574572315-26959","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=3","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-debate-westerville-ohio-event-test-biden-warren-sanders/3978928002/","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","null","","null","– David Jackson"
"1574572219-26157","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=5","With Trump's call for China to investigate Bidens, he's not even hiding: Today's talker","https://www.usatoday.com/story/opinion/2019/10/03/donald-trump-joe-biden-impeachment-china-talker/3853051002/","With Trump's call for China to investigate Bidens, he's not even hiding: Today's talker","null","","null","President Trump seems to think that if he keeps committing impeachable offenses, he can somehow normalize them and escape accountability. Yet in some ways, the barrage of news over the past week and a half has felt less shocking than it should have, because morally reprehensible, unethical and corrupt behavior is status quo for the Trump administration, and conflicts of interest, self-dealing and mobster tactics have become the new normal. When caught, Trump simply cranks up the spin machine, attacks his opponents and deflects attention by raising tariffs or rolling out another harsh immigration policy. And the country turns its attention to the next story."
"1574572305-26879","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=3","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","https://www.usatoday.com/story/news/politics/elections/2019/10/15/top-moments-tuesdays-democratic-debate/3991377002/","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","null","","null","Sanders, Biden and Warren were all asked whether their ages are in play in their ability to take office, but all said they consider it an advantage."
"1574572363-27492","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=2","'I want the Norman Rockwell America back': In Delaware, the land of Biden, evidence of strong Trump support","https://www.usatoday.com/story/news/politics/elections/2019/11/07/election-2020-donald-trump-supporters-land-joe-biden/2519935001/","'I want the Norman Rockwell America back': In Delaware, the land of Biden, evidence of strong Trump support","null","","null","Convincing Republicans to run for office was another story."
"1574572302-26833","https://www.usatoday.com/search/?q=joe%20biden","","https://www.usatoday.com/search/?q=joe%20biden&page=3","7 of our top opinion columns this week: ICYMI","https://www.usatoday.com/story/opinion/2019/11/08/elizabeth-warren-donald-trump-impeachment-joe-biden-top-columns/2522387001/","7 of our top opinion columns this week: ICYMI","null","","null","By Bonnie Watson Coleman"
