web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1574572632-30592","https://www.usatoday.com/search/?q=john%20mccain","","https://www.usatoday.com/search/?q=john%20mccain&page=3","Pete Buttigieg says he offers style and message parallels with Barack Obama's Iowa campaign","https://www.usatoday.com/story/news/politics/elections/2019/11/01/election-2020-pete-buttigieg-tries-to-draw-parallels-to-barack-obamas-first-iowa-campaign/4130193002/","Pete Buttigieg says he offers style and message parallels with Barack Obama's Iowa campaign","null","","null","Buttigieg himself has nodded to Obama's first Iowa campaign for months."
"1574572597-28754","https://www.usatoday.com/search/?q=john%20mccain","","https://www.usatoday.com/search/?q=john%20mccain&page=4","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","Sports: An item in Sept. 23 editions misidentified the home city of the WNBA’s Sky. They play in Chicago."
"1574572665-30893","https://www.usatoday.com/search/?q=john%20mccain","","https://www.usatoday.com/search/?q=john%20mccain&page=2","On the campaign bus, Pete Buttigieg talks stress dreams, misconceptions, ‘just in case’ letter to parents","https://www.usatoday.com/story/news/politics/elections/2019/11/12/pete-buttigiegs-2020-campaign-bus-tour-promises-radical-access/2569823001/","On the campaign bus, Pete Buttigieg talks stress dreams, misconceptions, ‘just in case’ letter to parents","null","","null","Buttigieg had been pressed the day before on why he doesn’t allow the media into his fundraisers, as former Vice President Joe Biden does."
"1574572490-27776","https://www.usatoday.com/search/?q=john%20mccain","","https://www.usatoday.com/search/?q=john%20mccain&page=5","#JohnMcCainDay: How people on Twitter are commemorating Trump's 73rd birthday","https://www.usatoday.com/story/tech/2019/06/14/john-mccain-day-goes-viral-on-president-trumps-birthday/1454827001/","#JohnMcCainDay: How people on Twitter are commemorating Trump's 73rd birthday","null","","null","Responses to Lassner's tweet varied."
"1574572650-30779","https://www.usatoday.com/search/?q=john%20mccain","","https://www.usatoday.com/search/?q=john%20mccain&page=3","Elijah Cummings to lie in state at the Capitol next week","https://www.usatoday.com/story/news/politics/2019/10/18/elijah-cummings-lie-state-capitol-next-week/4027629002/","Elijah Cummings to lie in state at the Capitol next week","null","","null","The Capitol Hill giant died at age 68 following ""complications concerning longstanding health challenges."""
"1574572536-28171","https://www.usatoday.com/search/?q=john%20mccain","","https://www.usatoday.com/search/?q=john%20mccain&page=5","Donald Trump on shielding USS McCain from view: 'Somebody did it,' but he denies involvement","https://www.usatoday.com/story/news/politics/2019/05/30/trump-said-he-not-behind-hiding-uss-mccain-during-japan-visit/1283852001/","Find out why People Are Switching to These New Savings Accounts","null","","null","Acting Defense Secretary Patrick Shanahan told reporters that he has asked his chief of staff to look into efforts to shield the ship from the president's view. Shanahan said he would not have supported such a request."
"1574572539-28227","https://www.usatoday.com/search/?q=john%20mccain","","https://www.usatoday.com/search/?q=john%20mccain&page=5","Donald Trump’s picks for administration jobs keep dropping out with John Ratcliffe latest to go","https://www.usatoday.com/story/news/politics/2019/06/17/from-heather-nauert-to-herman-cain-trumps-job-candidates-keep-quitting/3758484002/","Donald Trump’s picks for administration jobs keep dropping out with John Ratcliffe latest to go","null","","null","Withdrew: Sept. 6, 2018"
"1574572597-29574","https://www.usatoday.com/search/?q=john%20mccain","","https://www.usatoday.com/search/?q=john%20mccain&page=4","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","News: This post has been updated to correct John Kelly's first name. http://www.usatoday.com/story/news/politics/onpolitics/2017/01/20/trump-next-time-were-going-win-old-fashioned-way/96817236/​"
"1574572626-30551","https://www.usatoday.com/search/?q=john%20mccain","","https://www.usatoday.com/search/?q=john%20mccain&page=3","Vindman's Trump-Ukraine moment was dark, but also inspired gratitude and hope","https://www.usatoday.com/story/opinion/2019/10/30/trump-ukraine-impeachment-vindman-testimony-inspiration-column/2499091001/","Vindman's Trump-Ukraine moment was dark, but also inspired gratitude and hope","null","","null","Following a July 10 effort by Gordon Sondland, ambassador the European Union, to pressure the Ukrainians, “I stated to Amb. Sondland that his statements were inappropriate, that the request to investigate Biden and his son had nothing to do with national security, and that such investigations were not something the NSC was going to get involved in or push,"" Vindman said in his opening statement Tuesday behind closed doors. ""Dr. Hill then entered the room and asserted to Amb. Sondland that his statements were inappropriate.”"
"1574572597-30185","https://www.usatoday.com/search/?q=john%20mccain","","https://www.usatoday.com/search/?q=john%20mccain&page=4","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","News: Due to incorrect information provided by a company spokeswoman, a story about Charles Koch published in April 24 editions misstated the ownership stake Koch and his brother, David, have in Koch Industries. They each own 42%."
