web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575005442-32145","https://www.usatoday.com/search/?q=joe%20biden&page=3","Trump and Biden have called impeachment a 'lynching.' Here's why that's not OK","https://www.usatoday.com/story/news/nation/2019/10/23/donald-trump-joe-biden-lynching-impeachment-comments-why-wrong/4069280002/","Trump and Biden have called impeachment a 'lynching.' Here's why that's not OK","Trump and Biden have called impeachment a 'lynching.' Here's why that's not OK","Ryan W. Miller","","Biden's apology:After slamming Trump for 'lynching' tweet, Biden apologizes for using the term about Clinton impeachment"
"1575005415-31705","https://www.usatoday.com/search/?q=joe%20biden&page=4","China rejects Trump's request to investigate Joe Biden, hoping to steer clear of U.S. politics","https://www.usatoday.com/story/news/politics/2019/10/08/donald-trump-china-declines-presidents-request-probe-joe-biden/3908397002/","China rejects Trump's request to investigate Joe Biden, hoping to steer clear of U.S. politics","China rejects Trump's request to investigate Joe Biden, hoping to steer clear of U.S. politics","John Fritze","","WASHINGTON – China has reportedly rejected President Donald Trump's request to investigate Democratic presidential candidate Joe Biden, with officials saying the country doesn't want to get involved in U.S. domestic politics."
"1575005536-32790","https://www.usatoday.com/search/?q=joe%20biden&page=1","Biden, lone top 2020 Democrat to oppose federal marijuana legalization, cites 'gateway drug' concern","https://www.usatoday.com/story/news/politics/elections/2019/11/18/joe-biden-says-marijuana-may-gateway-drug-opposes-legalization/4226908002/","Biden, lone top 2020 Democrat to oppose federal marijuana legalization, cites 'gateway drug' concern","Biden, lone top 2020 Democrat to oppose federal marijuana legalization, cites 'gateway drug' concern","William Cummings","","Contributing: Trevor Hughes, USA TODAY; The Associated Press"
"1575005483-32450","https://www.usatoday.com/search/?q=joe%20biden&page=2","Trump trails Biden, Warren, Sanders, Harris, Buttigieg by double-digit margins in new poll","https://www.usatoday.com/story/news/politics/2019/11/05/trump-trails-leading-democrats-2020-poll/4163164002/","Trump trails Biden, Warren, Sanders, Harris, Buttigieg by double-digit margins in new poll","Trump trails Biden, Warren, Sanders, Harris, Buttigieg by double-digit margins in new poll","William Cummings","","Biden leads the Democratic field with 27%, followed by Warren at 21%, Sanders at 19% and Buttigieg at 7%. Harris is tied at 2% with Sen. Cory Booker of New Jersey, former Housing and Urban Development Secretary Julián Castro, Rep. Tulsi Gabbard of Hawaii and entrepreneur Andrew Yang."
"1575005407-31670","https://www.usatoday.com/search/?q=joe%20biden&page=4","Trust seeks seizure of Rudy Giuliani associate Lev Parnas's bail to repay $678K judgment","https://www.usatoday.com/story/news/2019/11/12/trust-seeks-seizure-giuliani-associate-parnas-bail-repay-judgment/2578804001/","Trust seeks seizure of Rudy Giuliani associate Lev Parnas's bail to repay $678K judgment","Trust seeks seizure of Rudy Giuliani associate Lev Parnas's bail to repay $678K judgment","Kevin McCoy","","In that case, federal prosecutors in New York allege that Parnas and Fruman conspired in a scheme to win influence by funneling hundreds of thousands of dollars in foreign funds to U.S. politicians and election committees. According to the indictment unsealed in October, the scheme involved an unnamed Ukrainian government official and an unidentified Russian businessman who bankrolled the effort."
"1575005364-31277","https://www.usatoday.com/search/?q=joe%20biden&page=5","Donald Trump impeachment inquiry: White House says 'no' to Nancy Pelosi. China says 'no' to Joe Biden probe","https://www.usatoday.com/story/news/politics/2019/10/08/donald-trump-impeachment-inquiry-rudy-giuliani-gordon-sondland-testify/3914217002/","Donald Trump impeachment inquiry: White House says 'no' to Nancy Pelosi. China says 'no' to Joe Biden probe","Donald Trump impeachment inquiry: White House says 'no' to Nancy Pelosi. China says 'no' to Joe Biden probe","Savannah Behrmann","","Trump and the State Department blocked European Union Ambassador Gordon Sondland from appearing before a trio of congressional committees to answer questions about his role in pushing Ukraine's president to investigate Biden."
"1575005531-32751","https://www.usatoday.com/search/?q=joe%20biden&page=1","Explainer: Biden, allies pushed out Ukrainian prosecutor because he didn't pursue corruption cases","https://www.usatoday.com/story/news/politics/2019/10/03/what-really-happened-when-biden-forced-out-ukraines-top-prosecutor/3785620002/","Explainer: Biden, allies pushed out Ukrainian prosecutor because he didn't pursue corruption cases","Explainer: Biden, allies pushed out Ukrainian prosecutor because he didn't pursue corruption cases","Courtney Subramanian","","It became known as the ""diamond prosecutors"" case. Deputy General Prosecutor Vitaliy Kasko, who said he tried to investigate it, resigned months later, calling the prosecutor's office a ""hotbed of corruption"" and an ""instrument of political pressure."""
"1575005390-31435","https://www.usatoday.com/search/?q=joe%20biden&page=4","Biden campaign to media: Focus on 'dishonest' Trump, not Hunter Biden","https://www.usatoday.com/story/news/politics/elections/2019/09/23/biden-campaign-media-should-focus-trump-ukraine-call-not-hunter-biden/2423606001/","Biden campaign to media: Focus on 'dishonest' Trump, not Hunter Biden","Biden campaign to media: Focus on 'dishonest' Trump, not Hunter Biden","Aamer Madhani","","The push by the former vice president, however, came alongside calls for Ukraine to get rid of Shokin from both European diplomats and the U.S State Department, because international leaders felt Shokin was doing too little to fight corruption in the Eastern European country."
"1575005437-32079","https://www.usatoday.com/search/?q=joe%20biden&page=3","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","https://www.usatoday.com/story/news/politics/elections/2019/10/15/democratic-debate-westerville-ohio-event-test-biden-warren-sanders/3978928002/","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","Tensions flare between Joe Biden and Elizabeth Warren at Democratic debate over big ideas vs. pragmatism","Maureen Groppe","","The polling numbers and fundraising support required to participate will ratchet up further for the November debate."
"1575005526-32697","https://www.usatoday.com/search/?q=joe%20biden&page=1","Priests, prudence, politics: Why Joe Biden was refused Holy Communion at a Catholic Mass","https://www.usatoday.com/story/opinion/2019/11/03/joe-biden-catholic-mass-holy-communion-refused-column/4123123002/","Priests, prudence, politics: Why Joe Biden was refused Holy Communion at a Catholic Mass","Priests, prudence, politics: Why Joe Biden was refused Holy Communion at a Catholic Mass","null","","The reason the Church might bar such persons from Holy Communion is precisely because their sin is not only grave but it’s also public (i.e., “manifest”) and they’re obstinate in holding it. Such a person is no longer living in communion with the Church, so allowing this person to receive Holy Communion would also be a lie."
