web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575006517-38944","https://www.usatoday.com/search/?q=hillary%20clinton&page=2","'Found my emails': Hillary Clinton flips through her emails at an Italian art exhibit","https://www.usatoday.com/story/news/politics/2019/09/11/hillary-clinton-leafs-through-her-emails-italian-art-exhibit/2295637001/","'Found my emails': Hillary Clinton flips through her emails at an Italian art exhibit","'Found my emails': Hillary Clinton flips through her emails at an Italian art exhibit","Savannah Behrmann","","Then-FBI Director James Comey penned a letter to lawmakers after the investigation that stated the FBI stood by its original findings, made in July of 2016, that Clinton should not be prosecuted for her handling of classified information over email while secretary of State."
"1575006491-38580","https://www.usatoday.com/search/?q=hillary%20clinton&page=2","'I thought you might have been high': Quips from candidates and other top moments from the November Democratic debate","https://www.usatoday.com/story/news/politics/elections/2019/11/20/2020-democrats-top-moments-november-debate-atlanta/4243267002/","'I thought you might have been high': Quips from candidates and other top moments from the November Democratic debate","'I thought you might have been high': Quips from candidates and other top moments from the November Democratic debate","Jeanine Santucci","","But Clinton also said in the podcast that ""She's a favorite of the Russians"" and continued to also talk about former Green Party candidate Jill Stein."
"1575006495-38647","https://www.usatoday.com/search/?q=hillary%20clinton&page=2","'Debunked': Hillary Clinton slams Trump's claim of voter manipulation","https://www.usatoday.com/story/news/politics/2019/08/20/hillary-clinton-responds-trump-tweet-google-vote-manipulation/2059138001/","'Debunked': Hillary Clinton slams Trump's claim of voter manipulation","'Debunked': Hillary Clinton slams Trump's claim of voter manipulation","Nicholas Wu","","""I have never said that Google deliberately manipulated the 2016 election,"" he told PolitiFact."
"1575006335-37079","https://www.usatoday.com/search/?q=hillary%20clinton&page=5","'I have the real polls': Trump calls Fox News polls 'lousy' after survey finds 49% support impeachment","https://www.usatoday.com/story/news/politics/elections/2019/11/03/trump-trails-biden-fox-news-poll/4149249002/","'I have the real polls': Trump calls Fox News polls 'lousy' after survey finds 49% support impeachment","'I have the real polls': Trump calls Fox News polls 'lousy' after survey finds 49% support impeachment","William Cummings","","Biden was the strong favorite in the primary field among likely Democratic voters at 31%. Next was Warren at 21%, followed by Sanders at 19% and Buttigieg at 7%."
"1575006335-37069","https://www.usatoday.com/search/?q=hillary%20clinton&page=5","'I have the real polls': Trump calls Fox News polls 'lousy' after survey finds 49% support impeachment","https://www.usatoday.com/story/news/politics/elections/2019/11/03/trump-trails-biden-fox-news-poll/4149249002/","'I have the real polls': Trump calls Fox News polls 'lousy' after survey finds 49% support impeachment","'I have the real polls': Trump calls Fox News polls 'lousy' after survey finds 49% support impeachment","William Cummings","","When asked if there was a chance that new evidence could sway their opinion on impeachment, 57% of those who opposed it said there was nothing that could get them to change their minds. Thirty-four percent said new evidence could make them support impeachment."
"1575006560-39128","https://www.usatoday.com/search/?q=hillary%20clinton&page=1","U.S. Rep. Tulsi Gabbard says Hillary Clinton 'knows she can't control me'","https://www.usatoday.com/story/news/politics/elections/2019/10/19/tulsi-gabbard-hillary-clinton-russia-claims-iowa-city-tailgate-election-2020/4037543002/","U.S. Rep. Tulsi Gabbard says Hillary Clinton 'knows she can't control me'","U.S. Rep. Tulsi Gabbard says Hillary Clinton 'knows she can't control me'","Robin Opsahl","","Maria Frazer, a 21-year-old University of Iowa student, is still deciding who she wants to support in the Iowa caucus. She's heard allegations about Gabbard's ties with Russia, but while she doesn't ""necessarily buy into it,"" Frazer said Americans should be wary of foreign governments' influence in the presidential election."
"1575006502-38711","https://www.usatoday.com/search/?q=hillary%20clinton&page=2","Are most women who run for president unlikable? Asking is sexist, yet many voters agree.","https://www.usatoday.com/story/opinion/2019/11/12/most-women-2020-race-unlikable-sexist-question-ask-about-men-column/2558691001/","Which Travel Card Has The Most Valuable Miles?","Which Travel Card Has The Most Valuable Miles?","null","","Let’s be clear: When we compare Warren to Clinton, we’re not comparing their policies, which are relatively dissimilar. We’re comparing their personas. Or, rather, stereotypes of women’s personas. Are they shrill? Are they nasty? Do they grate on you? Do they remind you of your first wife or your mother-in-law (to mention other stereotypically unlikable women)?"
"1575006482-38507","https://www.usatoday.com/search/?q=hillary%20clinton&page=3","Forget Donald Trump, Republicans. Save the GOP for the sake of your party's future.","https://www.usatoday.com/story/opinion/2019/10/17/forget-donald-trump-republicans-save-gop-future-editorials-debates/3979356002/","Forget Donald Trump, Republicans. Save the GOP for the sake of your party's future.","Forget Donald Trump, Republicans. Save the GOP for the sake of your party's future.","null","","Rep. John Shimkus, Ill."
"1575006461-38235","https://www.usatoday.com/search/?q=hillary%20clinton&page=3","Democratic candidates traded barbs and attacks but agreed Trump should be impeached","https://www.usatoday.com/story/news/politics/elections/2019/11/20/democratic-debate-updates-joe-biden-elizabeth-warren-pete-buttigieg-sanders/4243241002/","Democratic candidates traded barbs and attacks but agreed Trump should be impeached","Democratic candidates traded barbs and attacks but agreed Trump should be impeached","Maureen Groppe","","After Elizabeth Warren talked about the need to reform the nation’s health care system and touted the benefits of Medicare for All, the debate moderators gave Sanders a chance to respond."
"1575006368-37359","https://www.usatoday.com/search/?q=hillary%20clinton&page=5","Joe Walsh: In 2016, I was a proud 'deplorable.' In 2019, I'll gladly be 'human scum.'","https://www.usatoday.com/story/opinion/voices/2019/11/01/joe-walsh-donald-trump-human-scum-deplorable-2020-column/4101336002/","Joe Walsh: In 2016, I was a proud 'deplorable.' In 2019, I'll gladly be 'human scum.'","Joe Walsh: In 2016, I was a proud 'deplorable.' In 2019, I'll gladly be 'human scum.'","null","","I know my message to “Be Brave” is resonating because I’m asking all Americans, especially Republican primary voters, to say publicly what we all know privately: Trump has shown himself to be a thin-skinned megalomaniac, he is threatening the very fabric of our democracy, and we cannot afford four more years of him."
