web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575005929-34539","https://www.usatoday.com/search/?q=barack%20obama&page=2","'Time to stand up:' Undocumented immigrants who chose careers in the law await Supreme Court's ruling","https://www.usatoday.com/story/news/politics/2019/11/12/daca-recipients-careers-law-depend-supreme-court-ruling/2501676001/","'Time to stand up:' Undocumented immigrants who chose careers in the law await Supreme Court's ruling","'Time to stand up:' Undocumented immigrants who chose careers in the law await Supreme Court's ruling","Richard Wolf","","“This is why I practice immigration law,"" says Garcia, 36, who will travel to the nation's capital for Tuesday's oral argument. ""There’s still a date when I become deportable, and no one knows what’s going to happen at the Supreme Court."""
"1575005955-34831","https://www.usatoday.com/search/?q=barack%20obama&page=1","Airbnb to begin sweeping verification process of all 7 million listings after Orinda shooting","https://www.usatoday.com/story/travel/news/2019/11/06/orinda-shooting-airbnb-begin-verification-7-million-listings/2508780001/","Airbnb to begin sweeping verification process of all 7 million listings after Orinda shooting","Airbnb to begin sweeping verification process of all 7 million listings after Orinda shooting","David Oliver","","This program will begin in the U.S. on Dec. 31 and appear across the globe next year."
"1575005830-33830","https://www.usatoday.com/search/?q=barack%20obama&page=4","How well does Trump know $1 million donors like Gordon Sondland? Some now work for him","https://www.usatoday.com/story/news/politics/2019/11/20/donald-trump-dismisses-relationship-1-million-donor-gordon-sondland/4252260002/","How well does Trump know $1 million donors like Gordon Sondland? Some now work for him","How well does Trump know $1 million donors like Gordon Sondland? Some now work for him","John Fritze","","Appointing donors as ambassadors is not new, but Trump has expanded the practice."
"1575005778-33304","https://www.usatoday.com/search/?q=barack%20obama&page=5","Mitch McConnell snubbed by Elijah Cummings' pallbearer in handshake line at US Capitol ceremony","https://www.usatoday.com/story/news/politics/2019/10/25/mitch-mcconnells-handshake-snubbed-elijah-cummings-pallbearer/2453194001/","Mitch McConnell snubbed by Elijah Cummings' pallbearer in handshake line at US Capitol ceremony","Mitch McConnell snubbed by Elijah Cummings' pallbearer in handshake line at US Capitol ceremony","Billy Kobin","","Elijah Cummings funeral live updates:Barack Obama, Clintons to honor Maryland congressman"
"1575005941-34728","https://www.usatoday.com/search/?q=barack%20obama&page=2","As Supreme Court takes up Trump plan to end DACA, American dreams at stake for nearly 700,000 immigrants","https://www.usatoday.com/story/news/politics/2019/11/11/supreme-court-hears-daca-challenge-700000-dreamers/2533001001/","As Supreme Court takes up Trump plan to end DACA, American dreams at stake for nearly 700,000 immigrants","As Supreme Court takes up Trump plan to end DACA, American dreams at stake for nearly 700,000 immigrants","Richard Wolf","","Few cases come to the Supreme Court in which one side enjoys such lopsided support."
"1575005849-33933","https://www.usatoday.com/search/?q=barack%20obama&page=3","'You don't want to be hot in November': When have recent caucus winners surged in Iowa?","https://www.usatoday.com/story/news/politics/elections/2019/11/22/iowa-caucuses-when-have-recent-caucus-winners-surged-polls/4270487002/","'You don't want to be hot in November': When have recent caucus winners surged in Iowa?","'You don't want to be hot in November': When have recent caucus winners surged in Iowa?","Katie Akin","","Cruz was polling comfortably near the rest of the pack in the summer of 2015, though he lagged significantly behind early favorites Ben Carson, a neurosurgeon, and businessman Donald Trump. In the October 2015 Iowa Poll, 10% of likely Republican caucusgoers chose Cruz as their first choice, ranking him third."
"1575005874-34090","https://www.usatoday.com/search/?q=barack%20obama&page=3","'Fair maps': Barack Obama launches new initiative to help take on partisan gerrymandering","https://www.usatoday.com/story/news/politics/2019/08/26/barack-obama-launches-initiative-take-partisan-gerrymandering/2127235001/","'Fair maps': Barack Obama launches new initiative to help take on partisan gerrymandering","'Fair maps': Barack Obama launches new initiative to help take on partisan gerrymandering","Savannah Behrmann","","The chief justice said the challengers from North Carolina, seeking to overturn a map drawn by the state's Republicans, and Maryland, seeking to overturn a map drawn by the state's Democrats, asked for “an unprecedented expansion of judicial power” that would have broad consequences. “There will be no end to the litigation,” he said."
"1575005976-34956","https://www.usatoday.com/search/?q=barack%20obama&page=1","Pete Buttigieg says he offers style and message parallels with Barack Obama's Iowa campaign","https://www.usatoday.com/story/news/politics/elections/2019/11/01/election-2020-pete-buttigieg-tries-to-draw-parallels-to-barack-obamas-first-iowa-campaign/4130193002/","Pete Buttigieg says he offers style and message parallels with Barack Obama's Iowa campaign","Pete Buttigieg says he offers style and message parallels with Barack Obama's Iowa campaign","Barbara Rodriguez","","""Because running for office is an act of hope. Organizing for somebody running for office is an act of hope. Voting is an act of hope,"" Buttigieg said in October."
"1575005939-34657","https://www.usatoday.com/search/?q=barack%20obama&page=2","Obama at Elijah Cummings funeral: 'It falls on us to continue his work'","https://www.usatoday.com/story/news/politics/2019/10/25/live-elijah-cummings-funeral-coverage-barack-obama-bill-clinton-speak/4088642002/","Obama at Elijah Cummings funeral: 'It falls on us to continue his work'","Obama at Elijah Cummings funeral: 'It falls on us to continue his work'","Rebecca Morin","","Former Secretary of State Hillary Clinton said it’s no coincidence that the late Rep. Elijah Cummings shared a name with the Old Testament prophet Elijah, who used the power and wisdom God gave him “to uphold the moral law that all people are subject to.”"
"1575005860-34014","https://www.usatoday.com/search/?q=barack%20obama&page=3","Joe Biden: Stacey Abrams, Sally Yates could be potential vice president picks","https://www.usatoday.com/story/news/politics/elections/2019/11/23/joe-biden-possible-vice-president-stacey-abrams-sally-yates/4284126002/","Joe Biden: Stacey Abrams, Sally Yates could be potential vice president picks","Joe Biden: Stacey Abrams, Sally Yates could be potential vice president picks","Stephen Gruber-Miller","","""I could start naming people but the press will think that’s who I picked,"" he said, before obliquely referring to several potential candidates."
