web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575006705-39683","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=4","'Wrongfully detained' Texas teen who is a US citizen released after nearly a month","https://www.usatoday.com/story/news/nation/2019/07/23/immigration-texas-teen-detained-month-despite-u-s-citizenship/1810057001/","'Wrongfully detained' Texas teen who is a US citizen released after nearly a month","'Wrongfully detained' Texas teen who is a US citizen released after nearly a month","John C Moritz Austin Bureau USA TODAY NETWORK","","""How would you feel trapped in a border camp, where guards wear face masks because the human odor is so strong?"" Ocasio-Cortez said in her tweet. ""When we allow the rights of some to be violated, the rights of all are not far behind."""
"1575006687-39594","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=5","'The Squad': These are the four congresswomen Trump told to 'go back' to other countries","https://www.usatoday.com/story/news/politics/2019/07/15/who-is-the-squad-ocasio-cortez-omar-pressley-and-tlaib-make-mark/1732238001/","'The Squad': These are the four congresswomen Trump told to 'go back' to other countries","'The Squad': These are the four congresswomen Trump told to 'go back' to other countries","William Cummings","","She stirred up controversy quickly after her arrival in Washington, using an expletive and vowing ""we're gonna impeach"" Trump on the night she was sworn in. And since taking office, she has been a leading advocate for the president's impeachment."
"1575006742-39978","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=4","GOP embraces impeachment fight in 2020 ads, betting Trump inquiry will backfire on Democrats","https://www.usatoday.com/story/news/politics/2019/11/02/donald-trump-impeachment-republicans-embrace-fight-2020-ads/4114206002/","GOP embraces impeachment fight in 2020 ads, betting Trump inquiry will backfire on Democrats","GOP embraces impeachment fight in 2020 ads, betting Trump inquiry will backfire on Democrats","John Fritze","","“There are a lot of people out there who voted for Donald Trump to be president of the United States who feel that they’re basically taking the vote away,” said Mike Thompson, a 44-year-old Florida man whose East Lee County Republican Club recently took out a small ad on Facebook calling the House vote a “motivating” event for the GOP."
"1575006683-39556","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=5","NBA postpones media sessions in Shanghai amid China rift","https://www.usatoday.com/story/sports/nba/2019/10/09/nba-postpones-nets-lakers-media-sessions-in-shanghai/40286869/","NBA postpones media sessions in Shanghai amid China rift","NBA postpones media sessions in Shanghai amid China rift","null","","Minutes later, security approached one fan holding up a ""Free Tibet"" sign and another holding the Tibet flag. Security tried to take the sign, and the fan refused to give it up. Security then escorted them out of the seats."
"1575006703-39673","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=4","Climate activists glue themselves to Capitol entrances to pressure lawmakers","https://www.usatoday.com/story/news/politics/2019/07/23/climate-activists-glue-themselves-u-s-capitol/1811221001/","Climate activists glue themselves to Capitol entrances to pressure lawmakers","Climate activists glue themselves to Capitol entrances to pressure lawmakers","Jason Lalljee","","Like what you’re reading?:Download the USA TODAY app for more"
"1575006897-40745","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=1","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","https://www.usatoday.com/story/news/politics/2019/10/19/aoc-bernie-sanders-endorsement/4038312002/","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","Nicholas Wu","","More:AOC to endorse Bernie Sanders in 2020 Democratic presidential primary"
"1575006708-39697","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=4","Dems debate, Trump's acts on Turkey and impeachment heats up: The week in politics news","https://www.usatoday.com/story/news/politics/2019/10/19/impeachment-trump-ukraine-scandal-democratic-debate-and-turkey/4023320002/","Dems debate, Trump's acts on Turkey and impeachment heats up: The week in politics news","Dems debate, Trump's acts on Turkey and impeachment heats up: The week in politics news","Jeanine Santucci","","Vice President Mike Pence announced on Thursday that the U.S. and Turkey had come to an agreement for a five-day pause in Turkey's attack in Syria, allowing longtime U.S. allies the Kurds to withdraw from the region."
"1575006671-39489","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=5","Amazon fires back at Ocasio-Cortez’s claim that it pays workers ‘starvation wages’","https://www.usatoday.com/story/money/2019/06/17/amazon-responds-alexandria-ocasio-cortez-wages-claim/1481725001/","Amazon fires back at Ocasio-Cortez’s claim that it pays workers ‘starvation wages’","Amazon fires back at Ocasio-Cortez’s claim that it pays workers ‘starvation wages’","null","","Ocasio-Cortez was one of the most outspoken public critics of Amazon’s plan to move its second headquarters to Long Island City, in the borough of Queens, before Amazon pulled out."
"1575006733-39867","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=4","Biden urges caution about policies of 'way left' Democrats, Ocasio-Cortez","https://www.usatoday.com/story/news/politics/elections/2019/07/05/joe-biden-urges-caution-policies-way-left-democrats-aoc/1660272001/","Biden urges caution about policies of 'way left' Democrats, Ocasio-Cortez","Biden urges caution about policies of 'way left' Democrats, Ocasio-Cortez","Rebecca Morin","","More:Joe Biden says that he wasn't prepared for Kamala Harris' criticism on segregation and busing"
"1575006837-40474","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=2","'She should be shot': Ohio man charged after Facebook threat against Ocasio-Cortez","https://www.usatoday.com/story/news/politics/2019/08/10/toledo-ohio-man-charged-after-post-facebook-ocasio-cortez/1975362001/","'She should be shot': Ohio man charged after Facebook threat against Ocasio-Cortez","'She should be shot': Ohio man charged after Facebook threat against Ocasio-Cortez","Nicholas Wu","","The criminal complaint noted Ireland had also been convicted in 1996 of four felony counts of dealing in stolen property in Sarasota County, Fla."
