web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575005022-28731","https://www.usatoday.com/search/?q=sarah%20palin&page=5","In new book, John McCain says 'anyone can become an American if they embrace our values'","https://www.usatoday.com/story/news/politics/2018/05/12/john-mccains-memoir-makes-final-plea-immigration-reform/604686002/","In new book, John McCain says 'anyone can become an American if they embrace our values'","In new book, John McCain says 'anyone can become an American if they embrace our values'","null","","""We failed twice, and then once more after Ted had passed away, despite big majorities in both houses of Congress in favor of it,"" McCain and co-author Mark Salter write. ""I'd like to say I'll try again. But that is not up to me anymore. That's a harder disappointment than other defeats have been because first, it's something that most Americans want, and most members of Congress know is the right thing to do."
"1575005054-29199","https://www.usatoday.com/search/?q=sarah%20palin&page=4","What I learned about John McCain during 20 years covering him","https://www.usatoday.com/story/opinion/nation-now/2018/08/26/covering-sen-john-mccain-over-years-column/1102895002/","What I learned about John McCain during 20 years covering him","What I learned about John McCain during 20 years covering him","null","","There still was usually an Associated Press reporter on board with the McCain campaign. Typically, a reporter from the Concord Monitor or some other New Hampshire media organization was there too. And there was me."
"1575005022-28758","https://www.usatoday.com/search/?q=sarah%20palin&page=5","In new book, John McCain says 'anyone can become an American if they embrace our values'","https://www.usatoday.com/story/news/politics/2018/05/12/john-mccains-memoir-makes-final-plea-immigration-reform/604686002/","In new book, John McCain says 'anyone can become an American if they embrace our values'","In new book, John McCain says 'anyone can become an American if they embrace our values'","null","","It passed the Senate by a big margin but stalled in the House, an outcome that McCain blames on the House's conservative Freedom Caucus."
"1575005179-30400","https://www.usatoday.com/search/?q=sarah%20palin&page=2","Pregnant celebrities 2019: Who's due, baby bump pics and gender reveals","https://www.usatoday.com/story/life/allthemoms/2019/01/14/celebrity-pregnancies-2019-whos-due-next-baby-bump-photos-and-gender-reveals/2538071002/","Pregnant celebrities 2019: Who's due, baby bump pics and gender reveals","Pregnant celebrities 2019: Who's due, baby bump pics and gender reveals","Sonja Haller","","Willow and Bailey married in September 2018."
"1575005179-30488","https://www.usatoday.com/search/?q=sarah%20palin&page=2","Pregnant celebrities 2019: Who's due, baby bump pics and gender reveals","https://www.usatoday.com/story/life/allthemoms/2019/01/14/celebrity-pregnancies-2019-whos-due-next-baby-bump-photos-and-gender-reveals/2538071002/","Pregnant celebrities 2019: Who's due, baby bump pics and gender reveals","Pregnant celebrities 2019: Who's due, baby bump pics and gender reveals","Sonja Haller","","Gender: Unknown. This will be their first child."
"1575005193-30577","https://www.usatoday.com/search/?q=sarah%20palin&page=1","Stephanie Grisham's unlikely path from Arizona politics to Trump's White House","https://www.usatoday.com/story/news/politics/2019/06/29/stephanie-grisham-path-new-white-house-press-secretary/1604930001/","Which Travel Card Has The Most Valuable Miles?","Which Travel Card Has The Most Valuable Miles?","Yvonne Wingett Sanchez","","During Grisham's tenure at the state House, Gowan issued a new rule in 2016 that required reporters to undergo extensive background checks in order to access the floor of the chamber."
"1575005188-30524","https://www.usatoday.com/search/?q=sarah%20palin&page=1","Jessa (Duggar) Seewald welcomes a baby girl! See baby's adorable photo","https://www.usatoday.com/story/life/allthemoms/2019/05/28/jessa-duggar-seewald-and-ben-seewald-welcome-baby-girl/1262199001/","Jessa (Duggar) Seewald welcomes a baby girl! See baby's adorable photo","Jessa (Duggar) Seewald welcomes a baby girl! See baby's adorable photo","Sonja Haller","","""She feels so tiny compared to her siblings!"" they wrote in a statement. Her big brother Spurgeon, 3, weighed almost 10 pounds and Henry, 2, weighed almost 9 pounds, the family wrote. ""We’re so grateful to God for this precious gift. She is already so loved. Her big brothers adore her!"""
"1575005042-28998","https://www.usatoday.com/search/?q=sarah%20palin&page=4","Memorable Sacha Baron Cohen moments, from Borat's mankini to the Ryan Seacrest ash-dumping","https://www.usatoday.com/story/life/entertainthis/2018/07/14/sacha-baron-cohens-most-memorable-moments/782219002/","Memorable Sacha Baron Cohen moments, from Borat's mankini to the Ryan Seacrest ash-dumping","Memorable Sacha Baron Cohen moments, from Borat's mankini to the Ryan Seacrest ash-dumping","null","","2006: Borat scars our retinas with his neon-green mankini"
"1575005015-28683","https://www.usatoday.com/search/?q=sarah%20palin&page=5","Student who hacked Sarah Palin's emails during 2008 campaign dies","https://www.usatoday.com/story/news/politics/2018/02/08/student-who-hacked-sarah-palins-emails-during-2008-campaign-dies/322013002/","Student who hacked Sarah Palin's emails during 2008 campaign dies","Student who hacked Sarah Palin's emails during 2008 campaign dies","null","","""David did not let (the Palin) incident define him,"" the family said. ""He returned to UT Knoxville to complete his economics degree and further refined his programming skills by helping his local community. He first volunteered his expertise to Tennessee Voices for Children, a child advocacy non-profit group. Later, he moved to California and worked to develop facial recognition software that could identify children at risk of abuse."""
"1575005184-30516","https://www.usatoday.com/search/?q=sarah%20palin&page=2","'Teach your sons:' Kourtney Kardashian talks Menstrual Hygiene Day in bikini pic","https://www.usatoday.com/story/life/allthemoms/2019/05/28/kourtney-kardashian-menstrual-hygiene-day-not-embarrassing-teach-sons-instagram-bikini-pic/1259997001/","'Teach your sons:' Kourtney Kardashian talks Menstrual Hygiene Day in bikini pic","'Teach your sons:' Kourtney Kardashian talks Menstrual Hygiene Day in bikini pic","Sonja Haller","","Kardashian, 40, added that period knowledge isn't something that mothers and daughters should keep to themselves."
"1575005170-30316","https://www.usatoday.com/search/?q=sarah%20palin&page=2","How Joe Biden's life, full of tragedy and triumph, led to one more run at the presidency","https://www.usatoday.com/story/news/politics/elections/2019/04/22/joe-biden-president-2020-trump-election/3538191002/","How Joe Biden's life, full of tragedy and triumph, led to one more run at the presidency","How Joe Biden's life, full of tragedy and triumph, led to one more run at the presidency","null","","In the end, he pushed on, using the advice his father regularly gave him as a child: “Champ, when you get knocked down, get up.”"
"1575005079-29459","https://www.usatoday.com/search/?q=sarah%20palin&page=4","Sarah Palin: McCain admitting he'd rather have had Lieberman as running mate was 'gut punch'","https://www.usatoday.com/story/news/politics/onpolitics/2018/05/11/sarah-palin-mccain-regret-running-mate-gut-punch/602569002/","Sarah Palin: McCain admitting he'd rather have had Lieberman as running mate was 'gut punch'","Sarah Palin: McCain admitting he'd rather have had Lieberman as running mate was 'gut punch'","null","","More:John McCain won't be buried with his father, grandfather at Arlington National Cemetery"
"1575005040-28944","https://www.usatoday.com/search/?q=sarah%20palin&page=4","Sen. John McCain, American 'maverick' and political giant, dies at 81","https://www.usatoday.com/story/news/politics/2018/08/25/john-mccain-arizona-senator-died-brain-cancer/955220001/","Hilarious Over-the-Top Disney World Tantrums","Hilarious Over-the-Top Disney World Tantrums","null","","McCain pushed back on the charge that he was a political opportunist with no roots in Arizona. He said his Navy family was forced to move often."
"1575005167-30207","https://www.usatoday.com/search/?q=sarah%20palin&page=2","Sarah Palin mocks Ocasio-Cortez gaffe. Critics point to Palin's own history of errors","https://www.usatoday.com/story/news/politics/onpolitics/2018/11/20/sarah-palin-mocks-alexandria-ocasio-cortez/2068506002/","Sarah Palin mocks Ocasio-Cortez gaffe. Critics point to Palin's own history of errors","Sarah Palin mocks Ocasio-Cortez gaffe. Critics point to Palin's own history of errors","null","","On Saturday, the woman is about to become the youngest person serving in Congress at 29 wondered, ""How is Columbus Day a holiday but Election Day not?"""
"1575004993-28574","https://www.usatoday.com/search/?q=sarah%20palin&page=5","From jokester to 'maverick,' John McCain is a study in contradictions","https://www.usatoday.com/story/news/politics/2018/04/03/jokester-maverick-john-mccain-study-contradictions/483145002/","From jokester to 'maverick,' John McCain is a study in contradictions","From jokester to 'maverick,' John McCain is a study in contradictions","null","","McCain's and Bush's Iraq policy were closely linked, and opponents saddled McCain with the war and other assorted liabilities associated with Bush's presidency. Bush took McCain's suggestion to up the ante in Baghdad by announcing he would deploy another 21,500 troops."
"1575005087-29522","https://www.usatoday.com/search/?q=sarah%20palin&page=3","HBO's 'John McCain: For Whom the Bell Tolls' isn't a eulogy","https://www.usatoday.com/story/life/nation-now/2018/05/28/review-hbo-documentary-john-mccain-whom-bell-tolls-isnt-eulogy/649132002/","HBO's 'John McCain: For Whom the Bell Tolls' isn't a eulogy","HBO's 'John McCain: For Whom the Bell Tolls' isn't a eulogy","null","","New York Times columnist David Brooks says McCain “took a disease that was running through the Republican party — anti-intellectualism, disrespect for facts — and he put it right at the center of the party.”"
"1575005128-29911","https://www.usatoday.com/search/?q=sarah%20palin&page=3","Mysterious tale of Paul Whelan, American man accused of spying in Russia, steeped in contradictions","https://www.usatoday.com/story/news/world/2019/01/03/paul-whelan-russian-spy-novi-michigan-marines/2470833002/","Mysterious tale of Paul Whelan, American man accused of spying in Russia, steeped in contradictions","Mysterious tale of Paul Whelan, American man accused of spying in Russia, steeped in contradictions","null","","The offices of U.S. Sen. Debbie Stabenow, D-Mich., and U.S. Sen. Gary Peters, D-Mich., had no comment on Whelan's arrest or his possible release."
"1575005015-28673","https://www.usatoday.com/search/?q=sarah%20palin&page=5","Student who hacked Sarah Palin's emails during 2008 campaign dies","https://www.usatoday.com/story/news/politics/2018/02/08/student-who-hacked-sarah-palins-emails-during-2008-campaign-dies/322013002/","Student who hacked Sarah Palin's emails during 2008 campaign dies","Student who hacked Sarah Palin's emails during 2008 campaign dies","null","","MEMPHIS — David Kernell, the University of Tennessee-Knoxville student who guessed his way into Republican vice presidential nominee Sarah Palin’s personal email account in 2008, died last week in California. He was 30."
"1575005125-29845","https://www.usatoday.com/search/?q=sarah%20palin&page=3","'A big one': 7.0 earthquake rocks Anchorage, Alaska; pipeline, flights, roads shut down","https://www.usatoday.com/story/news/2018/11/30/earthquake-strikes-near-anchorage-tsunami-warning-issued/2163178002/","'A big one': 7.0 earthquake rocks Anchorage, Alaska; pipeline, flights, roads shut down","'A big one': 7.0 earthquake rocks Anchorage, Alaska; pipeline, flights, roads shut down","null","","“There was minor structural damage to the sheetrock in the living room. Right up the road there’s a street with a pretty decent split it. Now, it serves as the resident speed bump, I suppose,” Hester said."
"1575005037-28871","https://www.usatoday.com/search/?q=sarah%20palin&page=4","35 musicians who famously told politicians: Don't use my song","https://www.usatoday.com/story/life/music/2018/07/16/35-musicians-who-famously-told-politicians-dont-use-my-song/784121002/","35 musicians who famously told politicians: Don't use my song","Which Travel Card Has The Most Valuable Miles?","null","","Song: ""Rockin' in the Free World""
Politician: Donald Trump
Outcome: Trump used ""Rockin' in the Free World"" when he announced he was running for president in 2015. Young, a Canadian-born musician who backed Bernie Sanders, objected. Trump reps said they had permission to use the song, and Young eventually relented, saying, ""Once the music goes out, everybody can use it."""
"1575005099-29640","https://www.usatoday.com/search/?q=sarah%20palin&page=3","Roy Moore sues Sacha Baron Cohen for $95 million over 'defamatory' TV prank","https://www.usatoday.com/story/life/people/2018/09/05/roy-moore-sues-sacha-baron-cohen-over-defamatory-tv-prank/1206364002/","Roy Moore sues Sacha Baron Cohen for $95 million over 'defamatory' TV prank","Roy Moore sues Sacha Baron Cohen for $95 million over 'defamatory' TV prank","null","","Moore thought he was receiving an award for supporting Israel when he appeared on the show."
"1575005007-28637","https://www.usatoday.com/search/?q=sarah%20palin&page=5","What's in the whopping budget deal Congress just passed? A basket of goodies","https://www.usatoday.com/story/news/politics/onpolitics/2018/02/09/whats-whopping-budget-deal-congress-passed/322640002/","What's in the whopping budget deal Congress just passed? A basket of goodies","What's in the whopping budget deal Congress just passed? A basket of goodies","null","","Many health initiatives will get a boost, including $6 billion targeted to fight the opioid epidemic and fund mental health initiatives. The legislation extends the government's major health insurance program for lower-income children an additional four years beyond a six-year renewal Congress recently approved. The bill increases funding for community health centers, which serve lower-income patients. It delays Medicaid cuts to hospitals that serve large shares of poor people, adds funds to repair and rebuild veterans’ health clinics and boosts funding for medical research."
"1575005079-29453","https://www.usatoday.com/search/?q=sarah%20palin&page=4","Sarah Palin: McCain admitting he'd rather have had Lieberman as running mate was 'gut punch'","https://www.usatoday.com/story/news/politics/onpolitics/2018/05/11/sarah-palin-mccain-regret-running-mate-gut-punch/602569002/","Sarah Palin: McCain admitting he'd rather have had Lieberman as running mate was 'gut punch'","Sarah Palin: McCain admitting he'd rather have had Lieberman as running mate was 'gut punch'","null","","Former Alaskan governor Sarah Palin says she was hurt hearing Sen. John McCain regretted choosing her as his running mate in the 2008 presidential election but doesn't fully believe the claim."
"1575005214-30683","https://www.usatoday.com/search/?q=sarah%20palin&page=1","Democratic debates don't match the moment. Time to get serious about beating Donald Trump.","https://www.usatoday.com/story/opinion/2019/08/01/donald-trump-president-democratic-debates-must-get-better-column/1868147001/","One simple thing you can do to make Thanksgiving even better.","One simple thing you can do to make Thanksgiving even better.","null","","This is the most consequential primary of our lifetime for too many reasons — the foremost being that Donald Trump is the president of the United States. He has an attorney general who has all but declared that if a Republican president does it, it’s legal. He wants to appoint a man to run our intelligence community who seems to think investigating attacks on our democracy is a bigger threat than the attacks themselves."
"1575005132-29936","https://www.usatoday.com/search/?q=sarah%20palin&page=3","Kid Rock not backing down on Joy Behar controversy: 'Mess with the bull, get the horns'","https://www.usatoday.com/story/life/music/2018/12/01/kid-rock-explains-joy-behar-attack/2174199002/","Kid Rock not backing down on Joy Behar controversy: 'Mess with the bull, get the horns'","Kid Rock not backing down on Joy Behar controversy: 'Mess with the bull, get the horns'","null","",""
