web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575006207-36559","https://www.usatoday.com/search/?q=bernie%20sanders&page=2","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","https://www.usatoday.com/story/news/politics/2019/10/19/aoc-bernie-sanders-endorsement/4038312002/","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","Nicholas Wu","","On Saturday afternoon, Rep. Alexandria Ocasio-Cortez, D-N.Y., made her endorsement of Sen. Bernie Sanders, I-Vt., official at a rally in Queens, N.Y., that marked Sanders' return to the campaign trail after recently having a heart attack."
"1575006261-36808","https://www.usatoday.com/search/?q=bernie%20sanders&page=1","Bernie Sanders says Alexandria Ocasio-Cortez will work in his administration if he's president","https://www.usatoday.com/story/news/politics/elections/2019/10/21/bernie-sanders-says-aoc-work-his-white-house/4055445002/","Bernie Sanders says Alexandria Ocasio-Cortez will work in his administration if he's president","Bernie Sanders says Alexandria Ocasio-Cortez will work in his administration if he's president","Jeanine Santucci","","When asked why, as a woman of color, Ocasio-Cortez made that decision, she said, ""I'm actually very excited about this partnership because it shows what we have to do in our country, is that we have to come together across race, across gender, across generation."""
"1575006265-36829","https://www.usatoday.com/search/?q=bernie%20sanders&page=1","Jimmy Carter and Bernie Sanders show age is no obstacle when it comes to serving","https://www.usatoday.com/story/opinion/2019/10/21/bernie-sanders-jimmy-carter-lessons-on-service-into-maturity-column/4046506002/","Jimmy Carter and Bernie Sanders show age is no obstacle when it comes to serving","Jimmy Carter and Bernie Sanders show age is no obstacle when it comes to serving","Bruce Lowry","","The man in whom, apparently, there is no quit."
"1575006147-36272","https://www.usatoday.com/search/?q=bernie%20sanders&page=3","Elizabeth Warren and Bernie Sanders slam Big Tech but their campaigns spend heavily on them","https://www.usatoday.com/story/news/politics/elections/2019/08/25/elizabeth-warren-bernie-sanders-slam-uber-lyft-spend-big/2006627001/","Elizabeth Warren and Bernie Sanders slam Big Tech but their campaigns spend heavily on them","Elizabeth Warren and Bernie Sanders slam Big Tech but their campaigns spend heavily on them","Camille Caldera","","Other big spenders on Google and Facebook, such as Buttigieg, have their own proposals for the companies."
"1575006145-36229","https://www.usatoday.com/search/?q=bernie%20sanders&page=3","2020 Democratic hopefuls will converge on the Las Vegas Strip Sunday to make their cases","https://www.usatoday.com/story/news/politics/elections/2019/11/15/2020-democratic-hopefuls-campaign-las-vegas-sunday/4211919002/","2020 Democratic hopefuls will converge on the Las Vegas Strip Sunday to make their cases","2020 Democratic hopefuls will converge on the Las Vegas Strip Sunday to make their cases","Ed Komenda","","• South Bend, Indiana Mayor Pete Buttigieg"
"1575006176-36481","https://www.usatoday.com/search/?q=bernie%20sanders&page=3","Elizabeth Warren leads Iowa Poll for the first time, besting Joe Biden and Bernie Sanders","https://www.usatoday.com/story/news/politics/elections/2019/09/21/election-2020-elizabeth-warren-narrowly-leading-joe-biden-in-iowa-poll/2407045001/","Elizabeth Warren leads Iowa Poll for the first time, besting Joe Biden and Bernie Sanders","Elizabeth Warren leads Iowa Poll for the first time, besting Joe Biden and Bernie Sanders","Brianne Pfannenstiel","","Trailing her are: Biden (60%), Buttigieg (55%), Harris (55%), Sanders (50%), Booker (42%), O’Rourke (38%) and Klobuchar (37%)."
"1575006207-36562","https://www.usatoday.com/search/?q=bernie%20sanders&page=2","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","https://www.usatoday.com/story/news/politics/2019/10/19/aoc-bernie-sanders-endorsement/4038312002/","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","'The halls of Congress are no joke': AOC reflects on Congress as she endorses Sanders","Nicholas Wu","","""It is no joke. Standing up to corporate power, and established interests is no joke. It's not just about standing up and saying these things, but behind closed doors, your arm is twisted, the vise pressure of political pressure gets put on you, every trick in the book, psychological, and otherwise is to get us to abandon the working class,"" she said before a massive crowd."
"1575006241-36712","https://www.usatoday.com/search/?q=bernie%20sanders&page=2","Bernie Sanders' daughter-in-law dies at 46 after cancer diagnosis","https://www.usatoday.com/story/news/politics/elections/2019/10/09/bernie-sanders-daughter-law-raine-riggs-dies/3917146002/","Bernie Sanders' daughter-in-law dies at 46 after cancer diagnosis","Bernie Sanders' daughter-in-law dies at 46 after cancer diagnosis","null","","Riggs and Sanders had three children."
"1575006261-36806","https://www.usatoday.com/search/?q=bernie%20sanders&page=1","Bernie Sanders says Alexandria Ocasio-Cortez will work in his administration if he's president","https://www.usatoday.com/story/news/politics/elections/2019/10/21/bernie-sanders-says-aoc-work-his-white-house/4055445002/","Bernie Sanders says Alexandria Ocasio-Cortez will work in his administration if he's president","Bernie Sanders says Alexandria Ocasio-Cortez will work in his administration if he's president","Jeanine Santucci","","Sanders canceled several campaign events after his surgery but said that he would continue with a ""vigorous"" campaign."
"1575006226-36664","https://www.usatoday.com/search/?q=bernie%20sanders&page=2","Bernie Sanders will attend October debate after heart procedure","https://www.usatoday.com/story/news/politics/elections/2019/10/03/democratic-debate-bernie-sanders-attend-october-debate-after-heart-procedure/3854262002/","Bernie Sanders will attend October debate after heart procedure","Bernie Sanders will attend October debate after heart procedure","Rebecca Morin","","WASHINGTON – After canceling several campaign events following a heart procedure, Sen. Bernie Sanders will participate in the upcoming Democratic primary debate, his campaign confirmed to USA TODAY Thursday."
