web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575004755-27926","https://www.usatoday.com/search/?q=Donald%20Trump&page=2","Chinese woman convicted of trespassing at Donald Trump's Mar-a-Lago resort faces up to 6 years in prison","https://www.usatoday.com/story/news/nation/2019/11/24/chinese-woman-trump-resort-prison-yujing-zhang/4292093002/","Chinese woman convicted of trespassing at Donald Trump's Mar-a-Lago resort faces up to 6 years in prison","Chinese woman convicted of trespassing at Donald Trump's Mar-a-Lago resort faces up to 6 years in prison","Kristin Lam","","'Serious national security implications':FBI is examining whether President Trump's Mar-a-Lago resort is vulnerable to foreign spies"
"1575004626-26936","https://www.usatoday.com/search/?q=Donald%20Trump&page=4","5 books not to miss: 'Anonymous' Trump book, 'A Warning;' 'The Confession Club;' 'Strange Planet'","https://www.usatoday.com/story/entertainment/books/2019/11/18/new-books-anonymous-trump-book-a-warning-strange-planet/4202595002/","5 books not to miss: 'Anonymous' Trump book, 'A Warning;' 'The Confession Club;' 'Strange Planet'","5 books not to miss: 'Anonymous' Trump book, 'A Warning;' 'The Confession Club;' 'Strange Planet'","Barbara VanDenburgh","","The buzz: According to the publisher, “A Warning” has more preorders than any other nonfiction book at any imprint in the history of Hachette Book Group, and there are 500,000 copies ready to go into circulation."
"1575004588-26632","https://www.usatoday.com/search/?q=Donald%20Trump&page=5","What have we learned so far in the impeachment public hearings and what comes next?","https://www.usatoday.com/story/news/politics/2019/11/22/what-have-we-learned-impeachment-inquiry-and-what-comes-next/4269207002/","What have we learned so far in the impeachment public hearings and what comes next?","What have we learned so far in the impeachment public hearings and what comes next?","Nicholas Wu","","Democrats currently do not plan to hold hearings during Thanksgiving week, although they could add closed-door interviews or hearings to the calendar."
"1575004593-26681","https://www.usatoday.com/search/?q=Donald%20Trump&page=5","Trump touts immigration agenda, economy in pitch to African American voters","https://www.usatoday.com/story/news/politics/2019/11/08/trump-pence-atlanta-african-american-voters-2020/2507539001/","Trump touts immigration agenda, economy in pitch to African American voters","Trump touts immigration agenda, economy in pitch to African American voters","Courtney Subramanian","","Michael Bloomberg:Former NYC mayor opens door to 2020 presidential campaign"
"1575004596-26707","https://www.usatoday.com/search/?q=Donald%20Trump&page=5","Ukraine scandal: Trump wants Republicans to defend him. But don't defend the indefensible.","https://www.usatoday.com/story/opinion/2019/11/19/donald-trump-ukraine-investigation-impeachment-republicans-congress-biden-column/4229871002/","Which Travel Card Has The Most Valuable Miles?","Which Travel Card Has The Most Valuable Miles?","Robert Robb","","The Ukraine accusation is understandably seen by Trump supporters as just the latest attempt by the same folks to do Trump in. Particularly with the way House Democrats initially went about launching and conducting impeachment hearings."
"1575004683-27371","https://www.usatoday.com/search/?q=Donald%20Trump&page=3","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","https://www.usatoday.com/story/news/politics/2019/11/20/impeachment-live-updates-gordon-sondland-testify-trump-ukraine/4238183002/","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","Impeachment hearing: Cooper revises testimony, says Ukrainians worried about aid in July","Nicholas Wu","","Rep. Lee Zeldin, R-N.Y., said Sondland’s credibility was an issue because he said he presumed that the administration was withholding military aid from Ukraine on condition of investigations, rather than being told that directly by President Donald Trump."
"1575004779-28234","https://www.usatoday.com/search/?q=Donald%20Trump&page=1","4 reasons Democrats have an uphill climb on Donald Trump impeachment and removal","https://www.usatoday.com/story/opinion/2019/11/22/impeachment-challenges-ukraine-foreign-aid-predictable-ending-column/4258559002/","4 reasons Democrats have an uphill climb on Donald Trump impeachment and removal","4 reasons Democrats have an uphill climb on Donald Trump impeachment and removal","null","","Impeachment tool box: Trump abuses power by harassing, intimidating witnesses like Yovanovitch, former ambassador to Ukraine"
"1575004795-28324","https://www.usatoday.com/search/?q=Donald%20Trump&page=1","How Devin Nunes lawsuit threat undermines Donald Trump's impeachment defense","https://www.usatoday.com/story/opinion/2019/11/26/devin-nunes-lawsuit-donald-trump-lev-parnas-ukraine-impeachment-column/4300641002/","How Devin Nunes lawsuit threat undermines Donald Trump's impeachment defense","How Devin Nunes lawsuit threat undermines Donald Trump's impeachment defense","null","","Nunes is aggrieved by the coverage of a breaking story that he used a congressional trip to meet with Ukrainian officials to dig up dirt against the Bidens in 2018. CNN and the Daily Beast cite Lev Parnas' lawyer as the source. Parnas, a former Rudy Guliani associate, was indicted in October for conspiring to violate the ban on foreign donations."
"1575004619-26852","https://www.usatoday.com/search/?q=Donald%20Trump&page=4","Rep. Rashida Tlaib's grandmother to Donald Trump: Let's talk about your peace plan","https://www.usatoday.com/story/news/world/2019/09/21/rashida-tlaibs-grandmother-trump-lets-talk-your-peace-plan/2349502001/","Reverse Mortgage? The Cost Might Surprise You","Reverse Mortgage? The Cost Might Surprise You","Kim Hjelmgaard","","Many Palestinians are convinced that Friedman, a former longtime lawyer for the Trump Organization, the president's private business, has personally contributed financially to settlements in Israel. A U.S. Embassy spokesperson in Jerusalem did not respond to a direct question about that claim, but said that prior to taking up his role as ambassador Friedman served as the president of the American Friends of Bet El Yeshiva Center, an organization dedicated to sponsoring academic study in Bet El, a large Orthodox settlement that is located in the hills north of Jerusalem, next to Ramallah. Trump's dissolved charitable foundation has also contributed to Bet El, according to tax records published in 2016 by The Jerusalem Post, an English-language Israeli newspaper."
"1575004808-28430","https://www.usatoday.com/search/?q=Donald%20Trump&page=1","What Donald Trump doesn't understand about the difference between soldiers and 'warriors'","https://www.usatoday.com/story/opinion/2019/11/27/edward-gallagher-donald-trump-warriors-soldiers-war-crimes-column/4318452002/","What Donald Trump doesn't understand about the difference between soldiers and 'warriors'","What Donald Trump doesn't understand about the difference between soldiers and 'warriors'","null","","Otherwise they will be seen as warriors in the worst sense of the word."
"1575004566-26446","https://www.usatoday.com/search/?q=Donald%20Trump&page=5","Under Trump policies, immigrants are waiting years for court hearings: 'A senseless waste of taxpayer money'","https://www.usatoday.com/story/news/nation/2019/11/25/trump-administration-immigration-court-backlog-has-nearly-doubled/4295394002/","Under Trump policies, immigrants are waiting years for court hearings: 'A senseless waste of taxpayer money'","Under Trump policies, immigrants are waiting years for court hearings: 'A senseless waste of taxpayer money'","null","","In 2016, when Cleveland’s immigration court had three judges, Bittner went to the court only twice. Now it has six judges, and she goes more than once a month."
"1575004761-28029","https://www.usatoday.com/search/?q=Donald%20Trump&page=2","Israel settlements: Donald Trump proves he's the 'King of Israel'","https://www.usatoday.com/story/news/world/2019/09/16/donald-trump-israel-election/2333266001/","Israel settlements: Donald Trump proves he's the 'King of Israel'","Israel settlements: Donald Trump proves he's the 'King of Israel'","Kim Hjelmgaard","","'Complete setup':Trump slams Tlaib over Israel approval to see grandmother"
"1575004687-27503","https://www.usatoday.com/search/?q=Donald%20Trump&page=3","House Judiciary Committee sets first Trump impeachment inquiry hearing for Dec. 4","https://www.usatoday.com/story/news/politics/2019/11/26/house-judiciary-committee-sets-first-impeachment-hearing-dec-4/4310730002/","House Judiciary Committee sets first Trump impeachment inquiry hearing for Dec. 4","House Judiciary Committee sets first Trump impeachment inquiry hearing for Dec. 4","Bart Jansen","","The announcement came a day after the Judiciary Committee won a U.S. District Court ruling to enforce a subpoena for testimony from former White House counsel Don McGahn. But the Justice Department appealed the decision."
"1575004569-26468","https://www.usatoday.com/search/?q=Donald%20Trump&page=5","Millions of Latinos are Trump supporters. Here's what they're thinking.","https://www.usatoday.com/story/opinion/2019/11/26/latinos-for-trump-supporters-hispanics-mexicans-attacks-immigrants-column/4224954002/","Millions of Latinos are Trump supporters. Here's what they're thinking.","Millions of Latinos are Trump supporters. Here's what they're thinking.","null","","Even as he campaigns for re-election, Trump still can’t seem to refrain from sticking his foot in this mouth when it comes to Latino voters."
