web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1575006972-41199","https://www.usatoday.com/search/?q=elizabeth%20warren&page=5","After a surge in polls, Buttigieg heads into the debate as a target","https://www.usatoday.com/story/news/politics/elections/2019/11/19/democratic-debate-pete-buttigieg-target-after-rise-polls/4238453002/","After a surge in polls, Buttigieg heads into the debate as a target","After a surge in polls, Buttigieg heads into the debate as a target","Chris Sikich","","The three other frontrunners — Warren, former Vice President Joe Biden and Sen. Bernie Sanders — can no longer afford to mostly ignore him as little more than a smooth-talking Midwestern curiosity, pundits say. And for the long term, if he emerges from the debate politically unscathed, he's going to have to find a way to convince voters of color that he has their backs."
"1575007173-42906","https://www.usatoday.com/search/?q=elizabeth%20warren&page=2","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","https://www.usatoday.com/story/news/politics/elections/2019/10/15/top-moments-tuesdays-democratic-debate/3991377002/","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","Jeanine Santucci","","“I don’t need lessons from you on courage, political or personal,” Buttigieg added. “Everyone on this stage is determined to get something done. Everyone on this stage recognizes, or at least I thought we did, that the problem is not other Democrats who don't agree with your particular idea of how to handle this.”"
"1575007140-42695","https://www.usatoday.com/search/?q=elizabeth%20warren&page=3","Elizabeth Warren campaign staffer fired for unspecified 'inappropriate behavior'","https://www.usatoday.com/story/news/politics/elections/2019/10/04/elizabeth-warrens-campaign-fired-senior-staffer-behavior-complaints/3868356002/","Elizabeth Warren campaign staffer fired for unspecified 'inappropriate behavior'","Elizabeth Warren campaign staffer fired for unspecified 'inappropriate behavior'","Jeanine Santucci","","The firing was first reported by Politico."
"1575007173-42916","https://www.usatoday.com/search/?q=elizabeth%20warren&page=2","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","https://www.usatoday.com/story/news/politics/elections/2019/10/15/top-moments-tuesdays-democratic-debate/3991377002/","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","Jeanine Santucci","","After a September debate that didn't touch the issue of abortion, Harris drew applause from the crowd when she brought up the topic of women's health early in this debate."
"1575007124-42338","https://www.usatoday.com/search/?q=elizabeth%20warren&page=3","Elizabeth Warren proposes massive tax on big business, special interest group lobbying","https://www.usatoday.com/story/news/politics/elections/2019/10/02/elizabeth-warren-wants-massive-tax-lobbying-activities/3835109002/","Elizabeth Warren proposes massive tax on big business, special interest group lobbying","Elizabeth Warren proposes massive tax on big business, special interest group lobbying","Aamer Madhani","","Warren says revenue generated by her lobbying tax would be poured into a “Lobby Defense Trust Fund” that would be used to reinstate the dormant Office of Technology Assessment and increase the budget for congressional support agencies, such as the Congressional Budget Office. The senator said she’d also push to have revenue used to fund a public advocate’s office tasked with helping Americans “engage with federal agencies and fight for the public interest in the rule-making process.”"
"1575007116-42255","https://www.usatoday.com/search/?q=elizabeth%20warren&page=3","5 reasons why Elizabeth Warren has the best chance to beat Donald Trump","https://www.usatoday.com/story/opinion/2019/09/25/5-reasons-warren-best-chance-beat-trump-column/2419281001/","Which Travel Card Has The Most Valuable Miles?","Which Travel Card Has The Most Valuable Miles?","null","","►Warren and her team have demonstrated that they know how to organize a winning campaign. Her campaign has crafted a strategy that has lifted her consistently in the polls."
"1575006965-41153","https://www.usatoday.com/search/?q=elizabeth%20warren&page=5","Elizabeth Warren and Bernie Sanders slam Big Tech but their campaigns spend heavily on them","https://www.usatoday.com/story/news/politics/elections/2019/08/25/elizabeth-warren-bernie-sanders-slam-uber-lyft-spend-big/2006627001/","Elizabeth Warren and Bernie Sanders slam Big Tech but their campaigns spend heavily on them","Elizabeth Warren and Bernie Sanders slam Big Tech but their campaigns spend heavily on them","Camille Caldera","","Vermont Sen. Bernie Sanders, who like Warren has frequently promised on the campaign trail to rein in big corporations, has also complained about the ride-sharing companies."
"1575006994-41391","https://www.usatoday.com/search/?q=elizabeth%20warren&page=5","October Democratic debate: Will Sanders attend? What are the issues? Here are 4 things you need to know","https://www.usatoday.com/story/news/politics/elections/2019/10/15/election-2020-four-things-you-need-know-october-debate/3977424002/","October Democratic debate: Will Sanders attend? What are the issues? Here are 4 things you need to know","October Democratic debate: Will Sanders attend? What are the issues? Here are 4 things you need to know","Savannah Behrmann","","More:Democratic debate No. 4: What you need to know"
"1575007254-43481","https://www.usatoday.com/search/?q=elizabeth%20warren&page=1","Hey, Elizabeth Warren: Your wealth tax plan? It's unconstitutional.","https://www.usatoday.com/story/opinion/2019/11/15/elizabeth-warren-bernie-sanders-wealth-tax-plan-unconstitutional-irs-column/2577982001/","Hey, Elizabeth Warren: Your wealth tax plan? It's unconstitutional.","Hey, Elizabeth Warren: Your wealth tax plan? It's unconstitutional.","null","","In 1895, the Supreme Court ruled that income taxes were forbidden under this logic in Pollock v. Farmers' Loan & Trust Co. Chief Justice Melville Fuller noted that “nothing can be clearer than that what the Constitution intended to guard against was the exercise by the general government of the power of directly taxing persons and property.”"
"1575007212-43127","https://www.usatoday.com/search/?q=elizabeth%20warren&page=1","Pete Buttigieg rises in Iowa, closes on Joe Biden, Elizabeth Warren","https://www.usatoday.com/videos/news/politics/elections/2019/10/30/pete-buttigieg-rises-iowa-poll/4051781002/","Buttigieg rises in Iowa poll, closes on Biden, Warren","Buttigieg rises in Iowa poll, closes on Biden, Warren","null","null",""
"1575007243-43344","https://www.usatoday.com/search/?q=elizabeth%20warren&page=1","Will Pete Buttigieg be the first gay president? Older LGBTQ Americans celebrate his run","https://www.usatoday.com/story/news/politics/2019/11/18/south-bend-mayor-pete-buttigiegs-presidential-bid-gay-man-once-inconceivable/2518915001/","Will Pete Buttigieg be the first gay president? Older LGBTQ Americans celebrate his run","Will Pete Buttigieg be the first gay president? Older LGBTQ Americans celebrate his run","Elizabeth Weise","","“He’s so matter-of-fact that it almost becomes subversive.”"
"1575007111-42205","https://www.usatoday.com/search/?q=elizabeth%20warren&page=3","'I thought you might have been high': Quips from candidates and other top moments from the November Democratic debate","https://www.usatoday.com/story/news/politics/elections/2019/11/20/2020-democrats-top-moments-november-debate-atlanta/4243267002/","'I thought you might have been high': Quips from candidates and other top moments from the November Democratic debate","'I thought you might have been high': Quips from candidates and other top moments from the November Democratic debate","Jeanine Santucci","","Booker also used a question about how he would unify the country to get in a subtle dig at Buttigieg."
"1575007093-42044","https://www.usatoday.com/search/?q=elizabeth%20warren&page=3","Here's how Elizabeth Warren would change Social Security","https://www.usatoday.com/story/money/2019/09/19/elizabeth-warren-social-security-policies/40146709/","Here's how Elizabeth Warren would change Social Security","Here's how Elizabeth Warren would change Social Security","null","","The Motley Fool is a USA TODAY content partner offering financial news, analysis and commentary designed to help people take control of their financial lives. Its content is produced independently of USA TODAY."
"1575007149-42731","https://www.usatoday.com/search/?q=elizabeth%20warren&page=2","Elizabeth Warren defends story that she was fired for being pregnant after more details surface","https://www.usatoday.com/story/news/politics/2019/10/09/elizabeth-warren-sticks-her-story-she-fired-pregnancy/3918474002/","Elizabeth Warren defends story that she was fired for being pregnant after more details surface","Elizabeth Warren defends story that she was fired for being pregnant after more details surface","Jeanine Santucci","","Conservatives have latched on to the changes in her account as yet another example of a ""made up"" story, along with the now infamous claim to Native American ancestry."
"1575007243-43302","https://www.usatoday.com/search/?q=elizabeth%20warren&page=1","Will Pete Buttigieg be the first gay president? Older LGBTQ Americans celebrate his run","https://www.usatoday.com/story/news/politics/2019/11/18/south-bend-mayor-pete-buttigiegs-presidential-bid-gay-man-once-inconceivable/2518915001/","Will Pete Buttigieg be the first gay president? Older LGBTQ Americans celebrate his run","Will Pete Buttigieg be the first gay president? Older LGBTQ Americans celebrate his run","Elizabeth Weise","","As an African-American, Bell remembers dissolving into tears when he entered the voting booth in 2008 to vote for President Barack Obama, the nation’s first black president."
"1575007173-42919","https://www.usatoday.com/search/?q=elizabeth%20warren&page=2","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","https://www.usatoday.com/story/news/politics/elections/2019/10/15/top-moments-tuesdays-democratic-debate/3991377002/","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","Elizabeth Warren takes rivals' shots, Joe Biden pivots on Ukraine and other top Democrat debate moments","Jeanine Santucci","","New Jersey Sen. Cory Booker added his voice to that call. ""God bless Kamala, but women should not be the only ones taking up this cause and this fight,"" he said."
